[32183.573150] [i] Total hammer attempts per row: 506438
[32183.574615] EMIF 2 REG Write 0x00000618 at 0x4d000010
[32183.574645] EMIF 2 REG Read 0x00000618 at 0x4d000010
[32183.574645] EMIF 2 REG Write 0x00000618 at 0x4d000014
[32183.574676] EMIF 2 REG Read 0x00000618 at 0x4d000014
[32183.574676] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[32183.574707] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[32183.574707] Temp polling alert enabled
[32183.574707] Refresh enabled at EMIF2
[32183.574707] [i] Starting PUF read-out
[32183.574737] [i] Single-Sided Rowhammer (SSRH)
[32183.574737] PUF Read:0x00000010 at 0xa0008000
[32183.574768] PUF Read:0x00000400 at 0xa0008004
[32183.574768] PUF Read:0x00000000 at 0xa0008008
[32183.574768] PUF Read:0x00000000 at 0xa000800c
[32183.574859] PUF Read:0x00000000 at 0xa0008010
[32183.574890] PUF Read:0x00000100 at 0xa0008014
[32183.574890] PUF Read:0x00000000 at 0xa0008018
[32183.574890] PUF Read:0x10400100 at 0xa000801c
[32183.574951] PUF Read:0x40000000 at 0xa0008020
[32183.574951] PUF Read:0x40004000 at 0xa0008024
[32183.574951] PUF Read:0x00004000 at 0xa0008028
[32183.575042] PUF Read:0x00000010 at 0xa000802c
[32183.575042] PUF Read:0x40000000 at 0xa0008030
[32183.575042] PUF Read:0x04000000 at 0xa0008034
[32183.575042] PUF Read:0x00004000 at 0xa0008038
[32183.575134] PUF Read:0x00000000 at 0xa000803c
[32183.575134] PUF Read:0x00000001 at 0xa0008040
[32183.575195] PUF Read:0x00004000 at 0xa0008044
[32183.575225] PUF Read:0x00000010 at 0xa0008048
[32183.575225] PUF Read:0x00000001 at 0xa000804c
[32183.575225] PUF Read:0x00000000 at 0xa0008050
[32183.575286] PUF Read:0x00000000 at 0xa0008054
[32183.575286] PUF Read:0x00000000 at 0xa0008058
[32183.575347] PUF Read:0x00000000 at 0xa000805c
[32183.575378] PUF Read:0x00000000 at 0xa0008060
[32183.575378] PUF Read:0x00100000 at 0xa0008064
[32183.575439] PUF Read:0x00000000 at 0xa0008068
[32183.575439] PUF Read:0x00000000 at 0xa000806c
[32183.575439] PUF Read:0x00000000 at 0xa0008070
[32183.575500] PUF Read:0x00000000 at 0xa0008074
[32183.575531] PUF Read:0x00000000 at 0xa0008078
[32183.575531] PUF Read:0x00010000 at 0xa000807c
[32183.575592] PUF Read:0x00010000 at 0xa0008080
[32183.575592] PUF Read:0x00000000 at 0xa0008084
[32183.575592] PUF Read:0x00000000 at 0xa0008088
[32183.575653] PUF Read:0x00000000 at 0xa000808c
[32183.575683] PUF Read:0x00000000 at 0xa0008090
[32183.575683] PUF Read:0x10000000 at 0xa0008094
[32183.575744] PUF Read:0x00410001 at 0xa0008098
[32183.575744] PUF Read:0x00000000 at 0xa000809c
[32183.575744] PUF Read:0x00000000 at 0xa00080a0
[32183.575744] PUF Read:0x00010000 at 0xa00080a4
[32183.575836] PUF Read:0x00000001 at 0xa00080a8
[32183.575836] PUF Read:0x00000040 at 0xa00080ac
[32183.575897] PUF Read:0x00000000 at 0xa00080b0
[32183.575897] PUF Read:0x00000000 at 0xa00080b4
[32183.575897] PUF Read:0x00004000 at 0xa00080b8
[32183.575897] PUF Read:0x00000000 at 0xa00080bc
[32183.575988] PUF Read:0x00000400 at 0xa00080c0
[32183.575988] PUF Read:0x00000000 at 0xa00080c4
[32183.576049] PUF Read:0x10100000 at 0xa00080c8
[32183.576049] PUF Read:0x01000000 at 0xa00080cc
[32183.576049] PUF Read:0x40045000 at 0xa00080d0
[32183.576049] PUF Read:0x00000000 at 0xa00080d4
[32183.576141] PUF Read:0x00001000 at 0xa00080d8
[32183.576141] PUF Read:0x00000000 at 0xa00080dc
[32183.576141] PUF Read:0x01000000 at 0xa00080e0
[32183.576141] PUF Read:0x00000000 at 0xa00080e4
[32183.576232] PUF Read:0x00000000 at 0xa00080e8
[32183.576232] PUF Read:0x00000001 at 0xa00080ec
[32183.576293] PUF Read:0x00000000 at 0xa00080f0
[32183.576324] PUF Read:0x00000000 at 0xa00080f4
[32183.576324] PUF Read:0x00000100 at 0xa00080f8
[32183.576324] PUF Read:0x00000000 at 0xa00080fc
[32183.576385] PUF Read:0x00000000 at 0xa0008100
[32183.576385] PUF Read:0x00000000 at 0xa0008104
[32183.576446] PUF Read:0x00000000 at 0xa0008108
[32183.576477] PUF Read:0x00100100 at 0xa000810c
[32183.576477] PUF Read:0x00000000 at 0xa0008110
[32183.576477] PUF Read:0x00400000 at 0xa0008114
[32183.576538] PUF Read:0x00000000 at 0xa0008118
[32183.576538] PUF Read:0x00000000 at 0xa000811c
[32183.576599] PUF Read:0x01000000 at 0xa0008120
[32183.576629] PUF Read:0x00000400 at 0xa0008124
[32183.576629] PUF Read:0x00000040 at 0xa0008128
[32183.576690] PUF Read:0x00000000 at 0xa000812c
[32183.576690] PUF Read:0x00000000 at 0xa0008130
[32183.576690] PUF Read:0x00000000 at 0xa0008134
[32183.576751] PUF Read:0x00010000 at 0xa0008138
[32183.576782] PUF Read:0x00000000 at 0xa000813c
[32183.576782] PUF Read:0x40000400 at 0xa0008140
[32183.576782] PUF Read:0x00000000 at 0xa0008144
[32183.576782] PUF Read:0x00100400 at 0xa0008148
[32183.576782] PUF Read:0x00000000 at 0xa000814c
[32183.576782] PUF Read:0x00000000 at 0xa0008150
[32183.576934] PUF Read:0x00000000 at 0xa0008154
[32183.576934] PUF Read:0x00000000 at 0xa0008158
[32183.576934] PUF Read:0x00100040 at 0xa000815c
[32183.576934] PUF Read:0x00001000 at 0xa0008160
[32183.576934] PUF Read:0x00000000 at 0xa0008164
[32183.576934] PUF Read:0x04000000 at 0xa0008168
[32183.577087] PUF Read:0x00400000 at 0xa000816c
[32183.577087] PUF Read:0x00000000 at 0xa0008170
[32183.577087] PUF Read:0x00100000 at 0xa0008174
[32183.577087] PUF Read:0x00000000 at 0xa0008178
[32183.577178] PUF Read:0x00004000 at 0xa000817c
[32183.577178] PUF Read:0x00000000 at 0xa0008180
[32183.577239] PUF Read:0x00000000 at 0xa0008184
[32183.577239] PUF Read:0x00040000 at 0xa0008188
[32183.577239] PUF Read:0x00000440 at 0xa000818c
[32183.577239] PUF Read:0x00000000 at 0xa0008190
[32183.577239] PUF Read:0x40000000 at 0xa0008194
[32183.577239] PUF Read:0x00000004 at 0xa0008198
[32183.577392] PUF Read:0x00000000 at 0xa000819c
[32183.577423] PUF Read:0x00000000 at 0xa00081a0
[32183.577423] PUF Read:0x00000000 at 0xa00081a4
[32183.577423] PUF Read:0x00000000 at 0xa00081a8
[32183.577484] PUF Read:0x00000040 at 0xa00081ac
[32183.577484] PUF Read:0x00410000 at 0xa00081b0
[32183.577545] PUF Read:0x00100000 at 0xa00081b4
[32183.577575] PUF Read:0x00004000 at 0xa00081b8
[32183.577575] PUF Read:0x00100000 at 0xa00081bc
[32183.577575] PUF Read:0x00000000 at 0xa00081c0
[32183.577636] PUF Read:0x00000004 at 0xa00081c4
[32183.577636] PUF Read:0x00000000 at 0xa00081c8
[32183.577697] PUF Read:0x00010000 at 0xa00081cc
[32183.577728] PUF Read:0x10000000 at 0xa00081d0
[32183.577728] PUF Read:0x00000000 at 0xa00081d4
[32183.577728] PUF Read:0x10000000 at 0xa00081d8
[32183.577789] PUF Read:0x00004000 at 0xa00081dc
[32183.577789] PUF Read:0x00000000 at 0xa00081e0
