[25747.361938] [i] Total hammer attempts per row: 816272
[25747.361999] EMIF 2 REG Write 0x00000618 at 0x4d000010
[25747.361999] EMIF 2 REG Read 0x00000618 at 0x4d000010
[25747.362030] EMIF 2 REG Write 0x00000618 at 0x4d000014
[25747.362030] EMIF 2 REG Read 0x00000618 at 0x4d000014
[25747.362060] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[25747.362060] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[25747.362091] Temp polling alert enabled
[25747.362091] Refresh enabled at EMIF2
[25747.362091] [i] Starting PUF read-out
[25747.362121] [i] Single-Sided Rowhammer (SSRH)
[25747.362121] PUF Read:0x00000000 at 0xa0008000
[25747.362121] PUF Read:0x00000000 at 0xa0008004
[25747.362182] PUF Read:0x00000000 at 0xa0008008
[25747.362213] PUF Read:0x00000000 at 0xa000800c
[25747.362213] PUF Read:0x00000000 at 0xa0008010
[25747.362213] PUF Read:0x00000100 at 0xa0008014
[25747.362213] PUF Read:0x00000000 at 0xa0008018
[25747.362213] PUF Read:0x00000000 at 0xa000801c
[25747.362335] PUF Read:0x00000000 at 0xa0008020
[25747.362335] PUF Read:0x40004000 at 0xa0008024
[25747.362396] PUF Read:0x00000000 at 0xa0008028
[25747.362426] PUF Read:0x00000000 at 0xa000802c
[25747.362426] PUF Read:0x00000000 at 0xa0008030
[25747.362426] PUF Read:0x00000000 at 0xa0008034
[25747.362487] PUF Read:0x00004000 at 0xa0008038
[25747.362487] PUF Read:0x00000000 at 0xa000803c
[25747.362548] PUF Read:0x00000001 at 0xa0008040
[25747.362579] PUF Read:0x00004000 at 0xa0008044
[25747.362579] PUF Read:0x00000000 at 0xa0008048
[25747.362579] PUF Read:0x00000000 at 0xa000804c
[25747.362640] PUF Read:0x00000000 at 0xa0008050
[25747.362640] PUF Read:0x00000000 at 0xa0008054
[25747.362701] PUF Read:0x00000000 at 0xa0008058
[25747.362731] PUF Read:0x00000000 at 0xa000805c
[25747.362731] PUF Read:0x00000000 at 0xa0008060
[25747.362731] PUF Read:0x00000000 at 0xa0008064
[25747.362792] PUF Read:0x00000000 at 0xa0008068
[25747.362792] PUF Read:0x00000000 at 0xa000806c
[25747.362854] PUF Read:0x00000000 at 0xa0008070
[25747.362884] PUF Read:0x00000000 at 0xa0008074
[25747.362884] PUF Read:0x00000000 at 0xa0008078
[25747.362884] PUF Read:0x00000000 at 0xa000807c
[25747.362945] PUF Read:0x00000000 at 0xa0008080
[25747.362945] PUF Read:0x00000000 at 0xa0008084
[25747.363006] PUF Read:0x00000000 at 0xa0008088
[25747.363037] PUF Read:0x00000000 at 0xa000808c
[25747.363037] PUF Read:0x00000000 at 0xa0008090
[25747.363037] PUF Read:0x00000000 at 0xa0008094
[25747.363098] PUF Read:0x00010000 at 0xa0008098
[25747.363098] PUF Read:0x00000000 at 0xa000809c
[25747.363159] PUF Read:0x00000000 at 0xa00080a0
[25747.363189] PUF Read:0x00000000 at 0xa00080a4
[25747.363189] PUF Read:0x00000000 at 0xa00080a8
[25747.363189] PUF Read:0x00000040 at 0xa00080ac
[25747.363250] PUF Read:0x00000000 at 0xa00080b0
