[16310.158843] [i] Total hammer attempts per row: 1636857
[16310.158874] EMIF 2 REG Write 0x00000618 at 0x4d000010
[16310.158874] EMIF 2 REG Read 0x00000618 at 0x4d000010
[16310.158905] EMIF 2 REG Write 0x00000618 at 0x4d000014
[16310.158905] EMIF 2 REG Read 0x00000618 at 0x4d000014
[16310.158935] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[16310.158935] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[16310.158935] Temp polling alert enabled
[16310.158966] Refresh enabled at EMIF2
[16310.158966] [i] Starting PUF read-out
[16310.158966] [i] Single-Sided Rowhammer (SSRH)
[16310.158996] PUF Read:0x00000010 at 0xa0008000
[16310.158996] PUF Read:0x00000400 at 0xa0008004
[16310.158996] PUF Read:0x00000000 at 0xa0008008
[16310.158996] PUF Read:0x00000000 at 0xa000800c
[16310.158996] PUF Read:0x00000000 at 0xa0008010
[16310.158996] PUF Read:0x00000100 at 0xa0008014
[16310.158996] PUF Read:0x00000000 at 0xa0008018
[16310.159179] PUF Read:0x10400100 at 0xa000801c
[16310.159210] PUF Read:0x40004000 at 0xa0008020
[16310.159210] PUF Read:0x40004000 at 0xa0008024
[16310.159210] PUF Read:0x00004000 at 0xa0008028
[16310.159210] PUF Read:0x00000010 at 0xa000802c
[16310.159210] PUF Read:0x40000000 at 0xa0008030
[16310.159210] PUF Read:0x04000000 at 0xa0008034
[16310.159362] PUF Read:0x00004000 at 0xa0008038
[16310.159362] PUF Read:0x00000000 at 0xa000803c
[16310.159362] PUF Read:0x00000001 at 0xa0008040
[16310.159362] PUF Read:0x00004000 at 0xa0008044
[16310.159454] PUF Read:0x40000010 at 0xa0008048
[16310.159454] PUF Read:0x00000001 at 0xa000804c
[16310.159515] PUF Read:0x00000000 at 0xa0008050
[16310.159545] PUF Read:0x00000000 at 0xa0008054
[16310.159545] PUF Read:0x00000000 at 0xa0008058
[16310.159545] PUF Read:0x00000000 at 0xa000805c
[16310.159606] PUF Read:0x00000000 at 0xa0008060
[16310.159606] PUF Read:0x00100000 at 0xa0008064
[16310.159667] PUF Read:0x00000000 at 0xa0008068
[16310.159698] PUF Read:0x00000000 at 0xa000806c
[16310.159698] PUF Read:0x00000000 at 0xa0008070
[16310.159698] PUF Read:0x00000000 at 0xa0008074
