[49306.244781] [i] Total hammer attempts per row: 1633159
[49306.244842] EMIF 2 REG Write 0x00000618 at 0x4d000010
[49306.244873] EMIF 2 REG Read 0x00000618 at 0x4d000010
[49306.244873] EMIF 2 REG Write 0x00000618 at 0x4d000014
[49306.244903] EMIF 2 REG Read 0x00000618 at 0x4d000014
[49306.244903] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[49306.244903] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[49306.244934] Temp polling alert enabled
[49306.244934] Refresh enabled at EMIF2
[49306.244934] [i] Starting PUF read-out
[49306.244964] [i] Single-Sided Rowhammer (SSRH)
[49306.244964] PUF Read:0xaaaa2aaa at 0xa0008000
[49306.244964] PUF Read:0xaaaaaaaa at 0xa0008004
[49306.244964] PUF Read:0xaaaaaaaa at 0xa0008008
[49306.244964] PUF Read:0xa2aaaa2a at 0xa000800c
[49306.245086] PUF Read:0xaaaaaaaa at 0xa0008010
[49306.245117] PUF Read:0x8aaaabaa at 0xa0008014
[49306.245117] PUF Read:0xaaaa2aaa at 0xa0008018
[49306.245117] PUF Read:0xaaa2aaaa at 0xa000801c
[49306.245178] PUF Read:0xaaaaaaaa at 0xa0008020
[49306.245208] PUF Read:0xeaaaeaaa at 0xa0008024
[49306.245208] PUF Read:0xaaaaaaaa at 0xa0008028
[49306.245208] PUF Read:0xaaaaaaba at 0xa000802c
[49306.245300] PUF Read:0xaaaaaaa8 at 0xa0008030
[49306.245300] PUF Read:0xaeaaaaaa at 0xa0008034
[49306.245300] PUF Read:0xaaaaeaaa at 0xa0008038
[49306.245300] PUF Read:0xaaaaaaaa at 0xa000803c
[49306.245300] PUF Read:0xaaaaaaab at 0xa0008040
[49306.245300] PUF Read:0xaaaaeaaa at 0xa0008044
[49306.245452] PUF Read:0xaaaaaaaa at 0xa0008048
[49306.245483] PUF Read:0xaaaaaaa8 at 0xa000804c
[49306.245483] PUF Read:0xa2aaaaaa at 0xa0008050
[49306.245483] PUF Read:0xaaaaa8aa at 0xa0008054
[49306.245544] PUF Read:0xaaaaaa8a at 0xa0008058
[49306.245544] PUF Read:0xaaaaaaaa at 0xa000805c
[49306.245605] PUF Read:0xaaaaaaaa at 0xa0008060
[49306.245635] PUF Read:0xaaaa2aaa at 0xa0008064
[49306.245635] PUF Read:0xaaaaaaaa at 0xa0008068
[49306.245635] PUF Read:0xaaaaaaaa at 0xa000806c
[49306.245697] PUF Read:0xaaaaaaaa at 0xa0008070
[49306.245697] PUF Read:0xaaaaaaaa at 0xa0008074
[49306.245758] PUF Read:0xaaaaaaaa at 0xa0008078
[49306.245788] PUF Read:0xaaabaaaa at 0xa000807c
[49306.245788] PUF Read:0xaaabaaaa at 0xa0008080
[49306.245849] PUF Read:0xaaaaaaaa at 0xa0008084
[49306.245849] PUF Read:0xaaaaaaaa at 0xa0008088
[49306.245849] PUF Read:0xaaaaaaaa at 0xa000808c
[49306.245849] PUF Read:0xaaaa8aaa at 0xa0008090
[49306.245941] PUF Read:0xaaaaaaaa at 0xa0008094
[49306.245941] PUF Read:0x2aabaaab at 0xa0008098
[49306.245941] PUF Read:0xaaaaaaaa at 0xa000809c
[49306.245941] PUF Read:0x8aaaaa2a at 0xa00080a0
[49306.245941] PUF Read:0xaaabaaaa at 0xa00080a4
[49306.245941] PUF Read:0xaa8aaaab at 0xa00080a8
[49306.246093] PUF Read:0x8aaa8aea at 0xa00080ac
[49306.246093] PUF Read:0xaaaaaaaa at 0xa00080b0
[49306.246093] PUF Read:0x2a2aaaaa at 0xa00080b4
[49306.246093] PUF Read:0xaaaaeaaa at 0xa00080b8
[49306.246185] PUF Read:0x8aaaaaaa at 0xa00080bc
[49306.246185] PUF Read:0xaaaaaaaa at 0xa00080c0
[49306.246246] PUF Read:0xaaaaaaaa at 0xa00080c4
[49306.246276] PUF Read:0xaaa2aaaa at 0xa00080c8
[49306.246276] PUF Read:0xabaaaaaa at 0xa00080cc
[49306.246276] PUF Read:0xeaaeeaaa at 0xa00080d0
[49306.246337] PUF Read:0xaaaa2aa8 at 0xa00080d4
[49306.246337] PUF Read:0xaaaa3aaa at 0xa00080d8
[49306.246398] PUF Read:0xaaaaaaaa at 0xa00080dc
[49306.246429] PUF Read:0xabaaaaaa at 0xa00080e0
[49306.246429] PUF Read:0xaaaaaaaa at 0xa00080e4
[49306.246429] PUF Read:0xaaaaaaaa at 0xa00080e8
[49306.246429] PUF Read:0xaaaaaaab at 0xa00080ec
[49306.246429] PUF Read:0x8aaaaaaa at 0xa00080f0
[49306.246429] PUF Read:0xaaaaaaaa at 0xa00080f4
[49306.246582] PUF Read:0xaaaaabaa at 0xa00080f8
[49306.246582] PUF Read:0xaa8aaaaa at 0xa00080fc
[49306.246582] PUF Read:0xaaaaa8aa at 0xa0008100
[49306.246582] PUF Read:0xaaaaaaaa at 0xa0008104
[49306.246673] PUF Read:0xaaa2aaaa at 0xa0008108
[49306.246673] PUF Read:0xaabaaaaa at 0xa000810c
[49306.246673] PUF Read:0xaaaaaaaa at 0xa0008110
[49306.246765] PUF Read:0xa8ea2aaa at 0xa0008114
[49306.246795] PUF Read:0xaaaaaaaa at 0xa0008118
[49306.246795] PUF Read:0xa8aaaaaa at 0xa000811c
[49306.246795] PUF Read:0xaaa2aaaa at 0xa0008120
[49306.246856] PUF Read:0xaaaaaeaa at 0xa0008124
[49306.246856] PUF Read:0xaaaaaaea at 0xa0008128
[49306.246917] PUF Read:0xaaaaaaaa at 0xa000812c
[49306.246948] PUF Read:0xaaaaaaaa at 0xa0008130
[49306.246948] PUF Read:0xaaaaaa2a at 0xa0008134
[49306.246948] PUF Read:0xaa8baaaa at 0xa0008138
[49306.246948] PUF Read:0xaaaaaaaa at 0xa000813c
[49306.247039] PUF Read:0xeaaaaeaa at 0xa0008140
[49306.247039] PUF Read:0xaaaaaaaa at 0xa0008144
[49306.247100] PUF Read:0xaabaaeaa at 0xa0008148
[49306.247131] PUF Read:0xaaaaaaaa at 0xa000814c
[49306.247131] PUF Read:0xaaaaaaaa at 0xa0008150
[49306.247131] PUF Read:0xaaaaaaaa at 0xa0008154
[49306.247192] PUF Read:0xaaaaaaaa at 0xa0008158
[49306.247192] PUF Read:0xaaaaaaea at 0xa000815c
[49306.247253] PUF Read:0xaaaaaaaa at 0xa0008160
[49306.247283] PUF Read:0xaaaaaaaa at 0xa0008164
[49306.247283] PUF Read:0xaeaaaaaa at 0xa0008168
[49306.247283] PUF Read:0xaaeaaaaa at 0xa000816c
[49306.247283] PUF Read:0x2aaaaaaa at 0xa0008170
[49306.247283] PUF Read:0xaaaaaaaa at 0xa0008174
[49306.247283] PUF Read:0xaaaaaaaa at 0xa0008178
[49306.247436] PUF Read:0xaaaaaaaa at 0xa000817c
[49306.247436] PUF Read:0xaaaa2a2a at 0xa0008180
[49306.247436] PUF Read:0xaaaaaaaa at 0xa0008184
[49306.247436] PUF Read:0xaa2aaaaa at 0xa0008188
[49306.247528] PUF Read:0xaaaaaaea at 0xa000818c
[49306.247528] PUF Read:0x2aaaaaaa at 0xa0008190
[49306.247589] PUF Read:0xeaaaaaaa at 0xa0008194
[49306.247589] PUF Read:0xaaaaaaaa at 0xa0008198
[49306.247589] PUF Read:0xaaaaaaaa at 0xa000819c
[49306.247589] PUF Read:0xaaaaaaaa at 0xa00081a0
[49306.247680] PUF Read:0xaaaaaaaa at 0xa00081a4
[49306.247680] PUF Read:0xa2a2aaaa at 0xa00081a8
[49306.247741] PUF Read:0xaaaaaaaa at 0xa00081ac
[49306.247772] PUF Read:0xaaebaaaa at 0xa00081b0
[49306.247772] PUF Read:0xaaaaaaaa at 0xa00081b4
[49306.247772] PUF Read:0xaaaaeaaa at 0xa00081b8
[49306.247833] PUF Read:0xa2aaaaaa at 0xa00081bc
[49306.247833] PUF Read:0xaaa88aaa at 0xa00081c0
[49306.247894] PUF Read:0xaaaaaaae at 0xa00081c4
[49306.247924] PUF Read:0xaaaaaaaa at 0xa00081c8
[49306.247924] PUF Read:0xaa2baaaa at 0xa00081cc
[49306.247985] PUF Read:0xbaaaaaaa at 0xa00081d0
[49306.247985] PUF Read:0xaaaaaa2a at 0xa00081d4
[49306.247985] PUF Read:0xaaaaaaaa at 0xa00081d8
[49306.247985] PUF Read:0xaaaaaaaa at 0xa00081dc
[49306.248077] PUF Read:0xaaaaaaa2 at 0xa00081e0
[49306.248077] PUF Read:0xaaaaaaea at 0xa00081e4
[49306.248077] PUF Read:0xaaaaaaaa at 0xa00081e8
[49306.248077] PUF Read:0xaa2aaaaa at 0xa00081ec
[49306.248077] PUF Read:0xaaaaaaab at 0xa00081f0
[49306.248077] PUF Read:0xaaaaaeaa at 0xa00081f4
[49306.248229] PUF Read:0xaaaaaaa2 at 0xa00081f8
[49306.248229] PUF Read:0xaaaaaaaa at 0xa00081fc
[49306.248229] PUF Read:0xaaaaaaaa at 0xa0008200
[49306.248229] PUF Read:0xaaaaaaaa at 0xa0008204
[49306.248229] PUF Read:0xaaaaaaba at 0xa0008208
