[71543.534881] [i] Total hammer attempts per row: 818350
[71543.534881] EMIF 2 REG Write 0x00000618 at 0x4d000010
[71543.534912] EMIF 2 REG Read 0x00000618 at 0x4d000010
[71543.534912] EMIF 2 REG Write 0x00000618 at 0x4d000014
[71543.534942] EMIF 2 REG Read 0x00000618 at 0x4d000014
[71543.534942] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[71543.534973] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[71543.534973] Temp polling alert enabled
[71543.534973] Refresh enabled at EMIF2
[71543.535003] [i] Starting PUF read-out
[71543.535003] [i] Single-Sided Rowhammer (SSRH)
[71543.535034] PUF Read:0xaaaaaaaa at 0xa0008000
[71543.535034] PUF Read:0xaaaaaaaa at 0xa0008004
[71543.535034] PUF Read:0xaaaaaaaa at 0xa0008008
[71543.535034] PUF Read:0xa2aaaaaa at 0xa000800c
[71543.535125] PUF Read:0xaaaaaaaa at 0xa0008010
[71543.535125] PUF Read:0xaaaaabaa at 0xa0008014
[71543.535125] PUF Read:0xaaaaaaaa at 0xa0008018
[71543.535217] PUF Read:0xaaaaaaaa at 0xa000801c
[71543.535247] PUF Read:0xaaaaaaaa at 0xa0008020
[71543.535247] PUF Read:0xaaaaaaaa at 0xa0008024
[71543.535247] PUF Read:0xaaaaaaaa at 0xa0008028
[71543.535308] PUF Read:0xaaaaaaaa at 0xa000802c
[71543.535308] PUF Read:0xaaaaaaaa at 0xa0008030
[71543.535369] PUF Read:0xaaaaaaaa at 0xa0008034
[71543.535400] PUF Read:0xaaaaaaaa at 0xa0008038
[71543.535400] PUF Read:0xaaaaaaaa at 0xa000803c
[71543.535400] PUF Read:0xaaaaaaab at 0xa0008040
[71543.535461] PUF Read:0xaaaaeaaa at 0xa0008044
[71543.535461] PUF Read:0xaaaaaaaa at 0xa0008048
[71543.535522] PUF Read:0xaaaaaaaa at 0xa000804c
[71543.535552] PUF Read:0xaaaaaaaa at 0xa0008050
[71543.535552] PUF Read:0xaaaaaaaa at 0xa0008054
[71543.535552] PUF Read:0xaaaaaa8a at 0xa0008058
[71543.535552] PUF Read:0xaaaaaaaa at 0xa000805c
[71543.535552] PUF Read:0xaaaaaaaa at 0xa0008060
[71543.535552] PUF Read:0xaaaa2aaa at 0xa0008064
[71543.535705] PUF Read:0xaaaaaaaa at 0xa0008068
[71543.535705] PUF Read:0xaaaaaaaa at 0xa000806c
[71543.535705] PUF Read:0xaaaaaaaa at 0xa0008070
[71543.535705] PUF Read:0xaaaaaaaa at 0xa0008074
[71543.535705] PUF Read:0xaaaaaaaa at 0xa0008078
[71543.535705] PUF Read:0xaaaaaaaa at 0xa000807c
[71543.535858] PUF Read:0xaaaaaaaa at 0xa0008080
[71543.535858] PUF Read:0xaaaaaaaa at 0xa0008084
[71543.535858] PUF Read:0xaaaaaaaa at 0xa0008088
[71543.535858] PUF Read:0xaaaaaaaa at 0xa000808c
[71543.535949] PUF Read:0xaaaa8aaa at 0xa0008090
[71543.535949] PUF Read:0xaaaaaaaa at 0xa0008094
[71543.536010] PUF Read:0x2aabaaaa at 0xa0008098
[71543.536041] PUF Read:0xaaaaaaaa at 0xa000809c
[71543.536041] PUF Read:0xaaaaaaaa at 0xa00080a0
[71543.536041] PUF Read:0xaaaaaaaa at 0xa00080a4
[71543.536102] PUF Read:0xaaaaaaaa at 0xa00080a8
[71543.536102] PUF Read:0xaaaaaaaa at 0xa00080ac
[71543.536163] PUF Read:0xaaaaaaaa at 0xa00080b0
[71543.536193] PUF Read:0xaa2aaaaa at 0xa00080b4
[71543.536193] PUF Read:0xaaaaeaaa at 0xa00080b8
[71543.536193] PUF Read:0x8aaaaaaa at 0xa00080bc
[71543.536254] PUF Read:0xaaaaaaaa at 0xa00080c0
[71543.536254] PUF Read:0xaaaaaaaa at 0xa00080c4
[71543.536315] PUF Read:0xaaa2aaaa at 0xa00080c8
[71543.536346] PUF Read:0xaaaaaaaa at 0xa00080cc
[71543.536346] PUF Read:0xeaaaaaaa at 0xa00080d0
[71543.536346] PUF Read:0xaaaaaaaa at 0xa00080d4
[71543.536407] PUF Read:0xaaaaaaaa at 0xa00080d8
[71543.536407] PUF Read:0xaaaaaaaa at 0xa00080dc
[71543.536468] PUF Read:0xabaaaaaa at 0xa00080e0
[71543.536499] PUF Read:0xaaaaaaaa at 0xa00080e4
[71543.536499] PUF Read:0xaaaaaaaa at 0xa00080e8
[71543.536560] PUF Read:0xaaaaaaab at 0xa00080ec
[71543.536560] PUF Read:0x8aaaaaaa at 0xa00080f0
[71543.536560] PUF Read:0xaaaaaaaa at 0xa00080f4
[71543.536621] PUF Read:0xaaaaabaa at 0xa00080f8
[71543.536651] PUF Read:0xaaaaaaaa at 0xa00080fc
[71543.536651] PUF Read:0xaaaaaaaa at 0xa0008100
[71543.536651] PUF Read:0xaaaaaaaa at 0xa0008104
[71543.536712] PUF Read:0xaaaaaaaa at 0xa0008108
[71543.536712] PUF Read:0xaaaaaaaa at 0xa000810c
[71543.536773] PUF Read:0xaaaaaaaa at 0xa0008110
[71543.536804] PUF Read:0xaaaa2aaa at 0xa0008114
[71543.536804] PUF Read:0xaaaaaaaa at 0xa0008118
[71543.536804] PUF Read:0xaaaaaaaa at 0xa000811c
[71543.536865] PUF Read:0xaaaaaaaa at 0xa0008120
[71543.536865] PUF Read:0xaaaaaaaa at 0xa0008124
[71543.536926] PUF Read:0xaaaaaaea at 0xa0008128
[71543.536956] PUF Read:0xaaaaaaaa at 0xa000812c
[71543.536956] PUF Read:0xaaaaaaaa at 0xa0008130
[71543.537017] PUF Read:0xaaaaaaaa at 0xa0008134
[71543.537017] PUF Read:0xaa8aaaaa at 0xa0008138
[71543.537017] PUF Read:0xaaaaaaaa at 0xa000813c
[71543.537078] PUF Read:0xaaaaaaaa at 0xa0008140
[71543.537109] PUF Read:0xaaaaaaaa at 0xa0008144
