[19919.104278] [i] Total hammer attempts per row: 506452
[19919.104278] EMIF 2 REG Write 0x00000618 at 0x4d000010
[19919.104309] EMIF 2 REG Read 0x00000618 at 0x4d000010
[19919.104309] EMIF 2 REG Write 0x00000618 at 0x4d000014
[19919.104339] EMIF 2 REG Read 0x00000618 at 0x4d000014
[19919.104339] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[19919.104370] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[19919.104370] Temp polling alert enabled
[19919.104370] Refresh enabled at EMIF2
[19919.104400] [i] Starting PUF read-out
[19919.104400] [i] Single-Sided Rowhammer (SSRH)
[19919.104431] PUF Read:0x00000010 at 0xa0008000
[19919.104431] PUF Read:0x00000400 at 0xa0008004
[19919.104461] PUF Read:0x00000000 at 0xa0008008
[19919.104461] PUF Read:0x00000000 at 0xa000800c
[19919.104461] PUF Read:0x00000000 at 0xa0008010
[19919.104553] PUF Read:0x00000100 at 0xa0008014
[19919.104583] PUF Read:0x00000000 at 0xa0008018
[19919.104583] PUF Read:0x10400000 at 0xa000801c
[19919.104583] PUF Read:0x00000000 at 0xa0008020
[19919.104644] PUF Read:0x40004000 at 0xa0008024
[19919.104644] PUF Read:0x00004000 at 0xa0008028
[19919.104644] PUF Read:0x00000010 at 0xa000802c
[19919.104736] PUF Read:0x40000000 at 0xa0008030
[19919.104736] PUF Read:0x04000000 at 0xa0008034
[19919.104736] PUF Read:0x00004000 at 0xa0008038
[19919.104736] PUF Read:0x00000000 at 0xa000803c
[19919.104827] PUF Read:0x00000001 at 0xa0008040
[19919.104827] PUF Read:0x00004000 at 0xa0008044
[19919.104888] PUF Read:0x00000000 at 0xa0008048
[19919.104919] PUF Read:0x00000001 at 0xa000804c
[19919.104919] PUF Read:0x00000000 at 0xa0008050
[19919.104919] PUF Read:0x00000000 at 0xa0008054
[19919.104980] PUF Read:0x00000000 at 0xa0008058
[19919.104980] PUF Read:0x00000000 at 0xa000805c
[19919.105041] PUF Read:0x00000000 at 0xa0008060
[19919.105072] PUF Read:0x00100000 at 0xa0008064
[19919.105072] PUF Read:0x00000000 at 0xa0008068
[19919.105072] PUF Read:0x00000000 at 0xa000806c
[19919.105133] PUF Read:0x00000000 at 0xa0008070
[19919.105133] PUF Read:0x00000000 at 0xa0008074
[19919.105133] PUF Read:0x00000000 at 0xa0008078
[19919.105224] PUF Read:0x00010000 at 0xa000807c
[19919.105255] PUF Read:0x00010000 at 0xa0008080
[19919.105255] PUF Read:0x00000000 at 0xa0008084
[19919.105255] PUF Read:0x00000000 at 0xa0008088
[19919.105316] PUF Read:0x00000000 at 0xa000808c
[19919.105316] PUF Read:0x00000000 at 0xa0008090
[19919.105377] PUF Read:0x10000000 at 0xa0008094
[19919.105407] PUF Read:0x00410001 at 0xa0008098
[19919.105407] PUF Read:0x00000000 at 0xa000809c
[19919.105468] PUF Read:0x00000000 at 0xa00080a0
[19919.105468] PUF Read:0x00010000 at 0xa00080a4
