[28990.699371] [i] Total hammer attempts per row: 253245
[28990.699401] EMIF 2 REG Write 0x00000618 at 0x4d000010
[28990.699432] EMIF 2 REG Read 0x00000618 at 0x4d000010
[28990.699432] EMIF 2 REG Write 0x00000618 at 0x4d000014
[28990.699462] EMIF 2 REG Read 0x00000618 at 0x4d000014
[28990.699462] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[28990.699462] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[28990.699493] Temp polling alert enabled
[28990.699493] Refresh enabled at EMIF2
[28990.699493] [i] Starting PUF read-out
[28990.699523] [i] Single-Sided Rowhammer (SSRH)
[28990.699523] PUF Read:0x00000000 at 0xa0008000
[28990.699554] PUF Read:0x00000000 at 0xa0008004
[28990.699554] PUF Read:0x00000000 at 0xa0008008
[28990.699554] PUF Read:0x00000000 at 0xa000800c
[28990.699645] PUF Read:0x00000000 at 0xa0008010
[28990.699645] PUF Read:0x00000100 at 0xa0008014
[28990.699645] PUF Read:0x00000000 at 0xa0008018
[28990.699645] PUF Read:0x00000000 at 0xa000801c
[28990.699737] PUF Read:0x00000000 at 0xa0008020
[28990.699737] PUF Read:0x40004000 at 0xa0008024
[28990.699798] PUF Read:0x00000000 at 0xa0008028
[28990.699829] PUF Read:0x00000000 at 0xa000802c
[28990.699829] PUF Read:0x00000000 at 0xa0008030
[28990.699890] PUF Read:0x00000000 at 0xa0008034
[28990.699890] PUF Read:0x00004000 at 0xa0008038
[28990.699890] PUF Read:0x00000000 at 0xa000803c
[28990.699890] PUF Read:0x00000001 at 0xa0008040
[28990.699981] PUF Read:0x00004000 at 0xa0008044
[28990.699981] PUF Read:0x00000000 at 0xa0008048
[28990.699981] PUF Read:0x00000000 at 0xa000804c
[28990.699981] PUF Read:0x00000000 at 0xa0008050
[28990.699981] PUF Read:0x00000000 at 0xa0008054
[28990.699981] PUF Read:0x00000000 at 0xa0008058
[28990.700134] PUF Read:0x00000000 at 0xa000805c
[28990.700134] PUF Read:0x00000000 at 0xa0008060
[28990.700134] PUF Read:0x00000000 at 0xa0008064
[28990.700134] PUF Read:0x00000000 at 0xa0008068
[28990.700134] PUF Read:0x00000000 at 0xa000806c
[28990.700134] PUF Read:0x00000000 at 0xa0008070
[28990.700286] PUF Read:0x00000000 at 0xa0008074
[28990.700286] PUF Read:0x00000000 at 0xa0008078
[28990.700286] PUF Read:0x00000000 at 0xa000807c
[28990.700286] PUF Read:0x00010000 at 0xa0008080
[28990.700286] PUF Read:0x00000000 at 0xa0008084
[28990.700286] PUF Read:0x00000000 at 0xa0008088
[28990.700439] PUF Read:0x00000000 at 0xa000808c
[28990.700439] PUF Read:0x00000000 at 0xa0008090
[28990.700439] PUF Read:0x00000000 at 0xa0008094
[28990.700439] PUF Read:0x00010000 at 0xa0008098
[28990.700439] PUF Read:0x00000000 at 0xa000809c
[28990.700439] PUF Read:0x00000000 at 0xa00080a0
[28990.700592] PUF Read:0x00000000 at 0xa00080a4
[28990.700592] PUF Read:0x00000000 at 0xa00080a8
[28990.700592] PUF Read:0x00000040 at 0xa00080ac
[28990.700592] PUF Read:0x00000000 at 0xa00080b0
[28990.700592] PUF Read:0x00000000 at 0xa00080b4
[28990.700592] PUF Read:0x00004000 at 0xa00080b8
[28990.700744] PUF Read:0x00000000 at 0xa00080bc
[28990.700775] PUF Read:0x00000000 at 0xa00080c0
[28990.700775] PUF Read:0x00000000 at 0xa00080c4
[28990.700775] PUF Read:0x00000000 at 0xa00080c8
[28990.700775] PUF Read:0x00000000 at 0xa00080cc
[28990.700775] PUF Read:0x40044000 at 0xa00080d0
[28990.700897] PUF Read:0x00000000 at 0xa00080d4
[28990.700897] PUF Read:0x00000000 at 0xa00080d8
[28990.700897] PUF Read:0x00000000 at 0xa00080dc
[28990.700897] PUF Read:0x01000000 at 0xa00080e0
[28990.700897] PUF Read:0x00000000 at 0xa00080e4
[28990.700897] PUF Read:0x00000000 at 0xa00080e8
[28990.701049] PUF Read:0x00000001 at 0xa00080ec
[28990.701049] PUF Read:0x00000000 at 0xa00080f0
[28990.701110] PUF Read:0x00000000 at 0xa00080f4
[28990.701110] PUF Read:0x00000100 at 0xa00080f8
[28990.701110] PUF Read:0x00000000 at 0xa00080fc
[28990.701171] PUF Read:0x00000000 at 0xa0008100
[28990.701202] PUF Read:0x00000000 at 0xa0008104
[28990.701202] PUF Read:0x00000000 at 0xa0008108
[28990.701202] PUF Read:0x00000000 at 0xa000810c
[28990.701263] PUF Read:0x00000000 at 0xa0008110
[28990.701263] PUF Read:0x00000000 at 0xa0008114
[28990.701324] PUF Read:0x00000000 at 0xa0008118
[28990.701354] PUF Read:0x00000000 at 0xa000811c
[28990.701354] PUF Read:0x00000000 at 0xa0008120
[28990.701354] PUF Read:0x00000400 at 0xa0008124
[28990.701416] PUF Read:0x00000040 at 0xa0008128
[28990.701416] PUF Read:0x00000000 at 0xa000812c
[28990.701477] PUF Read:0x00000000 at 0xa0008130
[28990.701507] PUF Read:0x00000000 at 0xa0008134
[28990.701507] PUF Read:0x00000000 at 0xa0008138
[28990.701507] PUF Read:0x00000000 at 0xa000813c
[28990.701568] PUF Read:0x00000000 at 0xa0008140
[28990.701568] PUF Read:0x00000000 at 0xa0008144
[28990.701629] PUF Read:0x00100400 at 0xa0008148
[28990.701660] PUF Read:0x00000000 at 0xa000814c
[28990.701660] PUF Read:0x00000000 at 0xa0008150
[28990.701660] PUF Read:0x00000000 at 0xa0008154
[28990.701660] PUF Read:0x00000000 at 0xa0008158
[28990.701660] PUF Read:0x00000040 at 0xa000815c
[28990.701660] PUF Read:0x00000000 at 0xa0008160
[28990.701812] PUF Read:0x00000000 at 0xa0008164
[28990.701812] PUF Read:0x00000000 at 0xa0008168
[28990.701812] PUF Read:0x00400000 at 0xa000816c
[28990.701812] PUF Read:0x00000000 at 0xa0008170
[28990.701812] PUF Read:0x00000000 at 0xa0008174
[28990.701934] PUF Read:0x00000000 at 0xa0008178
[28990.701965] PUF Read:0x00000000 at 0xa000817c
[28990.701965] PUF Read:0x00000000 at 0xa0008180
[28990.702026] PUF Read:0x00000000 at 0xa0008184
[28990.702026] PUF Read:0x00000000 at 0xa0008188
[28990.702026] PUF Read:0x00000000 at 0xa000818c
[28990.702087] PUF Read:0x00000000 at 0xa0008190
[28990.702117] PUF Read:0x40000000 at 0xa0008194
[28990.702117] PUF Read:0x00000000 at 0xa0008198
[28990.702117] PUF Read:0x00000000 at 0xa000819c
[28990.702178] PUF Read:0x00000000 at 0xa00081a0
[28990.702178] PUF Read:0x00000000 at 0xa00081a4
[28990.702239] PUF Read:0x00000000 at 0xa00081a8
[28990.702270] PUF Read:0x00000000 at 0xa00081ac
