[26828.440185] [i] Total hammer attempts per row: 818608
[26828.441680] EMIF 2 REG Write 0x00000618 at 0x4d000010
[26828.441711] EMIF 2 REG Read 0x00000618 at 0x4d000010
[26828.441711] EMIF 2 REG Write 0x00000618 at 0x4d000014
[26828.441741] EMIF 2 REG Read 0x00000618 at 0x4d000014
[26828.441741] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[26828.441772] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[26828.441772] Temp polling alert enabled
[26828.441772] Refresh enabled at EMIF2
[26828.441772] [i] Starting PUF read-out
[26828.441802] [i] Single-Sided Rowhammer (SSRH)
[26828.441802] PUF Read:0x00000000 at 0xa0008000
[26828.441833] PUF Read:0x00000000 at 0xa0008004
[26828.441833] PUF Read:0x00000000 at 0xa0008008
[26828.441833] PUF Read:0x00000000 at 0xa000800c
[26828.441925] PUF Read:0x00000000 at 0xa0008010
[26828.441955] PUF Read:0x00000100 at 0xa0008014
[26828.441955] PUF Read:0x00000000 at 0xa0008018
[26828.441955] PUF Read:0x00000000 at 0xa000801c
[26828.442016] PUF Read:0x00000000 at 0xa0008020
[26828.442016] PUF Read:0x40004000 at 0xa0008024
[26828.442077] PUF Read:0x00000000 at 0xa0008028
[26828.442108] PUF Read:0x00000000 at 0xa000802c
[26828.442108] PUF Read:0x00000000 at 0xa0008030
[26828.442108] PUF Read:0x00000000 at 0xa0008034
[26828.442169] PUF Read:0x00004000 at 0xa0008038
[26828.442169] PUF Read:0x00000000 at 0xa000803c
[26828.442230] PUF Read:0x00000001 at 0xa0008040
[26828.442260] PUF Read:0x00004000 at 0xa0008044
[26828.442260] PUF Read:0x00000000 at 0xa0008048
[26828.442321] PUF Read:0x00000000 at 0xa000804c
[26828.442321] PUF Read:0x00000000 at 0xa0008050
[26828.442321] PUF Read:0x00000000 at 0xa0008054
[26828.442382] PUF Read:0x00000000 at 0xa0008058
[26828.442413] PUF Read:0x00000000 at 0xa000805c
[26828.442413] PUF Read:0x00000000 at 0xa0008060
[26828.442413] PUF Read:0x00000000 at 0xa0008064
[26828.442474] PUF Read:0x00000000 at 0xa0008068
[26828.442474] PUF Read:0x00000000 at 0xa000806c
[26828.442535] PUF Read:0x00000000 at 0xa0008070
[26828.442565] PUF Read:0x00000000 at 0xa0008074
[26828.442565] PUF Read:0x00000000 at 0xa0008078
[26828.442565] PUF Read:0x00000000 at 0xa000807c
[26828.442626] PUF Read:0x00010000 at 0xa0008080
[26828.442626] PUF Read:0x00000000 at 0xa0008084
[26828.442687] PUF Read:0x00000000 at 0xa0008088
[26828.442718] PUF Read:0x00000000 at 0xa000808c
[26828.442718] PUF Read:0x00000000 at 0xa0008090
[26828.442718] PUF Read:0x00000000 at 0xa0008094
[26828.442779] PUF Read:0x00010000 at 0xa0008098
[26828.442779] PUF Read:0x00000000 at 0xa000809c
[26828.442840] PUF Read:0x00000000 at 0xa00080a0
[26828.442871] PUF Read:0x00000000 at 0xa00080a4
[26828.442871] PUF Read:0x00000000 at 0xa00080a8
[26828.442871] PUF Read:0x00000040 at 0xa00080ac
[26828.442871] PUF Read:0x00000000 at 0xa00080b0
[26828.442871] PUF Read:0x00000000 at 0xa00080b4
[26828.442993] PUF Read:0x00004000 at 0xa00080b8
[26828.442993] PUF Read:0x00000000 at 0xa00080bc
[26828.442993] PUF Read:0x00000000 at 0xa00080c0
[26828.442993] PUF Read:0x00000000 at 0xa00080c4
[26828.442993] PUF Read:0x00000000 at 0xa00080c8
