[ 4230.439971] [i] Total hammer attempts per row: 1637306
[ 4230.440063] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 4230.440093] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 4230.440093] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 4230.440093] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 4230.440124] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 4230.440124] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 4230.440155] Temp polling alert enabled
[ 4230.440155] Refresh enabled at EMIF2
[ 4230.440155] [i] Starting PUF read-out
[ 4230.440185] [i] Single-Sided Rowhammer (SSRH)
[ 4230.440185] PUF Read:0x00000010 at 0xa0008000
[ 4230.440185] PUF Read:0x00000400 at 0xa0008004
[ 4230.440185] PUF Read:0x00000000 at 0xa0008008
[ 4230.440277] PUF Read:0x00000000 at 0xa000800c
[ 4230.440307] PUF Read:0x00000000 at 0xa0008010
[ 4230.440307] PUF Read:0x00000100 at 0xa0008014
[ 4230.440307] PUF Read:0x00000000 at 0xa0008018
[ 4230.440368] PUF Read:0x10400100 at 0xa000801c
[ 4230.440368] PUF Read:0x40000000 at 0xa0008020
[ 4230.440368] PUF Read:0x40004000 at 0xa0008024
[ 4230.440460] PUF Read:0x00004000 at 0xa0008028
[ 4230.440460] PUF Read:0x00000010 at 0xa000802c
[ 4230.440460] PUF Read:0x40000000 at 0xa0008030
[ 4230.440460] PUF Read:0x04000000 at 0xa0008034
[ 4230.440551] PUF Read:0x00004000 at 0xa0008038
[ 4230.440551] PUF Read:0x00000000 at 0xa000803c
[ 4230.440612] PUF Read:0x00000001 at 0xa0008040
[ 4230.440643] PUF Read:0x00004000 at 0xa0008044
[ 4230.440643] PUF Read:0x00000010 at 0xa0008048
[ 4230.440643] PUF Read:0x00000001 at 0xa000804c
[ 4230.440704] PUF Read:0x00000000 at 0xa0008050
[ 4230.440704] PUF Read:0x00000000 at 0xa0008054
[ 4230.440765] PUF Read:0x00000000 at 0xa0008058
[ 4230.440795] PUF Read:0x00000000 at 0xa000805c
[ 4230.440795] PUF Read:0x00000000 at 0xa0008060
[ 4230.440795] PUF Read:0x00100000 at 0xa0008064
[ 4230.440856] PUF Read:0x00000000 at 0xa0008068
[ 4230.440856] PUF Read:0x00000000 at 0xa000806c
[ 4230.440917] PUF Read:0x00000000 at 0xa0008070
[ 4230.440948] PUF Read:0x00000000 at 0xa0008074
[ 4230.440948] PUF Read:0x00000000 at 0xa0008078
[ 4230.440948] PUF Read:0x00010000 at 0xa000807c
[ 4230.441009] PUF Read:0x00010000 at 0xa0008080
[ 4230.441009] PUF Read:0x00000000 at 0xa0008084
[ 4230.441070] PUF Read:0x00000000 at 0xa0008088
[ 4230.441101] PUF Read:0x00000000 at 0xa000808c
[ 4230.441101] PUF Read:0x00000000 at 0xa0008090
[ 4230.441101] PUF Read:0x10000000 at 0xa0008094
[ 4230.441101] PUF Read:0x00410001 at 0xa0008098
[ 4230.441101] PUF Read:0x00000000 at 0xa000809c
