[ 6993.104125] [i] Total hammer attempts per row: 818664
[ 6993.104125] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 6993.104125] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 6993.104217] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 6993.104217] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 6993.104248] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 6993.104248] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 6993.104278] Temp polling alert enabled
[ 6993.104278] Refresh enabled at EMIF2
[ 6993.104278] [i] Starting PUF read-out
[ 6993.104309] [i] Single-Sided Rowhammer (SSRH)
[ 6993.104309] PUF Read:0x00000000 at 0xa0008000
[ 6993.104309] PUF Read:0x00000000 at 0xa0008004
[ 6993.104370] PUF Read:0x00000000 at 0xa0008008
[ 6993.104400] PUF Read:0x00000000 at 0xa000800c
[ 6993.104400] PUF Read:0x00000000 at 0xa0008010
[ 6993.104400] PUF Read:0x00000100 at 0xa0008014
[ 6993.104400] PUF Read:0x00000000 at 0xa0008018
[ 6993.104492] PUF Read:0x00000000 at 0xa000801c
[ 6993.104492] PUF Read:0x00000000 at 0xa0008020
[ 6993.104553] PUF Read:0x40004000 at 0xa0008024
[ 6993.104583] PUF Read:0x00000000 at 0xa0008028
[ 6993.104583] PUF Read:0x00000000 at 0xa000802c
[ 6993.104583] PUF Read:0x00000000 at 0xa0008030
[ 6993.104644] PUF Read:0x00000000 at 0xa0008034
[ 6993.104644] PUF Read:0x00004000 at 0xa0008038
[ 6993.104705] PUF Read:0x00000000 at 0xa000803c
[ 6993.104736] PUF Read:0x00000001 at 0xa0008040
[ 6993.104736] PUF Read:0x00004000 at 0xa0008044
[ 6993.104736] PUF Read:0x00000000 at 0xa0008048
[ 6993.104797] PUF Read:0x00000000 at 0xa000804c
[ 6993.104797] PUF Read:0x00000000 at 0xa0008050
[ 6993.104858] PUF Read:0x00000000 at 0xa0008054
[ 6993.104858] PUF Read:0x00000000 at 0xa0008058
[ 6993.104858] PUF Read:0x00000000 at 0xa000805c
[ 6993.104858] PUF Read:0x00000000 at 0xa0008060
[ 6993.104858] PUF Read:0x00000000 at 0xa0008064
[ 6993.104858] PUF Read:0x00000000 at 0xa0008068
[ 6993.105010] PUF Read:0x00000000 at 0xa000806c
[ 6993.105010] PUF Read:0x00000000 at 0xa0008070
[ 6993.105010] PUF Read:0x00000000 at 0xa0008074
[ 6993.105010] PUF Read:0x00000000 at 0xa0008078
[ 6993.105010] PUF Read:0x00000000 at 0xa000807c
[ 6993.105010] PUF Read:0x00000000 at 0xa0008080
[ 6993.105163] PUF Read:0x00000000 at 0xa0008084
[ 6993.105163] PUF Read:0x00000000 at 0xa0008088
[ 6993.105163] PUF Read:0x00000000 at 0xa000808c
[ 6993.105224] PUF Read:0x00000000 at 0xa0008090
[ 6993.105224] PUF Read:0x00000000 at 0xa0008094
[ 6993.105285] PUF Read:0x00010000 at 0xa0008098
[ 6993.105316] PUF Read:0x00000000 at 0xa000809c
[ 6993.105316] PUF Read:0x00000000 at 0xa00080a0
[ 6993.105316] PUF Read:0x00000000 at 0xa00080a4
[ 6993.105377] PUF Read:0x00000000 at 0xa00080a8
[ 6993.105377] PUF Read:0x00000040 at 0xa00080ac
[ 6993.105438] PUF Read:0x00000000 at 0xa00080b0
[ 6993.105468] PUF Read:0x00000000 at 0xa00080b4
[ 6993.105468] PUF Read:0x00004000 at 0xa00080b8
[ 6993.105468] PUF Read:0x00000000 at 0xa00080bc
[ 6993.105529] PUF Read:0x00000000 at 0xa00080c0
[ 6993.105529] PUF Read:0x00000000 at 0xa00080c4
[ 6993.105590] PUF Read:0x00000000 at 0xa00080c8
[ 6993.105621] PUF Read:0x00000000 at 0xa00080cc
[ 6993.105621] PUF Read:0x40044000 at 0xa00080d0
[ 6993.105621] PUF Read:0x00000000 at 0xa00080d4
[ 6993.105682] PUF Read:0x00000000 at 0xa00080d8
[ 6993.105682] PUF Read:0x00000000 at 0xa00080dc
[ 6993.105743] PUF Read:0x01000000 at 0xa00080e0
[ 6993.105773] PUF Read:0x00000000 at 0xa00080e4
[ 6993.105773] PUF Read:0x00000000 at 0xa00080e8
[ 6993.105773] PUF Read:0x00000001 at 0xa00080ec
