[37046.377502] [i] Total hammer attempts per row: 1637854
[37046.377502] EMIF 2 REG Write 0x00000618 at 0x4d000010
[37046.377532] EMIF 2 REG Read 0x00000618 at 0x4d000010
[37046.377532] EMIF 2 REG Write 0x00000618 at 0x4d000014
[37046.377563] EMIF 2 REG Read 0x00000618 at 0x4d000014
[37046.377563] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[37046.377593] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[37046.377593] Temp polling alert enabled
[37046.377593] Refresh enabled at EMIF2
[37046.377624] [i] Starting PUF read-out
[37046.377624] [i] Single-Sided Rowhammer (SSRH)
[37046.377655] PUF Read:0x00000010 at 0xa0008000
[37046.377655] PUF Read:0x00000400 at 0xa0008004
[37046.377655] PUF Read:0x00000000 at 0xa0008008
[37046.377716] PUF Read:0x00000000 at 0xa000800c
[37046.377716] PUF Read:0x00000000 at 0xa0008010
[37046.377777] PUF Read:0x00000100 at 0xa0008014
[37046.377807] PUF Read:0x00000000 at 0xa0008018
[37046.377807] PUF Read:0x10400000 at 0xa000801c
[37046.377807] PUF Read:0x00000000 at 0xa0008020
[37046.377807] PUF Read:0x40004000 at 0xa0008024
[37046.377807] PUF Read:0x00004000 at 0xa0008028
[37046.377807] PUF Read:0x00000010 at 0xa000802c
[37046.377960] PUF Read:0x40000000 at 0xa0008030
[37046.377990] PUF Read:0x04000000 at 0xa0008034
[37046.377990] PUF Read:0x00004000 at 0xa0008038
[37046.377990] PUF Read:0x00000000 at 0xa000803c
[37046.378051] PUF Read:0x00000001 at 0xa0008040
[37046.378051] PUF Read:0x00004000 at 0xa0008044
[37046.378112] PUF Read:0x00000000 at 0xa0008048
[37046.378143] PUF Read:0x00000001 at 0xa000804c
[37046.378143] PUF Read:0x00000000 at 0xa0008050
[37046.378143] PUF Read:0x00000000 at 0xa0008054
[37046.378204] PUF Read:0x00000000 at 0xa0008058
[37046.378204] PUF Read:0x00000000 at 0xa000805c
[37046.378265] PUF Read:0x00000000 at 0xa0008060
[37046.378295] PUF Read:0x00100000 at 0xa0008064
[37046.378295] PUF Read:0x00000000 at 0xa0008068
[37046.378356] PUF Read:0x00000000 at 0xa000806c
[37046.378356] PUF Read:0x00000000 at 0xa0008070
[37046.378387] PUF Read:0x00000000 at 0xa0008074
[37046.378387] PUF Read:0x00000000 at 0xa0008078
[37046.378387] PUF Read:0x00010000 at 0xa000807c
[37046.378479] PUF Read:0x00010000 at 0xa0008080
[37046.378479] PUF Read:0x00000000 at 0xa0008084
[37046.378479] PUF Read:0x00000000 at 0xa0008088
[37046.378479] PUF Read:0x00000000 at 0xa000808c
[37046.378479] PUF Read:0x00000000 at 0xa0008090
[37046.378479] PUF Read:0x10000000 at 0xa0008094
[37046.378631] PUF Read:0x00410001 at 0xa0008098
[37046.378631] PUF Read:0x00000000 at 0xa000809c
[37046.378631] PUF Read:0x00000000 at 0xa00080a0
[37046.378631] PUF Read:0x00010000 at 0xa00080a4
[37046.378631] PUF Read:0x00010001 at 0xa00080a8
[37046.378631] PUF Read:0x00000040 at 0xa00080ac
[37046.378784] PUF Read:0x00000000 at 0xa00080b0
[37046.378784] PUF Read:0x00000000 at 0xa00080b4
[37046.378784] PUF Read:0x00004000 at 0xa00080b8
[37046.378784] PUF Read:0x00000000 at 0xa00080bc
[37046.378784] PUF Read:0x00000400 at 0xa00080c0
[37046.378784] PUF Read:0x00000000 at 0xa00080c4
[37046.378936] PUF Read:0x10000000 at 0xa00080c8
[37046.378936] PUF Read:0x01000000 at 0xa00080cc
[37046.378936] PUF Read:0x40045000 at 0xa00080d0
[37046.378936] PUF Read:0x00000000 at 0xa00080d4
[37046.378936] PUF Read:0x00001000 at 0xa00080d8
[37046.378936] PUF Read:0x00000000 at 0xa00080dc
[37046.379089] PUF Read:0x01000000 at 0xa00080e0
[37046.379119] PUF Read:0x00000000 at 0xa00080e4
[37046.379119] PUF Read:0x00000000 at 0xa00080e8
[37046.379119] PUF Read:0x00000001 at 0xa00080ec
[37046.379180] PUF Read:0x00000000 at 0xa00080f0
[37046.379180] PUF Read:0x00000000 at 0xa00080f4
[37046.379241] PUF Read:0x00000100 at 0xa00080f8
[37046.379241] PUF Read:0x00000000 at 0xa00080fc
[37046.379241] PUF Read:0x00000000 at 0xa0008100
[37046.379241] PUF Read:0x00000000 at 0xa0008104
[37046.379241] PUF Read:0x00000000 at 0xa0008108
[37046.379241] PUF Read:0x00100000 at 0xa000810c
[37046.379394] PUF Read:0x00000000 at 0xa0008110
[37046.379425] PUF Read:0x00400000 at 0xa0008114
[37046.379425] PUF Read:0x00000000 at 0xa0008118
[37046.379425] PUF Read:0x00000000 at 0xa000811c
[37046.379486] PUF Read:0x00000000 at 0xa0008120
[37046.379486] PUF Read:0x00000400 at 0xa0008124
[37046.379547] PUF Read:0x00000040 at 0xa0008128
[37046.379547] PUF Read:0x00000000 at 0xa000812c
[37046.379547] PUF Read:0x00000000 at 0xa0008130
[37046.379547] PUF Read:0x00000000 at 0xa0008134
[37046.379547] PUF Read:0x00010000 at 0xa0008138
[37046.379547] PUF Read:0x00000000 at 0xa000813c
[37046.379699] PUF Read:0x40000400 at 0xa0008140
[37046.379699] PUF Read:0x00000000 at 0xa0008144
[37046.379699] PUF Read:0x00100400 at 0xa0008148
[37046.379699] PUF Read:0x00000000 at 0xa000814c
[37046.379699] PUF Read:0x00000000 at 0xa0008150
[37046.379821] PUF Read:0x00000000 at 0xa0008154
[37046.379852] PUF Read:0x00000000 at 0xa0008158
[37046.379852] PUF Read:0x00100040 at 0xa000815c
[37046.379852] PUF Read:0x00001000 at 0xa0008160
[37046.379852] PUF Read:0x00000000 at 0xa0008164
[37046.379943] PUF Read:0x04000000 at 0xa0008168
[37046.379943] PUF Read:0x00400000 at 0xa000816c
[37046.380004] PUF Read:0x00000000 at 0xa0008170
[37046.380035] PUF Read:0x00100000 at 0xa0008174
[37046.380035] PUF Read:0x00000000 at 0xa0008178
[37046.380035] PUF Read:0x00000000 at 0xa000817c
[37046.380035] PUF Read:0x00000000 at 0xa0008180
[37046.380035] PUF Read:0x00000000 at 0xa0008184
[37046.380035] PUF Read:0x00040000 at 0xa0008188
[37046.380187] PUF Read:0x00000040 at 0xa000818c
[37046.380187] PUF Read:0x00000000 at 0xa0008190
[37046.380187] PUF Read:0x40000000 at 0xa0008194
[37046.380187] PUF Read:0x00000000 at 0xa0008198
[37046.380187] PUF Read:0x00000000 at 0xa000819c
[37046.380310] PUF Read:0x00000000 at 0xa00081a0
[37046.380340] PUF Read:0x00000000 at 0xa00081a4
[37046.380340] PUF Read:0x00000000 at 0xa00081a8
[37046.380340] PUF Read:0x00000040 at 0xa00081ac
[37046.380401] PUF Read:0x00410000 at 0xa00081b0
[37046.380401] PUF Read:0x00100000 at 0xa00081b4
[37046.380462] PUF Read:0x00004000 at 0xa00081b8
[37046.380493] PUF Read:0x00100000 at 0xa00081bc
[37046.380493] PUF Read:0x00000000 at 0xa00081c0
[37046.380493] PUF Read:0x00000004 at 0xa00081c4
[37046.380554] PUF Read:0x00000000 at 0xa00081c8
[37046.380554] PUF Read:0x00010000 at 0xa00081cc
[37046.380615] PUF Read:0x10000000 at 0xa00081d0
[37046.380645] PUF Read:0x00000000 at 0xa00081d4
[37046.380645] PUF Read:0x10000000 at 0xa00081d8
[37046.380706] PUF Read:0x00000000 at 0xa00081dc
[37046.380706] PUF Read:0x00000000 at 0xa00081e0
[37046.380706] PUF Read:0x00000040 at 0xa00081e4
[37046.380767] PUF Read:0x00000000 at 0xa00081e8
[37046.380798] PUF Read:0x00000010 at 0xa00081ec
[37046.380798] PUF Read:0x00000001 at 0xa00081f0
[37046.380859] PUF Read:0x00000400 at 0xa00081f4
[37046.380859] PUF Read:0x00000000 at 0xa00081f8
[37046.380859] PUF Read:0x00000040 at 0xa00081fc
[37046.380920] PUF Read:0x00000000 at 0xa0008200
[37046.380950] PUF Read:0x00000000 at 0xa0008204
[37046.380950] PUF Read:0x00000010 at 0xa0008208
[37046.380950] PUF Read:0x00000000 at 0xa000820c
[37046.381011] PUF Read:0x00000000 at 0xa0008210
[37046.381011] PUF Read:0x00000000 at 0xa0008214
[37046.381072] PUF Read:0x00000400 at 0xa0008218
[37046.381103] PUF Read:0x00000000 at 0xa000821c
[37046.381103] PUF Read:0x00000000 at 0xa0008220
[37046.381103] PUF Read:0x00100000 at 0xa0008224
[37046.381103] PUF Read:0x00000000 at 0xa0008228
[37046.381103] PUF Read:0x00000000 at 0xa000822c
[37046.381225] PUF Read:0x00000500 at 0xa0008230
[37046.381256] PUF Read:0x00400000 at 0xa0008234
[37046.381256] PUF Read:0x00000000 at 0xa0008238
[37046.381256] PUF Read:0x00000400 at 0xa000823c
[37046.381256] PUF Read:0x00000000 at 0xa0008240
[37046.381256] PUF Read:0x00000000 at 0xa0008244
[37046.381256] PUF Read:0x00040000 at 0xa0008248
[37046.381408] PUF Read:0x00000000 at 0xa000824c
[37046.381408] PUF Read:0x00000000 at 0xa0008250
[37046.381408] PUF Read:0x00100000 at 0xa0008254
[37046.381408] PUF Read:0x00000000 at 0xa0008258
[37046.381500] PUF Read:0x04040000 at 0xa000825c
[37046.381500] PUF Read:0x00000000 at 0xa0008260
[37046.381561] PUF Read:0x00000000 at 0xa0008264
[37046.381591] PUF Read:0x00000400 at 0xa0008268
[37046.381591] PUF Read:0x00001000 at 0xa000826c
[37046.381652] PUF Read:0x00000000 at 0xa0008270
[37046.381652] PUF Read:0x00000000 at 0xa0008274
[37046.381652] PUF Read:0x00000040 at 0xa0008278
[37046.381713] PUF Read:0x00100000 at 0xa000827c
[37046.381744] PUF Read:0x40000000 at 0xa0008280
[37046.381744] PUF Read:0x00000000 at 0xa0008284
[37046.381805] PUF Read:0x00400000 at 0xa0008288
[37046.381805] PUF Read:0x00000000 at 0xa000828c
[37046.381805] PUF Read:0x00000000 at 0xa0008290
[37046.381866] PUF Read:0x00000000 at 0xa0008294
[37046.381896] PUF Read:0x00000000 at 0xa0008298
[37046.381896] PUF Read:0x00000000 at 0xa000829c
[37046.381958] PUF Read:0x00000000 at 0xa00082a0
[37046.381958] PUF Read:0x00001000 at 0xa00082a4
[37046.381958] PUF Read:0x00000000 at 0xa00082a8
[37046.381958] PUF Read:0x00000000 at 0xa00082ac
[37046.382049] PUF Read:0x00000000 at 0xa00082b0
[37046.382049] PUF Read:0x00000000 at 0xa00082b4
[37046.382049] PUF Read:0x00000040 at 0xa00082b8
[37046.382049] PUF Read:0x00000000 at 0xa00082bc
[37046.382049] PUF Read:0x00000000 at 0xa00082c0
[37046.382049] PUF Read:0x00000000 at 0xa00082c4
[37046.382202] PUF Read:0x10000000 at 0xa00082c8
[37046.382202] PUF Read:0x00000000 at 0xa00082cc
[37046.382263] PUF Read:0x00100000 at 0xa00082d0
[37046.382263] PUF Read:0x00000000 at 0xa00082d4
[37046.382263] PUF Read:0x00000000 at 0xa00082d8
[37046.382263] PUF Read:0x00004000 at 0xa00082dc
[37046.382354] PUF Read:0x00000000 at 0xa00082e0
[37046.382354] PUF Read:0x00000400 at 0xa00082e4
[37046.382354] PUF Read:0x00000100 at 0xa00082e8
[37046.382354] PUF Read:0x00000001 at 0xa00082ec
[37046.382354] PUF Read:0x00000001 at 0xa00082f0
[37046.382354] PUF Read:0x00000000 at 0xa00082f4
[37046.382507] PUF Read:0x00000000 at 0xa00082f8
[37046.382507] PUF Read:0x00000000 at 0xa00082fc
[37046.382568] PUF Read:0x00000100 at 0xa0008300
[37046.382568] PUF Read:0x00000000 at 0xa0008304
[37046.382568] PUF Read:0x00000000 at 0xa0008308
[37046.382568] PUF Read:0x00000000 at 0xa000830c
[37046.382659] PUF Read:0x00000000 at 0xa0008310
[37046.382659] PUF Read:0x00000010 at 0xa0008314
[37046.382659] PUF Read:0x01400000 at 0xa0008318
[37046.382659] PUF Read:0x10000000 at 0xa000831c
[37046.382659] PUF Read:0x00000000 at 0xa0008320
[37046.382659] PUF Read:0x00000100 at 0xa0008324
[37046.382812] PUF Read:0x00000000 at 0xa0008328
[37046.382812] PUF Read:0x00010000 at 0xa000832c
[37046.382812] PUF Read:0x00000004 at 0xa0008330
[37046.382812] PUF Read:0x00000100 at 0xa0008334
[37046.382812] PUF Read:0x00001000 at 0xa0008338
[37046.382812] PUF Read:0x00000000 at 0xa000833c
[37046.382812] PUF Read:0x10000100 at 0xa0008340
[37046.382995] PUF Read:0x00000001 at 0xa0008344
[37046.382995] PUF Read:0x00000000 at 0xa0008348
[37046.382995] PUF Read:0x00000100 at 0xa000834c
[37046.382995] PUF Read:0x00000000 at 0xa0008350
[37046.382995] PUF Read:0x00000000 at 0xa0008354
[37046.382995] PUF Read:0x00000000 at 0xa0008358
[37046.383148] PUF Read:0x00000000 at 0xa000835c
[37046.383148] PUF Read:0x00010000 at 0xa0008360
[37046.383209] PUF Read:0x00000000 at 0xa0008364
[37046.383209] PUF Read:0x00000000 at 0xa0008368
[37046.383209] PUF Read:0x00000400 at 0xa000836c
[37046.383270] PUF Read:0x00000000 at 0xa0008370
[37046.383300] PUF Read:0x00000000 at 0xa0008374
[37046.383300] PUF Read:0x40000000 at 0xa0008378
[37046.383300] PUF Read:0x00000000 at 0xa000837c
[37046.383300] PUF Read:0x00000000 at 0xa0008380
[37046.383300] PUF Read:0x00000000 at 0xa0008384
[37046.383300] PUF Read:0x00000000 at 0xa0008388
