[ 5131.299438] [i] Total hammer attempts per row: 1637815
[ 5131.301940] PUF Read:0x00000000 at 0xa0008178
[ 5131.302001] PUF Read:0x00004000 at 0xa000817c
[ 5131.302001] PUF Read:0x00000000 at 0xa0008180
[ 5131.302001] PUF Read:0x00000000 at 0xa0008184
[ 5131.302093] PUF Read:0x00040000 at 0xa0008188
[ 5131.302124] PUF Read:0x00000440 at 0xa000818c
[ 5131.302124] PUF Read:0x00000000 at 0xa0008190
[ 5131.302124] PUF Read:0x40000000 at 0xa0008194
[ 5131.302185] PUF Read:0x00000004 at 0xa0008198
[ 5131.302185] PUF Read:0x00000000 at 0xa000819c
[ 5131.302246] PUF Read:0x00000000 at 0xa00081a0
[ 5131.302276] PUF Read:0x00000000 at 0xa00081a4
[ 5131.302276] PUF Read:0x00000000 at 0xa00081a8
[ 5131.302276] PUF Read:0x00000040 at 0xa00081ac
[ 5131.302337] PUF Read:0x00410000 at 0xa00081b0
[ 5131.302337] PUF Read:0x00100000 at 0xa00081b4
[ 5131.302398] PUF Read:0x00004000 at 0xa00081b8
[ 5131.302429] PUF Read:0x00100000 at 0xa00081bc
[ 5131.302429] PUF Read:0x00000000 at 0xa00081c0
[ 5131.302429] PUF Read:0x00000004 at 0xa00081c4
[ 5131.302490] PUF Read:0x00000000 at 0xa00081c8
[ 5131.302490] PUF Read:0x00010000 at 0xa00081cc
[ 5131.302551] PUF Read:0x10000000 at 0xa00081d0
[ 5131.302581] PUF Read:0x00000000 at 0xa00081d4
[ 5131.302581] PUF Read:0x10000000 at 0xa00081d8
[ 5131.302581] PUF Read:0x00004000 at 0xa00081dc
[ 5131.302581] PUF Read:0x00000000 at 0xa00081e0
[ 5131.302581] PUF Read:0x00000040 at 0xa00081e4
[ 5131.302703] PUF Read:0x00000000 at 0xa00081e8
[ 5131.302734] PUF Read:0x00000010 at 0xa00081ec
[ 5131.302734] PUF Read:0x00000001 at 0xa00081f0
[ 5131.302795] PUF Read:0x00010400 at 0xa00081f4
[ 5131.302795] PUF Read:0x00000000 at 0xa00081f8
[ 5131.302795] PUF Read:0x00000040 at 0xa00081fc
[ 5131.302856] PUF Read:0x00000000 at 0xa0008200
[ 5131.302886] PUF Read:0x00000000 at 0xa0008204
[ 5131.302886] PUF Read:0x00000010 at 0xa0008208
[ 5131.302886] PUF Read:0x00000000 at 0xa000820c
[ 5131.302947] PUF Read:0x00400000 at 0xa0008210
[ 5131.302947] PUF Read:0x00000000 at 0xa0008214
[ 5131.303009] PUF Read:0x00000400 at 0xa0008218
[ 5131.303039] PUF Read:0x00000000 at 0xa000821c
[ 5131.303039] PUF Read:0x00000000 at 0xa0008220
[ 5131.303039] PUF Read:0x00100000 at 0xa0008224
[ 5131.303100] PUF Read:0x00000000 at 0xa0008228
[ 5131.303100] PUF Read:0x00000000 at 0xa000822c
[ 5131.303161] PUF Read:0x00000500 at 0xa0008230
[ 5131.303192] PUF Read:0x00400000 at 0xa0008234
[ 5131.303192] PUF Read:0x00000000 at 0xa0008238
[ 5131.303192] PUF Read:0x00000400 at 0xa000823c
[ 5131.303253] PUF Read:0x01000004 at 0xa0008240
[ 5131.303253] PUF Read:0x00000000 at 0xa0008244
[ 5131.303314] PUF Read:0x00040000 at 0xa0008248
[ 5131.303344] PUF Read:0x00000000 at 0xa000824c
[ 5131.303344] PUF Read:0x04000000 at 0xa0008250
[ 5131.303344] PUF Read:0x00100000 at 0xa0008254
[ 5131.303405] PUF Read:0x00000000 at 0xa0008258
[ 5131.303405] PUF Read:0x04040000 at 0xa000825c
[ 5131.303466] PUF Read:0x00000000 at 0xa0008260
[ 5131.303497] PUF Read:0x00001000 at 0xa0008264
[ 5131.303497] PUF Read:0x00000400 at 0xa0008268
[ 5131.303497] PUF Read:0x00001000 at 0xa000826c
[ 5131.303558] PUF Read:0x00000000 at 0xa0008270
[ 5131.303588] PUF Read:0x00000000 at 0xa0008274
[ 5131.303588] PUF Read:0x00000040 at 0xa0008278
[ 5131.303649] PUF Read:0x00100000 at 0xa000827c
[ 5131.303680] PUF Read:0x40000000 at 0xa0008280
[ 5131.303680] PUF Read:0x00000000 at 0xa0008284
[ 5131.303680] PUF Read:0x00400000 at 0xa0008288
[ 5131.303741] PUF Read:0x00000000 at 0xa000828c
[ 5131.303741] PUF Read:0x00000000 at 0xa0008290
[ 5131.303802] PUF Read:0x00000000 at 0xa0008294
[ 5131.303833] PUF Read:0x00000000 at 0xa0008298
