[ 6092.246124] [i] Total hammer attempts per row: 818696
[ 6092.246124] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 6092.246154] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 6092.246154] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 6092.246185] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 6092.246185] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 6092.246215] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 6092.246215] Temp polling alert enabled
[ 6092.246215] Refresh enabled at EMIF2
[ 6092.246246] [i] Starting PUF read-out
[ 6092.246246] [i] Single-Sided Rowhammer (SSRH)
[ 6092.246246] PUF Read:0x00000000 at 0xa0008000
[ 6092.246276] PUF Read:0x00000000 at 0xa0008004
[ 6092.246276] PUF Read:0x00000000 at 0xa0008008
[ 6092.246276] PUF Read:0x00000000 at 0xa000800c
[ 6092.246368] PUF Read:0x00000000 at 0xa0008010
[ 6092.246398] PUF Read:0x00000100 at 0xa0008014
[ 6092.246398] PUF Read:0x00000000 at 0xa0008018
[ 6092.246398] PUF Read:0x00000000 at 0xa000801c
[ 6092.246459] PUF Read:0x00000000 at 0xa0008020
[ 6092.246459] PUF Read:0x40004000 at 0xa0008024
[ 6092.246520] PUF Read:0x00000000 at 0xa0008028
[ 6092.246551] PUF Read:0x00000000 at 0xa000802c
[ 6092.246551] PUF Read:0x00000000 at 0xa0008030
[ 6092.246551] PUF Read:0x00000000 at 0xa0008034
[ 6092.246612] PUF Read:0x00004000 at 0xa0008038
[ 6092.246612] PUF Read:0x00000000 at 0xa000803c
[ 6092.246673] PUF Read:0x00000001 at 0xa0008040
[ 6092.246704] PUF Read:0x00004000 at 0xa0008044
[ 6092.246704] PUF Read:0x00000000 at 0xa0008048
[ 6092.246704] PUF Read:0x00000000 at 0xa000804c
[ 6092.246765] PUF Read:0x00000000 at 0xa0008050
[ 6092.246765] PUF Read:0x00000000 at 0xa0008054
[ 6092.246826] PUF Read:0x00000000 at 0xa0008058
[ 6092.246826] PUF Read:0x00000000 at 0xa000805c
[ 6092.246826] PUF Read:0x00000000 at 0xa0008060
[ 6092.246826] PUF Read:0x00000000 at 0xa0008064
[ 6092.246826] PUF Read:0x00000000 at 0xa0008068
[ 6092.246948] PUF Read:0x00000000 at 0xa000806c
[ 6092.246978] PUF Read:0x00000000 at 0xa0008070
[ 6092.246978] PUF Read:0x00000000 at 0xa0008074
[ 6092.247039] PUF Read:0x00000000 at 0xa0008078
[ 6092.247039] PUF Read:0x00000000 at 0xa000807c
[ 6092.247039] PUF Read:0x00000000 at 0xa0008080
[ 6092.247100] PUF Read:0x00000000 at 0xa0008084
[ 6092.247131] PUF Read:0x00000000 at 0xa0008088
[ 6092.247131] PUF Read:0x00000000 at 0xa000808c
[ 6092.247131] PUF Read:0x00000000 at 0xa0008090
[ 6092.247192] PUF Read:0x00000000 at 0xa0008094
[ 6092.247192] PUF Read:0x00010000 at 0xa0008098
[ 6092.247253] PUF Read:0x00000000 at 0xa000809c
[ 6092.247283] PUF Read:0x00000000 at 0xa00080a0
[ 6092.247283] PUF Read:0x00000000 at 0xa00080a4
[ 6092.247283] PUF Read:0x00000000 at 0xa00080a8
[ 6092.247344] PUF Read:0x00000040 at 0xa00080ac
[ 6092.247344] PUF Read:0x00000000 at 0xa00080b0
[ 6092.247406] PUF Read:0x00000000 at 0xa00080b4
[ 6092.247436] PUF Read:0x00004000 at 0xa00080b8
[ 6092.247436] PUF Read:0x00000000 at 0xa00080bc
[ 6092.247436] PUF Read:0x00000000 at 0xa00080c0
[ 6092.247497] PUF Read:0x00000000 at 0xa00080c4
[ 6092.247497] PUF Read:0x00000000 at 0xa00080c8
[ 6092.247558] PUF Read:0x00000000 at 0xa00080cc
[ 6092.247589] PUF Read:0x40044000 at 0xa00080d0
[ 6092.247589] PUF Read:0x00000000 at 0xa00080d4
[ 6092.247589] PUF Read:0x00000000 at 0xa00080d8
[ 6092.247650] PUF Read:0x00000000 at 0xa00080dc
[ 6092.247650] PUF Read:0x01000000 at 0xa00080e0
[ 6092.247711] PUF Read:0x00000000 at 0xa00080e4
[ 6092.247711] PUF Read:0x00000000 at 0xa00080e8
[ 6092.247711] PUF Read:0x00000001 at 0xa00080ec
[ 6092.247711] PUF Read:0x00000000 at 0xa00080f0
[ 6092.247711] PUF Read:0x00000000 at 0xa00080f4
[ 6092.247833] PUF Read:0x00000100 at 0xa00080f8
[ 6092.247863] PUF Read:0x00000000 at 0xa00080fc
[ 6092.247863] PUF Read:0x00000000 at 0xa0008100
[ 6092.247863] PUF Read:0x00000000 at 0xa0008104
[ 6092.247924] PUF Read:0x00000000 at 0xa0008108
[ 6092.247924] PUF Read:0x00000000 at 0xa000810c
[ 6092.247985] PUF Read:0x00000000 at 0xa0008110
[ 6092.248016] PUF Read:0x00000000 at 0xa0008114
[ 6092.248016] PUF Read:0x00000000 at 0xa0008118
[ 6092.248016] PUF Read:0x00000000 at 0xa000811c
[ 6092.248077] PUF Read:0x00000000 at 0xa0008120
[ 6092.248077] PUF Read:0x00000000 at 0xa0008124
[ 6092.248138] PUF Read:0x00000040 at 0xa0008128
[ 6092.248168] PUF Read:0x00000000 at 0xa000812c
[ 6092.248168] PUF Read:0x00000000 at 0xa0008130
[ 6092.248168] PUF Read:0x00000000 at 0xa0008134
