[ 9100.559082] [i] Total hammer attempts per row: 506561
[ 9100.559082] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 9100.559082] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 9100.559143] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 9100.559143] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 9100.559173] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 9100.559173] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 9100.559204] Temp polling alert enabled
[ 9100.559204] Refresh enabled at EMIF2
[ 9100.559204] [i] Starting PUF read-out
[ 9100.559234] [i] Single-Sided Rowhammer (SSRH)
[ 9100.559234] PUF Read:0x00000010 at 0xa0008000
[ 9100.559234] PUF Read:0x00000400 at 0xa0008004
[ 9100.559234] PUF Read:0x00000000 at 0xa0008008
[ 9100.559326] PUF Read:0x00000000 at 0xa000800c
[ 9100.559356] PUF Read:0x00000000 at 0xa0008010
[ 9100.559356] PUF Read:0x00000100 at 0xa0008014
[ 9100.559356] PUF Read:0x00000000 at 0xa0008018
[ 9100.559417] PUF Read:0x10400000 at 0xa000801c
[ 9100.559417] PUF Read:0x00000000 at 0xa0008020
[ 9100.559478] PUF Read:0x40004000 at 0xa0008024
[ 9100.559509] PUF Read:0x00004000 at 0xa0008028
[ 9100.559509] PUF Read:0x00000010 at 0xa000802c
[ 9100.559570] PUF Read:0x40000000 at 0xa0008030
[ 9100.559570] PUF Read:0x04000000 at 0xa0008034
[ 9100.559570] PUF Read:0x00004000 at 0xa0008038
[ 9100.559570] PUF Read:0x00000000 at 0xa000803c
[ 9100.559661] PUF Read:0x00000001 at 0xa0008040
[ 9100.559661] PUF Read:0x00004000 at 0xa0008044
[ 9100.559722] PUF Read:0x00000000 at 0xa0008048
[ 9100.559722] PUF Read:0x00000001 at 0xa000804c
[ 9100.559722] PUF Read:0x00000000 at 0xa0008050
[ 9100.559783] PUF Read:0x00000000 at 0xa0008054
[ 9100.559814] PUF Read:0x00000000 at 0xa0008058
[ 9100.559814] PUF Read:0x00000000 at 0xa000805c
[ 9100.559814] PUF Read:0x00000000 at 0xa0008060
[ 9100.559875] PUF Read:0x00100000 at 0xa0008064
[ 9100.559875] PUF Read:0x00000000 at 0xa0008068
[ 9100.559936] PUF Read:0x00000000 at 0xa000806c
[ 9100.559967] PUF Read:0x00000000 at 0xa0008070
[ 9100.559967] PUF Read:0x00000000 at 0xa0008074
[ 9100.559967] PUF Read:0x00000000 at 0xa0008078
[ 9100.560028] PUF Read:0x00010000 at 0xa000807c
[ 9100.560028] PUF Read:0x00010000 at 0xa0008080
[ 9100.560089] PUF Read:0x00000000 at 0xa0008084
[ 9100.560119] PUF Read:0x00000000 at 0xa0008088
[ 9100.560119] PUF Read:0x00000000 at 0xa000808c
[ 9100.560119] PUF Read:0x00000000 at 0xa0008090
[ 9100.560180] PUF Read:0x10000000 at 0xa0008094
[ 9100.560180] PUF Read:0x00410001 at 0xa0008098
[ 9100.560241] PUF Read:0x00000000 at 0xa000809c
[ 9100.560272] PUF Read:0x00000000 at 0xa00080a0
[ 9100.560272] PUF Read:0x00010000 at 0xa00080a4
[ 9100.560272] PUF Read:0x00000001 at 0xa00080a8
[ 9100.560333] PUF Read:0x00000040 at 0xa00080ac
[ 9100.560333] PUF Read:0x00000000 at 0xa00080b0
[ 9100.560394] PUF Read:0x00000000 at 0xa00080b4
[ 9100.560394] PUF Read:0x00004000 at 0xa00080b8
[ 9100.560394] PUF Read:0x00000000 at 0xa00080bc
[ 9100.560394] PUF Read:0x00000400 at 0xa00080c0
[ 9100.560394] PUF Read:0x00000000 at 0xa00080c4
[ 9100.560516] PUF Read:0x10100000 at 0xa00080c8
[ 9100.560546] PUF Read:0x01000000 at 0xa00080cc
[ 9100.560546] PUF Read:0x40045000 at 0xa00080d0
[ 9100.560546] PUF Read:0x00000000 at 0xa00080d4
[ 9100.560546] PUF Read:0x00001000 at 0xa00080d8
[ 9100.560546] PUF Read:0x00000000 at 0xa00080dc
[ 9100.560546] PUF Read:0x01000000 at 0xa00080e0
[ 9100.560699] PUF Read:0x00000000 at 0xa00080e4
[ 9100.560699] PUF Read:0x00000000 at 0xa00080e8
[ 9100.560699] PUF Read:0x00000001 at 0xa00080ec
[ 9100.560699] PUF Read:0x00000000 at 0xa00080f0
[ 9100.560699] PUF Read:0x00000000 at 0xa00080f4
[ 9100.560821] PUF Read:0x00000100 at 0xa00080f8
[ 9100.560852] PUF Read:0x00000000 at 0xa00080fc
[ 9100.560852] PUF Read:0x00000000 at 0xa0008100
[ 9100.560852] PUF Read:0x00000000 at 0xa0008104
[ 9100.560913] PUF Read:0x00000000 at 0xa0008108
[ 9100.560913] PUF Read:0x00100000 at 0xa000810c
[ 9100.560974] PUF Read:0x00000000 at 0xa0008110
[ 9100.561004] PUF Read:0x00400000 at 0xa0008114
[ 9100.561004] PUF Read:0x00000000 at 0xa0008118
[ 9100.561004] PUF Read:0x00000000 at 0xa000811c
[ 9100.561065] PUF Read:0x01000000 at 0xa0008120
[ 9100.561065] PUF Read:0x00000400 at 0xa0008124
[ 9100.561126] PUF Read:0x00000040 at 0xa0008128
[ 9100.561157] PUF Read:0x00000000 at 0xa000812c
[ 9100.561157] PUF Read:0x00000000 at 0xa0008130
[ 9100.561157] PUF Read:0x00000000 at 0xa0008134
[ 9100.561157] PUF Read:0x00010000 at 0xa0008138
[ 9100.561157] PUF Read:0x00000000 at 0xa000813c
[ 9100.561279] PUF Read:0x40000400 at 0xa0008140
[ 9100.561279] PUF Read:0x00000000 at 0xa0008144
[ 9100.561279] PUF Read:0x00100400 at 0xa0008148
[ 9100.561279] PUF Read:0x00000000 at 0xa000814c
[ 9100.561279] PUF Read:0x00000000 at 0xa0008150
[ 9100.561279] PUF Read:0x00000000 at 0xa0008154
[ 9100.561431] PUF Read:0x00000000 at 0xa0008158
[ 9100.561462] PUF Read:0x00100040 at 0xa000815c
[ 9100.561462] PUF Read:0x00001000 at 0xa0008160
[ 9100.561462] PUF Read:0x00000000 at 0xa0008164
[ 9100.561462] PUF Read:0x04000000 at 0xa0008168
[ 9100.561462] PUF Read:0x00400000 at 0xa000816c
[ 9100.561462] PUF Read:0x00000000 at 0xa0008170
[ 9100.561614] PUF Read:0x00100000 at 0xa0008174
[ 9100.561614] PUF Read:0x00000000 at 0xa0008178
[ 9100.561614] PUF Read:0x00004000 at 0xa000817c
[ 9100.561614] PUF Read:0x00000000 at 0xa0008180
[ 9100.561614] PUF Read:0x00000000 at 0xa0008184
[ 9100.561614] PUF Read:0x00040000 at 0xa0008188
[ 9100.561767] PUF Read:0x00000440 at 0xa000818c
[ 9100.561767] PUF Read:0x00000000 at 0xa0008190
[ 9100.561767] PUF Read:0x40000000 at 0xa0008194
[ 9100.561767] PUF Read:0x00000004 at 0xa0008198
[ 9100.561767] PUF Read:0x00000000 at 0xa000819c
[ 9100.561767] PUF Read:0x00000000 at 0xa00081a0
[ 9100.561920] PUF Read:0x00000000 at 0xa00081a4
[ 9100.561920] PUF Read:0x00000000 at 0xa00081a8
[ 9100.561920] PUF Read:0x00000040 at 0xa00081ac
