[29653.268524] [i] Total hammer attempts per row: 506651
[29653.268524] EMIF 2 REG Write 0x00000618 at 0x4d000010
[29653.268554] EMIF 2 REG Read 0x00000618 at 0x4d000010
[29653.268554] EMIF 2 REG Write 0x00000618 at 0x4d000014
[29653.268585] EMIF 2 REG Read 0x00000618 at 0x4d000014
[29653.268585] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[29653.268615] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[29653.268615] Temp polling alert enabled
[29653.268615] Refresh enabled at EMIF2
[29653.268646] [i] Starting PUF read-out
[29653.268646] [i] Single-Sided Rowhammer (SSRH)
[29653.268676] PUF Read:0x00000010 at 0xa0008000
[29653.268676] PUF Read:0x00000400 at 0xa0008004
[29653.268707] PUF Read:0x00000000 at 0xa0008008
[29653.268707] PUF Read:0x00000000 at 0xa000800c
[29653.268707] PUF Read:0x00000000 at 0xa0008010
[29653.268707] PUF Read:0x00000100 at 0xa0008014
[29653.268829] PUF Read:0x00000000 at 0xa0008018
[29653.268859] PUF Read:0x10400100 at 0xa000801c
[29653.268859] PUF Read:0x40000000 at 0xa0008020
[29653.268859] PUF Read:0x40004000 at 0xa0008024
[29653.268859] PUF Read:0x00004000 at 0xa0008028
[29653.268859] PUF Read:0x00000010 at 0xa000802c
[29653.268859] PUF Read:0x40000000 at 0xa0008030
[29653.269012] PUF Read:0x04000000 at 0xa0008034
[29653.269042] PUF Read:0x00004000 at 0xa0008038
[29653.269042] PUF Read:0x00000000 at 0xa000803c
[29653.269104] PUF Read:0x00000001 at 0xa0008040
[29653.269104] PUF Read:0x00004000 at 0xa0008044
[29653.269104] PUF Read:0x00000010 at 0xa0008048
[29653.269104] PUF Read:0x00000001 at 0xa000804c
[29653.269195] PUF Read:0x00000000 at 0xa0008050
[29653.269195] PUF Read:0x00000000 at 0xa0008054
[29653.269195] PUF Read:0x00000000 at 0xa0008058
[29653.269195] PUF Read:0x00000000 at 0xa000805c
[29653.269287] PUF Read:0x00000000 at 0xa0008060
[29653.269287] PUF Read:0x00100000 at 0xa0008064
[29653.269348] PUF Read:0x00000000 at 0xa0008068
[29653.269378] PUF Read:0x00000000 at 0xa000806c
[29653.269378] PUF Read:0x00000000 at 0xa0008070
[29653.269378] PUF Read:0x00000000 at 0xa0008074
[29653.269439] PUF Read:0x00000000 at 0xa0008078
[29653.269439] PUF Read:0x00010000 at 0xa000807c
[29653.269500] PUF Read:0x00010001 at 0xa0008080
[29653.269531] PUF Read:0x00000000 at 0xa0008084
[29653.269531] PUF Read:0x00000000 at 0xa0008088
[29653.269531] PUF Read:0x00000000 at 0xa000808c
[29653.269592] PUF Read:0x00000000 at 0xa0008090
[29653.269592] PUF Read:0x10000000 at 0xa0008094
[29653.269653] PUF Read:0x00410001 at 0xa0008098
[29653.269683] PUF Read:0x00000000 at 0xa000809c
[29653.269683] PUF Read:0x00000000 at 0xa00080a0
[29653.269683] PUF Read:0x00010000 at 0xa00080a4
[29653.269683] PUF Read:0x00000001 at 0xa00080a8
[29653.269683] PUF Read:0x00000040 at 0xa00080ac
[29653.269683] PUF Read:0x00000000 at 0xa00080b0
[29653.269836] PUF Read:0x00000000 at 0xa00080b4
[29653.269836] PUF Read:0x00004000 at 0xa00080b8
[29653.269836] PUF Read:0x00000000 at 0xa00080bc
[29653.269836] PUF Read:0x00000400 at 0xa00080c0
[29653.269927] PUF Read:0x00000000 at 0xa00080c4
[29653.269927] PUF Read:0x10100000 at 0xa00080c8
[29653.269989] PUF Read:0x01000000 at 0xa00080cc
[29653.270019] PUF Read:0x40045000 at 0xa00080d0
[29653.270019] PUF Read:0x00000000 at 0xa00080d4
[29653.270019] PUF Read:0x00001000 at 0xa00080d8
[29653.270080] PUF Read:0x00000000 at 0xa00080dc
[29653.270080] PUF Read:0x01000000 at 0xa00080e0
[29653.270141] PUF Read:0x00000000 at 0xa00080e4
[29653.270172] PUF Read:0x00000000 at 0xa00080e8
[29653.270172] PUF Read:0x00000001 at 0xa00080ec
[29653.270172] PUF Read:0x00000000 at 0xa00080f0
[29653.270233] PUF Read:0x00000000 at 0xa00080f4
[29653.270233] PUF Read:0x00000100 at 0xa00080f8
[29653.270294] PUF Read:0x00000000 at 0xa00080fc
[29653.270324] PUF Read:0x00000000 at 0xa0008100
[29653.270324] PUF Read:0x00000000 at 0xa0008104
[29653.270324] PUF Read:0x00000000 at 0xa0008108
[29653.270324] PUF Read:0x00100100 at 0xa000810c
[29653.270416] PUF Read:0x00000000 at 0xa0008110
[29653.270416] PUF Read:0x00400000 at 0xa0008114
[29653.270477] PUF Read:0x00000000 at 0xa0008118
[29653.270507] PUF Read:0x00000000 at 0xa000811c
[29653.270507] PUF Read:0x01000000 at 0xa0008120
[29653.270568] PUF Read:0x00000400 at 0xa0008124
[29653.270568] PUF Read:0x00000040 at 0xa0008128
[29653.270568] PUF Read:0x00000000 at 0xa000812c
[29653.270629] PUF Read:0x00000000 at 0xa0008130
[29653.270660] PUF Read:0x00000000 at 0xa0008134
[29653.270660] PUF Read:0x00010000 at 0xa0008138
[29653.270660] PUF Read:0x00000000 at 0xa000813c
[29653.270721] PUF Read:0x40000400 at 0xa0008140
[29653.270721] PUF Read:0x00000040 at 0xa0008144
[29653.270721] PUF Read:0x00100400 at 0xa0008148
[29653.270812] PUF Read:0x00000000 at 0xa000814c
[29653.270812] PUF Read:0x00000000 at 0xa0008150
[29653.270874] PUF Read:0x00000000 at 0xa0008154
[29653.270874] PUF Read:0x00000000 at 0xa0008158
[29653.270874] PUF Read:0x00100040 at 0xa000815c
[29653.270874] PUF Read:0x00001000 at 0xa0008160
[29653.270965] PUF Read:0x00000000 at 0xa0008164
[29653.270965] PUF Read:0x04000000 at 0xa0008168
[29653.270965] PUF Read:0x00400000 at 0xa000816c
[29653.270965] PUF Read:0x00000000 at 0xa0008170
[29653.270965] PUF Read:0x00100000 at 0xa0008174
[29653.270965] PUF Read:0x00000000 at 0xa0008178
[29653.271118] PUF Read:0x00004000 at 0xa000817c
[29653.271148] PUF Read:0x00000000 at 0xa0008180
