[40291.003173] [i] Total hammer attempts per row: 506646
[40291.003173] EMIF 2 REG Write 0x00000618 at 0x4d000010
[40291.003204] EMIF 2 REG Read 0x00000618 at 0x4d000010
[40291.003204] EMIF 2 REG Write 0x00000618 at 0x4d000014
[40291.003234] EMIF 2 REG Read 0x00000618 at 0x4d000014
[40291.003234] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[40291.003265] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[40291.003265] Temp polling alert enabled
[40291.003265] Refresh enabled at EMIF2
[40291.003295] [i] Starting PUF read-out
[40291.003295] [i] Single-Sided Rowhammer (SSRH)
[40291.003326] PUF Read:0x00000010 at 0xa0008000
[40291.003326] PUF Read:0x00000400 at 0xa0008004
[40291.003356] PUF Read:0x00000000 at 0xa0008008
[40291.003356] PUF Read:0x00000000 at 0xa000800c
[40291.003356] PUF Read:0x00000000 at 0xa0008010
[40291.003448] PUF Read:0x00000100 at 0xa0008014
[40291.003479] PUF Read:0x00000000 at 0xa0008018
[40291.003479] PUF Read:0x00000000 at 0xa000801c
[40291.003540] PUF Read:0x00000000 at 0xa0008020
[40291.003540] PUF Read:0x40004000 at 0xa0008024
[40291.003540] PUF Read:0x00004000 at 0xa0008028
[40291.003540] PUF Read:0x00000010 at 0xa000802c
[40291.003631] PUF Read:0x40000000 at 0xa0008030
[40291.003631] PUF Read:0x04000000 at 0xa0008034
[40291.003631] PUF Read:0x00004000 at 0xa0008038
[40291.003631] PUF Read:0x00000000 at 0xa000803c
[40291.003631] PUF Read:0x00000001 at 0xa0008040
[40291.003631] PUF Read:0x00004000 at 0xa0008044
[40291.003784] PUF Read:0x00000000 at 0xa0008048
[40291.003784] PUF Read:0x00000001 at 0xa000804c
[40291.003784] PUF Read:0x00000000 at 0xa0008050
[40291.003784] PUF Read:0x00000000 at 0xa0008054
[40291.003784] PUF Read:0x00000000 at 0xa0008058
[40291.003784] PUF Read:0x00000000 at 0xa000805c
[40291.003936] PUF Read:0x00000000 at 0xa0008060
[40291.003936] PUF Read:0x00100000 at 0xa0008064
[40291.003936] PUF Read:0x00000000 at 0xa0008068
[40291.003936] PUF Read:0x00000000 at 0xa000806c
[40291.004028] PUF Read:0x00000000 at 0xa0008070
[40291.004028] PUF Read:0x00000000 at 0xa0008074
[40291.004089] PUF Read:0x00000000 at 0xa0008078
[40291.004089] PUF Read:0x00010000 at 0xa000807c
[40291.004089] PUF Read:0x00010000 at 0xa0008080
[40291.004089] PUF Read:0x00000000 at 0xa0008084
[40291.004180] PUF Read:0x00000000 at 0xa0008088
[40291.004180] PUF Read:0x00000000 at 0xa000808c
[40291.004180] PUF Read:0x00000000 at 0xa0008090
[40291.004272] PUF Read:0x10000000 at 0xa0008094
[40291.004302] PUF Read:0x00410001 at 0xa0008098
[40291.004302] PUF Read:0x00000000 at 0xa000809c
[40291.004302] PUF Read:0x00000000 at 0xa00080a0
[40291.004302] PUF Read:0x00010000 at 0xa00080a4
[40291.004302] PUF Read:0x00010001 at 0xa00080a8
[40291.004425] PUF Read:0x00000040 at 0xa00080ac
[40291.004425] PUF Read:0x00000000 at 0xa00080b0
[40291.004425] PUF Read:0x00000000 at 0xa00080b4
[40291.004425] PUF Read:0x00004000 at 0xa00080b8
[40291.004425] PUF Read:0x00000000 at 0xa00080bc
[40291.004425] PUF Read:0x00000400 at 0xa00080c0
[40291.004577] PUF Read:0x00000000 at 0xa00080c4
[40291.004577] PUF Read:0x10000000 at 0xa00080c8
[40291.004577] PUF Read:0x01000000 at 0xa00080cc
[40291.004577] PUF Read:0x40045000 at 0xa00080d0
[40291.004577] PUF Read:0x00000000 at 0xa00080d4
[40291.004699] PUF Read:0x00001000 at 0xa00080d8
[40291.004730] PUF Read:0x00000000 at 0xa00080dc
[40291.004730] PUF Read:0x01000000 at 0xa00080e0
[40291.004730] PUF Read:0x00000000 at 0xa00080e4
[40291.004791] PUF Read:0x00000000 at 0xa00080e8
[40291.004791] PUF Read:0x00000001 at 0xa00080ec
[40291.004852] PUF Read:0x00000000 at 0xa00080f0
[40291.004882] PUF Read:0x00000000 at 0xa00080f4
[40291.004882] PUF Read:0x00000100 at 0xa00080f8
[40291.004882] PUF Read:0x00000000 at 0xa00080fc
[40291.004943] PUF Read:0x00000000 at 0xa0008100
[40291.004943] PUF Read:0x00000000 at 0xa0008104
[40291.005004] PUF Read:0x00000000 at 0xa0008108
[40291.005035] PUF Read:0x00100000 at 0xa000810c
[40291.005035] PUF Read:0x00000000 at 0xa0008110
[40291.005035] PUF Read:0x00400000 at 0xa0008114
[40291.005035] PUF Read:0x00000000 at 0xa0008118
[40291.005035] PUF Read:0x00000000 at 0xa000811c
[40291.005157] PUF Read:0x00000000 at 0xa0008120
[40291.005157] PUF Read:0x00000400 at 0xa0008124
[40291.005218] PUF Read:0x00000040 at 0xa0008128
[40291.005218] PUF Read:0x00000000 at 0xa000812c
[40291.005218] PUF Read:0x00000000 at 0xa0008130
[40291.005279] PUF Read:0x00000000 at 0xa0008134
[40291.005310] PUF Read:0x00010000 at 0xa0008138
[40291.005310] PUF Read:0x00000000 at 0xa000813c
[40291.005310] PUF Read:0x40000400 at 0xa0008140
[40291.005371] PUF Read:0x00000000 at 0xa0008144
[40291.005371] PUF Read:0x00100400 at 0xa0008148
[40291.005432] PUF Read:0x00000000 at 0xa000814c
[40291.005462] PUF Read:0x00000000 at 0xa0008150
[40291.005462] PUF Read:0x00000000 at 0xa0008154
[40291.005462] PUF Read:0x00000000 at 0xa0008158
[40291.005523] PUF Read:0x00100040 at 0xa000815c
[40291.005523] PUF Read:0x00001000 at 0xa0008160
[40291.005584] PUF Read:0x00000000 at 0xa0008164
[40291.005615] PUF Read:0x04000000 at 0xa0008168
[40291.005615] PUF Read:0x00400000 at 0xa000816c
[40291.005615] PUF Read:0x00000000 at 0xa0008170
[40291.005676] PUF Read:0x00100000 at 0xa0008174
[40291.005676] PUF Read:0x00000000 at 0xa0008178
[40291.005737] PUF Read:0x00000000 at 0xa000817c
[40291.005737] PUF Read:0x00000000 at 0xa0008180
[40291.005737] PUF Read:0x00000000 at 0xa0008184
[40291.005737] PUF Read:0x00040000 at 0xa0008188
[40291.005737] PUF Read:0x00000040 at 0xa000818c
[40291.005859] PUF Read:0x00000000 at 0xa0008190
[40291.005859] PUF Read:0x40000000 at 0xa0008194
[40291.005920] PUF Read:0x00000000 at 0xa0008198
[40291.005950] PUF Read:0x00000000 at 0xa000819c
[40291.005950] PUF Read:0x00000000 at 0xa00081a0
[40291.005950] PUF Read:0x00000000 at 0xa00081a4
[40291.006011] PUF Read:0x00000000 at 0xa00081a8
[40291.006011] PUF Read:0x00000040 at 0xa00081ac
[40291.006072] PUF Read:0x00410000 at 0xa00081b0
[40291.006103] PUF Read:0x00100000 at 0xa00081b4
[40291.006103] PUF Read:0x00004000 at 0xa00081b8
[40291.006103] PUF Read:0x00100000 at 0xa00081bc
[40291.006164] PUF Read:0x00000000 at 0xa00081c0
[40291.006164] PUF Read:0x00000004 at 0xa00081c4
[40291.006225] PUF Read:0x00000000 at 0xa00081c8
[40291.006256] PUF Read:0x00010000 at 0xa00081cc
[40291.006256] PUF Read:0x10000000 at 0xa00081d0
[40291.006256] PUF Read:0x00000000 at 0xa00081d4
[40291.006317] PUF Read:0x10000000 at 0xa00081d8
[40291.006317] PUF Read:0x00000000 at 0xa00081dc
[40291.006378] PUF Read:0x00000000 at 0xa00081e0
[40291.006408] PUF Read:0x00000040 at 0xa00081e4
[40291.006408] PUF Read:0x00000000 at 0xa00081e8
[40291.006408] PUF Read:0x00000000 at 0xa00081ec
[40291.006469] PUF Read:0x00000001 at 0xa00081f0
[40291.006469] PUF Read:0x00000400 at 0xa00081f4
[40291.006530] PUF Read:0x00000000 at 0xa00081f8
[40291.006561] PUF Read:0x00000040 at 0xa00081fc
[40291.006561] PUF Read:0x00000000 at 0xa0008200
[40291.006561] PUF Read:0x00000000 at 0xa0008204
[40291.006622] PUF Read:0x00000010 at 0xa0008208
[40291.006622] PUF Read:0x00000000 at 0xa000820c
[40291.006683] PUF Read:0x00000000 at 0xa0008210
[40291.006713] PUF Read:0x00000000 at 0xa0008214
[40291.006713] PUF Read:0x00000400 at 0xa0008218
[40291.006713] PUF Read:0x00000000 at 0xa000821c
[40291.006774] PUF Read:0x00000000 at 0xa0008220
[40291.006774] PUF Read:0x00100000 at 0xa0008224
[40291.006835] PUF Read:0x00000000 at 0xa0008228
[40291.006866] PUF Read:0x00000000 at 0xa000822c
[40291.006866] PUF Read:0x00000500 at 0xa0008230
[40291.006866] PUF Read:0x00400000 at 0xa0008234
[40291.006927] PUF Read:0x00000000 at 0xa0008238
[40291.006927] PUF Read:0x00000400 at 0xa000823c
[40291.006988] PUF Read:0x00000000 at 0xa0008240
[40291.007019] PUF Read:0x00000000 at 0xa0008244
[40291.007019] PUF Read:0x00040000 at 0xa0008248
[40291.007019] PUF Read:0x00000000 at 0xa000824c
[40291.007080] PUF Read:0x00000000 at 0xa0008250
[40291.007080] PUF Read:0x00100000 at 0xa0008254
[40291.007141] PUF Read:0x00000000 at 0xa0008258
[40291.007171] PUF Read:0x04040000 at 0xa000825c
[40291.007171] PUF Read:0x00000000 at 0xa0008260
[40291.007171] PUF Read:0x00000000 at 0xa0008264
[40291.007232] PUF Read:0x00000400 at 0xa0008268
[40291.007232] PUF Read:0x00001000 at 0xa000826c
[40291.007232] PUF Read:0x00000000 at 0xa0008270
[40291.007324] PUF Read:0x00000000 at 0xa0008274
[40291.007354] PUF Read:0x00000040 at 0xa0008278
[40291.007354] PUF Read:0x00100000 at 0xa000827c
[40291.007354] PUF Read:0x40000000 at 0xa0008280
[40291.007415] PUF Read:0x00000000 at 0xa0008284
[40291.007415] PUF Read:0x00400000 at 0xa0008288
[40291.007476] PUF Read:0x00000000 at 0xa000828c
[40291.007507] PUF Read:0x00000000 at 0xa0008290
[40291.007507] PUF Read:0x00000000 at 0xa0008294
[40291.007507] PUF Read:0x00000000 at 0xa0008298
[40291.007568] PUF Read:0x00000000 at 0xa000829c
[40291.007568] PUF Read:0x00000000 at 0xa00082a0
[40291.007629] PUF Read:0x00001000 at 0xa00082a4
[40291.007659] PUF Read:0x00000000 at 0xa00082a8
[40291.007659] PUF Read:0x00000000 at 0xa00082ac
[40291.007659] PUF Read:0x00000000 at 0xa00082b0
[40291.007720] PUF Read:0x00000000 at 0xa00082b4
[40291.007720] PUF Read:0x00000040 at 0xa00082b8
[40291.007781] PUF Read:0x00000000 at 0xa00082bc
[40291.007812] PUF Read:0x00000000 at 0xa00082c0
[40291.007812] PUF Read:0x00000000 at 0xa00082c4
[40291.007812] PUF Read:0x10000000 at 0xa00082c8
[40291.007873] PUF Read:0x00000000 at 0xa00082cc
[40291.007873] PUF Read:0x00100000 at 0xa00082d0
[40291.007934] PUF Read:0x00000000 at 0xa00082d4
[40291.007934] PUF Read:0x00000000 at 0xa00082d8
