[32063.213806] [i] Total hammer attempts per row: 253375
[32063.215240] EMIF 2 REG Write 0x00000618 at 0x4d000010
[32063.215240] EMIF 2 REG Read 0x00000618 at 0x4d000010
[32063.215270] EMIF 2 REG Write 0x00000618 at 0x4d000014
[32063.215270] EMIF 2 REG Read 0x00000618 at 0x4d000014
[32063.215301] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[32063.215301] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[32063.215301] Temp polling alert enabled
[32063.215332] Refresh enabled at EMIF2
[32063.215332] [i] Starting PUF read-out
[32063.215332] [i] Single-Sided Rowhammer (SSRH)
[32063.215362] PUF Read:0x00000000 at 0xa0008000
[32063.215393] PUF Read:0x00000000 at 0xa0008004
[32063.215423] PUF Read:0x00000000 at 0xa0008008
[32063.215423] PUF Read:0x00000000 at 0xa000800c
[32063.215423] PUF Read:0x00000000 at 0xa0008010
[32063.215423] PUF Read:0x00000100 at 0xa0008014
[32063.215515] PUF Read:0x00000000 at 0xa0008018
[32063.215515] PUF Read:0x00000000 at 0xa000801c
[32063.215576] PUF Read:0x00000000 at 0xa0008020
[32063.215606] PUF Read:0x40004000 at 0xa0008024
[32063.215606] PUF Read:0x00000000 at 0xa0008028
[32063.215606] PUF Read:0x00000000 at 0xa000802c
[32063.215667] PUF Read:0x00000000 at 0xa0008030
[32063.215667] PUF Read:0x00000000 at 0xa0008034
[32063.215728] PUF Read:0x00004000 at 0xa0008038
[32063.215759] PUF Read:0x00000000 at 0xa000803c
[32063.215759] PUF Read:0x00000001 at 0xa0008040
[32063.215759] PUF Read:0x00004000 at 0xa0008044
[32063.215820] PUF Read:0x00000000 at 0xa0008048
[32063.215820] PUF Read:0x00000000 at 0xa000804c
[32063.215881] PUF Read:0x00000000 at 0xa0008050
[32063.215911] PUF Read:0x00000000 at 0xa0008054
[32063.215911] PUF Read:0x00000000 at 0xa0008058
[32063.215911] PUF Read:0x00000000 at 0xa000805c
[32063.215972] PUF Read:0x00000000 at 0xa0008060
[32063.215972] PUF Read:0x00000000 at 0xa0008064
[32063.216033] PUF Read:0x00000000 at 0xa0008068
[32063.216064] PUF Read:0x00000000 at 0xa000806c
[32063.216064] PUF Read:0x00000000 at 0xa0008070
[32063.216064] PUF Read:0x00000000 at 0xa0008074
[32063.216125] PUF Read:0x00000000 at 0xa0008078
[32063.216125] PUF Read:0x00000000 at 0xa000807c
[32063.216186] PUF Read:0x00000000 at 0xa0008080
[32063.216217] PUF Read:0x00000000 at 0xa0008084
[32063.216217] PUF Read:0x00000000 at 0xa0008088
[32063.216217] PUF Read:0x00000000 at 0xa000808c
[32063.216278] PUF Read:0x00000000 at 0xa0008090
[32063.216278] PUF Read:0x00000000 at 0xa0008094
[32063.216339] PUF Read:0x00010000 at 0xa0008098
[32063.216339] PUF Read:0x00000000 at 0xa000809c
[32063.216339] PUF Read:0x00000000 at 0xa00080a0
[32063.216339] PUF Read:0x00000000 at 0xa00080a4
[32063.216339] PUF Read:0x00000000 at 0xa00080a8
[32063.216339] PUF Read:0x00000040 at 0xa00080ac
[32063.216491] PUF Read:0x00000000 at 0xa00080b0
[32063.216491] PUF Read:0x00000000 at 0xa00080b4
[32063.216491] PUF Read:0x00004000 at 0xa00080b8
[32063.216491] PUF Read:0x00000000 at 0xa00080bc
[32063.216491] PUF Read:0x00000000 at 0xa00080c0
[32063.216491] PUF Read:0x00000000 at 0xa00080c4
[32063.216644] PUF Read:0x00000000 at 0xa00080c8
[32063.216644] PUF Read:0x00000000 at 0xa00080cc
[32063.216705] PUF Read:0x40044000 at 0xa00080d0
[32063.216705] PUF Read:0x00000000 at 0xa00080d4
[32063.216705] PUF Read:0x00000000 at 0xa00080d8
[32063.216766] PUF Read:0x00000000 at 0xa00080dc
[32063.216796] PUF Read:0x01000000 at 0xa00080e0
[32063.216796] PUF Read:0x00000000 at 0xa00080e4
[32063.216796] PUF Read:0x00000000 at 0xa00080e8
[32063.216857] PUF Read:0x00000001 at 0xa00080ec
[32063.216857] PUF Read:0x00000000 at 0xa00080f0
[32063.216918] PUF Read:0x00000000 at 0xa00080f4
[32063.216949] PUF Read:0x00000100 at 0xa00080f8
[32063.216949] PUF Read:0x00000000 at 0xa00080fc
[32063.216949] PUF Read:0x00000000 at 0xa0008100
[32063.217010] PUF Read:0x00000000 at 0xa0008104
[32063.217010] PUF Read:0x00000000 at 0xa0008108
[32063.217071] PUF Read:0x00000000 at 0xa000810c
[32063.217071] PUF Read:0x00000000 at 0xa0008110
[32063.217071] PUF Read:0x00000000 at 0xa0008114
[32063.217071] PUF Read:0x00000000 at 0xa0008118
[32063.217071] PUF Read:0x00000000 at 0xa000811c
[32063.217071] PUF Read:0x00000000 at 0xa0008120
[32063.217224] PUF Read:0x00000000 at 0xa0008124
[32063.217224] PUF Read:0x00000040 at 0xa0008128
[32063.217224] PUF Read:0x00000000 at 0xa000812c
[32063.217224] PUF Read:0x00000000 at 0xa0008130
[32063.217224] PUF Read:0x00000000 at 0xa0008134
[32063.217224] PUF Read:0x00000000 at 0xa0008138
[32063.217376] PUF Read:0x00000000 at 0xa000813c
[32063.217376] PUF Read:0x00000000 at 0xa0008140
[32063.217376] PUF Read:0x00000000 at 0xa0008144
[32063.217376] PUF Read:0x00100400 at 0xa0008148
[32063.217376] PUF Read:0x00000000 at 0xa000814c
[32063.217376] PUF Read:0x00000000 at 0xa0008150
[32063.217529] PUF Read:0x00000000 at 0xa0008154
[32063.217529] PUF Read:0x00000000 at 0xa0008158
[32063.217529] PUF Read:0x00000040 at 0xa000815c
[32063.217529] PUF Read:0x00000000 at 0xa0008160
[32063.217620] PUF Read:0x00000000 at 0xa0008164
[32063.217620] PUF Read:0x00000000 at 0xa0008168
[32063.217681] PUF Read:0x00400000 at 0xa000816c
[32063.217712] PUF Read:0x00000000 at 0xa0008170
[32063.217712] PUF Read:0x00000000 at 0xa0008174
[32063.217712] PUF Read:0x00000000 at 0xa0008178
[32063.217773] PUF Read:0x00000000 at 0xa000817c
[32063.217773] PUF Read:0x00000000 at 0xa0008180
[32063.217834] PUF Read:0x00000000 at 0xa0008184
[32063.217864] PUF Read:0x00000000 at 0xa0008188
[32063.217864] PUF Read:0x00000000 at 0xa000818c
[32063.217864] PUF Read:0x00000000 at 0xa0008190
[32063.217864] PUF Read:0x40000000 at 0xa0008194
[32063.217864] PUF Read:0x00000000 at 0xa0008198
[32063.217987] PUF Read:0x00000000 at 0xa000819c
[32063.217987] PUF Read:0x00000000 at 0xa00081a0
[32063.217987] PUF Read:0x00000000 at 0xa00081a4
[32063.217987] PUF Read:0x00000000 at 0xa00081a8
[32063.217987] PUF Read:0x00000000 at 0xa00081ac
[32063.217987] PUF Read:0x00410000 at 0xa00081b0
[32063.218139] PUF Read:0x00000000 at 0xa00081b4
[32063.218139] PUF Read:0x00000000 at 0xa00081b8
[32063.218200] PUF Read:0x00000000 at 0xa00081bc
[32063.218200] PUF Read:0x00000000 at 0xa00081c0
[32063.218200] PUF Read:0x00000004 at 0xa00081c4
[32063.218261] PUF Read:0x00000000 at 0xa00081c8
[32063.218292] PUF Read:0x00000000 at 0xa00081cc
[32063.218292] PUF Read:0x10000000 at 0xa00081d0
[32063.218292] PUF Read:0x00000000 at 0xa00081d4
[32063.218353] PUF Read:0x00000000 at 0xa00081d8
[32063.218353] PUF Read:0x00000000 at 0xa00081dc
[32063.218414] PUF Read:0x00000000 at 0xa00081e0
[32063.218444] PUF Read:0x00000040 at 0xa00081e4
[32063.218444] PUF Read:0x00000000 at 0xa00081e8
[32063.218444] PUF Read:0x00000000 at 0xa00081ec
[32063.218505] PUF Read:0x00000000 at 0xa00081f0
[32063.218505] PUF Read:0x00000400 at 0xa00081f4
[32063.218566] PUF Read:0x00000000 at 0xa00081f8
[32063.218597] PUF Read:0x00000000 at 0xa00081fc
[32063.218597] PUF Read:0x00000000 at 0xa0008200
[32063.218597] PUF Read:0x00000000 at 0xa0008204
[32063.218658] PUF Read:0x00000000 at 0xa0008208
[32063.218658] PUF Read:0x00000000 at 0xa000820c
[32063.218719] PUF Read:0x00000000 at 0xa0008210
[32063.218750] PUF Read:0x00000000 at 0xa0008214
[32063.218750] PUF Read:0x00000000 at 0xa0008218
[32063.218750] PUF Read:0x00000000 at 0xa000821c
[32063.218811] PUF Read:0x00000000 at 0xa0008220
[32063.218811] PUF Read:0x00000000 at 0xa0008224
[32063.218872] PUF Read:0x00000000 at 0xa0008228
[32063.218872] PUF Read:0x00000000 at 0xa000822c
[32063.218872] PUF Read:0x00000000 at 0xa0008230
[32063.218872] PUF Read:0x00400000 at 0xa0008234
[32063.218872] PUF Read:0x00000000 at 0xa0008238
[32063.218872] PUF Read:0x00000000 at 0xa000823c
[32063.219024] PUF Read:0x00000000 at 0xa0008240
[32063.219024] PUF Read:0x00000000 at 0xa0008244
[32063.219085] PUF Read:0x00000000 at 0xa0008248
[32063.219085] PUF Read:0x00000000 at 0xa000824c
[32063.219085] PUF Read:0x00000000 at 0xa0008250
[32063.219085] PUF Read:0x00100000 at 0xa0008254
[32063.219177] PUF Read:0x00000000 at 0xa0008258
[32063.219207] PUF Read:0x00040000 at 0xa000825c
[32063.219207] PUF Read:0x00000000 at 0xa0008260
[32063.219207] PUF Read:0x00000000 at 0xa0008264
[32063.219268] PUF Read:0x00000000 at 0xa0008268
[32063.219268] PUF Read:0x00000000 at 0xa000826c
[32063.219329] PUF Read:0x00000000 at 0xa0008270
[32063.219360] PUF Read:0x00000000 at 0xa0008274
[32063.219360] PUF Read:0x00000040 at 0xa0008278
[32063.219421] PUF Read:0x00000000 at 0xa000827c
[32063.219421] PUF Read:0x00000000 at 0xa0008280
[32063.219421] PUF Read:0x00000000 at 0xa0008284
[32063.219482] PUF Read:0x00000000 at 0xa0008288
[32063.219512] PUF Read:0x00000000 at 0xa000828c
[32063.219512] PUF Read:0x00000000 at 0xa0008290
[32063.219512] PUF Read:0x00000000 at 0xa0008294
[32063.219573] PUF Read:0x00000000 at 0xa0008298
[32063.219573] PUF Read:0x00000000 at 0xa000829c
[32063.219635] PUF Read:0x00000000 at 0xa00082a0
[32063.219665] PUF Read:0x00000000 at 0xa00082a4
[32063.219665] PUF Read:0x00000000 at 0xa00082a8
[32063.219665] PUF Read:0x00000000 at 0xa00082ac
[32063.219726] PUF Read:0x00000000 at 0xa00082b0
[32063.219726] PUF Read:0x00000000 at 0xa00082b4
[32063.219787] PUF Read:0x00000040 at 0xa00082b8
[32063.219818] PUF Read:0x00000000 at 0xa00082bc
[32063.219818] PUF Read:0x00000000 at 0xa00082c0
[32063.219818] PUF Read:0x00000000 at 0xa00082c4
[32063.219879] PUF Read:0x10000000 at 0xa00082c8
[32063.219879] PUF Read:0x00000000 at 0xa00082cc
[32063.219940] PUF Read:0x00000000 at 0xa00082d0
[32063.219970] PUF Read:0x00000000 at 0xa00082d4
[32063.219970] PUF Read:0x00000000 at 0xa00082d8
[32063.219970] PUF Read:0x00000000 at 0xa00082dc
[32063.220031] PUF Read:0x00000000 at 0xa00082e0
[32063.220031] PUF Read:0x00000400 at 0xa00082e4
[32063.220092] PUF Read:0x00000000 at 0xa00082e8
[32063.220123] PUF Read:0x00000000 at 0xa00082ec
