[61927.815216] [i] Total hammer attempts per row: 506654
[61927.815216] EMIF 2 REG Write 0x00000618 at 0x4d000010
[61927.815246] EMIF 2 REG Read 0x00000618 at 0x4d000010
[61927.815246] EMIF 2 REG Write 0x00000618 at 0x4d000014
[61927.815277] EMIF 2 REG Read 0x00000618 at 0x4d000014
[61927.815277] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[61927.815307] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[61927.815307] Temp polling alert enabled
[61927.815307] Refresh enabled at EMIF2
[61927.815338] [i] Starting PUF read-out
[61927.815338] [i] Single-Sided Rowhammer (SSRH)
[61927.815368] PUF Read:0xaaaa2aaa at 0xa0008000
[61927.815368] PUF Read:0xaaaaaaaa at 0xa0008004
[61927.815368] PUF Read:0xaaaaaaaa at 0xa0008008
[61927.815368] PUF Read:0xa2aaaa2a at 0xa000800c
[61927.815368] PUF Read:0xaaaaaaaa at 0xa0008010
[61927.815490] PUF Read:0x8aaaabaa at 0xa0008014
[61927.815521] PUF Read:0xaaaa2aaa at 0xa0008018
[61927.815521] PUF Read:0xaaa2aaaa at 0xa000801c
[61927.815521] PUF Read:0xaaaaaaaa at 0xa0008020
[61927.815521] PUF Read:0xeaaaeaaa at 0xa0008024
[61927.815521] PUF Read:0xaaaaaaaa at 0xa0008028
[61927.815521] PUF Read:0xaaaaaaba at 0xa000802c
[61927.815673] PUF Read:0xaaaaaaaa at 0xa0008030
[61927.815704] PUF Read:0xaeaaaaaa at 0xa0008034
[61927.815704] PUF Read:0xaaaaeaaa at 0xa0008038
[61927.815704] PUF Read:0xaaaaaaaa at 0xa000803c
[61927.815765] PUF Read:0xaaaaaaab at 0xa0008040
[61927.815765] PUF Read:0xaaaaeaaa at 0xa0008044
[61927.815826] PUF Read:0xaaaaaaaa at 0xa0008048
[61927.815856] PUF Read:0xaaaaaaa8 at 0xa000804c
[61927.815856] PUF Read:0xa2aaaaaa at 0xa0008050
[61927.815856] PUF Read:0xaaaaa8aa at 0xa0008054
[61927.815917] PUF Read:0xaaaaaa8a at 0xa0008058
[61927.815917] PUF Read:0xaaaaaaaa at 0xa000805c
[61927.815979] PUF Read:0xaaaaaaaa at 0xa0008060
[61927.816009] PUF Read:0xaaaa2aaa at 0xa0008064
[61927.816009] PUF Read:0xaaaaaaaa at 0xa0008068
[61927.816070] PUF Read:0xaaaaaaaa at 0xa000806c
[61927.816070] PUF Read:0xaaaaaaaa at 0xa0008070
[61927.816070] PUF Read:0xaaaaaaaa at 0xa0008074
[61927.816070] PUF Read:0xaaaaaaaa at 0xa0008078
[61927.816162] PUF Read:0xaaabaaaa at 0xa000807c
[61927.816162] PUF Read:0xaaabaaaa at 0xa0008080
[61927.816162] PUF Read:0xaaaaaaaa at 0xa0008084
[61927.816162] PUF Read:0xaaaaaaaa at 0xa0008088
[61927.816162] PUF Read:0xaaaaaaaa at 0xa000808c
[61927.816162] PUF Read:0xaaaa8aaa at 0xa0008090
[61927.816314] PUF Read:0xaaaaaaaa at 0xa0008094
