[48945.893280] [i] Total hammer attempts per row: 1637485
[48945.893280] EMIF 2 REG Write 0x00000618 at 0x4d000010
[48945.893310] EMIF 2 REG Read 0x00000618 at 0x4d000010
[48945.893310] EMIF 2 REG Write 0x00000618 at 0x4d000014
[48945.893341] EMIF 2 REG Read 0x00000618 at 0x4d000014
[48945.893341] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[48945.893371] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[48945.893371] Temp polling alert enabled
[48945.893371] Refresh enabled at EMIF2
[48945.893402] [i] Starting PUF read-out
[48945.893402] [i] Single-Sided Rowhammer (SSRH)
[48945.893402] PUF Read:0xaaaa2aaa at 0xa0008000
[48945.893432] PUF Read:0xaaaaaaaa at 0xa0008004
[48945.893432] PUF Read:0xaaaaaaaa at 0xa0008008
[48945.893432] PUF Read:0xa2aaaa2a at 0xa000800c
[48945.893524] PUF Read:0xaaaaaaaa at 0xa0008010
[48945.893554] PUF Read:0x8aaaabaa at 0xa0008014
[48945.893554] PUF Read:0xaaaa2aaa at 0xa0008018
[48945.893554] PUF Read:0xaaa2aaaa at 0xa000801c
[48945.893554] PUF Read:0xaaaaaaaa at 0xa0008020
[48945.893646] PUF Read:0xeaaaeaaa at 0xa0008024
[48945.893646] PUF Read:0xaaaaaaaa at 0xa0008028
[48945.893707] PUF Read:0xaaaaaaba at 0xa000802c
[48945.893737] PUF Read:0xaaaaaaa8 at 0xa0008030
[48945.893737] PUF Read:0xaeaaaaaa at 0xa0008034
[48945.893798] PUF Read:0xaaaaeaaa at 0xa0008038
[48945.893798] PUF Read:0xaaaaaaaa at 0xa000803c
[48945.893798] PUF Read:0xaaaaaaab at 0xa0008040
[48945.893798] PUF Read:0xaaaaeaaa at 0xa0008044
[48945.893890] PUF Read:0xaaaaaaaa at 0xa0008048
[48945.893890] PUF Read:0xaaaaaaa8 at 0xa000804c
[48945.893890] PUF Read:0xa2aaaaaa at 0xa0008050
[48945.893890] PUF Read:0xaaaaa8aa at 0xa0008054
[48945.893981] PUF Read:0xaaaaaa8a at 0xa0008058
[48945.893981] PUF Read:0xaaaaaaaa at 0xa000805c
[48945.893981] PUF Read:0xaaaaaaaa at 0xa0008060
[48945.894073] PUF Read:0xaaaa2aaa at 0xa0008064
[48945.894104] PUF Read:0xaaaaaaaa at 0xa0008068
[48945.894104] PUF Read:0xaaaaaaaa at 0xa000806c
[48945.894104] PUF Read:0xaaaaaaaa at 0xa0008070
[48945.894104] PUF Read:0xaaaaaaaa at 0xa0008074
[48945.894104] PUF Read:0xaaaaaaaa at 0xa0008078
[48945.894104] PUF Read:0xaaabaaaa at 0xa000807c
[48945.894256] PUF Read:0xaaabaaaa at 0xa0008080
[48945.894287] PUF Read:0xaaaaaaaa at 0xa0008084
[48945.894287] PUF Read:0xaaaaaaaa at 0xa0008088
[48945.894287] PUF Read:0xaaaaaaaa at 0xa000808c
[48945.894348] PUF Read:0xaaaa8aaa at 0xa0008090
[48945.894348] PUF Read:0xaaaaaaaa at 0xa0008094
[48945.894409] PUF Read:0x2aabaaab at 0xa0008098
[48945.894439] PUF Read:0xaaaaaaaa at 0xa000809c
[48945.894439] PUF Read:0x8aaaaa2a at 0xa00080a0
[48945.894439] PUF Read:0xaaabaaaa at 0xa00080a4
[48945.894500] PUF Read:0xaa8aaaab at 0xa00080a8
[48945.894500] PUF Read:0x8aaa8aea at 0xa00080ac
[48945.894500] PUF Read:0xaaaaaaaa at 0xa00080b0
[48945.894592] PUF Read:0x2a2aaaaa at 0xa00080b4
[48945.894592] PUF Read:0xaaaaeaaa at 0xa00080b8
[48945.894592] PUF Read:0x8aaaaaaa at 0xa00080bc
[48945.894592] PUF Read:0xaaaaaaaa at 0xa00080c0
[48945.894592] PUF Read:0xaaaaaaaa at 0xa00080c4
[48945.894592] PUF Read:0xaaa2aaaa at 0xa00080c8
[48945.894744] PUF Read:0xabaaaaaa at 0xa00080cc
[48945.894775] PUF Read:0xeaaeeaaa at 0xa00080d0
[48945.894775] PUF Read:0xaaaa2aa8 at 0xa00080d4
[48945.894775] PUF Read:0xaaaa3aaa at 0xa00080d8
[48945.894836] PUF Read:0xaaaaaaaa at 0xa00080dc
[48945.894836] PUF Read:0xabaaaaaa at 0xa00080e0
[48945.894897] PUF Read:0xaaaaaaaa at 0xa00080e4
[48945.894927] PUF Read:0xaaaaaaaa at 0xa00080e8
[48945.894927] PUF Read:0xaaaaaaab at 0xa00080ec
[48945.894927] PUF Read:0x8aaaaaaa at 0xa00080f0
[48945.894927] PUF Read:0xaaaaaaaa at 0xa00080f4
[48945.894927] PUF Read:0xaaaaabaa at 0xa00080f8
[48945.894927] PUF Read:0xaa8aaaaa at 0xa00080fc
[48945.895080] PUF Read:0xaaaaa8aa at 0xa0008100
[48945.895080] PUF Read:0xaaaaaaaa at 0xa0008104
[48945.895080] PUF Read:0xaaa2aaaa at 0xa0008108
[48945.895080] PUF Read:0xaabaaaaa at 0xa000810c
[48945.895172] PUF Read:0xaaaaaaaa at 0xa0008110
[48945.895172] PUF Read:0xa8ea2aaa at 0xa0008114
[48945.895233] PUF Read:0xaaaaaaaa at 0xa0008118
[48945.895263] PUF Read:0xaaaaaaaa at 0xa000811c
[48945.895263] PUF Read:0xaaa2aaaa at 0xa0008120
[48945.895263] PUF Read:0xaaaaaeaa at 0xa0008124
[48945.895324] PUF Read:0xaaaaaaea at 0xa0008128
[48945.895324] PUF Read:0xaaaaaaaa at 0xa000812c
[48945.895385] PUF Read:0xaaaaaaaa at 0xa0008130
[48945.895416] PUF Read:0xaaaaaa2a at 0xa0008134
[48945.895416] PUF Read:0xaa8baaaa at 0xa0008138
[48945.895477] PUF Read:0xaaaaaaaa at 0xa000813c
[48945.895477] PUF Read:0xeaaaaeaa at 0xa0008140
[48945.895477] PUF Read:0xaaaaaaaa at 0xa0008144
[48945.895477] PUF Read:0xaabaaeaa at 0xa0008148
[48945.895568] PUF Read:0xaaaaaaaa at 0xa000814c
[48945.895568] PUF Read:0xaaaaaaaa at 0xa0008150
[48945.895568] PUF Read:0xaaaaaaaa at 0xa0008154
[48945.895568] PUF Read:0xaaaaaaaa at 0xa0008158
[48945.895568] PUF Read:0xaaaaaaea at 0xa000815c
[48945.895568] PUF Read:0xaaaaaaaa at 0xa0008160
[48945.895568] PUF Read:0xaaaaaaaa at 0xa0008164
[48945.895751] PUF Read:0xaeaaaaaa at 0xa0008168
[48945.895751] PUF Read:0xaaeaaaaa at 0xa000816c
[48945.895751] PUF Read:0x2aaaaaaa at 0xa0008170
[48945.895751] PUF Read:0xaaaaaaaa at 0xa0008174
[48945.895751] PUF Read:0xaaaaaaaa at 0xa0008178
[48945.895751] PUF Read:0xaaaaaaaa at 0xa000817c
[48945.895904] PUF Read:0xaaaa2a2a at 0xa0008180
[48945.895904] PUF Read:0xaaaaaaaa at 0xa0008184
[48945.895904] PUF Read:0xaa2aaaaa at 0xa0008188
[48945.895904] PUF Read:0xaaaaaaea at 0xa000818c
[48945.895996] PUF Read:0x2aaaaaaa at 0xa0008190
[48945.895996] PUF Read:0xeaaaaaaa at 0xa0008194
[48945.896057] PUF Read:0xaaaaaaaa at 0xa0008198
[48945.896087] PUF Read:0xaaaaaaaa at 0xa000819c
[48945.896087] PUF Read:0xaaaaaaaa at 0xa00081a0
[48945.896087] PUF Read:0xaaaaaaaa at 0xa00081a4
[48945.896148] PUF Read:0xa2a2aaaa at 0xa00081a8
[48945.896148] PUF Read:0xaaaaaaaa at 0xa00081ac
[48945.896209] PUF Read:0xaaebaaaa at 0xa00081b0
[48945.896240] PUF Read:0xaaaaaaaa at 0xa00081b4
[48945.896240] PUF Read:0xaaaaaaaa at 0xa00081b8
[48945.896240] PUF Read:0xa2aaaaaa at 0xa00081bc
[48945.896301] PUF Read:0xaaa88aaa at 0xa00081c0
[48945.896301] PUF Read:0xaaaaaaae at 0xa00081c4
[48945.896301] PUF Read:0xaaaaaaaa at 0xa00081c8
[48945.896392] PUF Read:0xaa2baaaa at 0xa00081cc
[48945.896392] PUF Read:0xbaaaaaaa at 0xa00081d0
[48945.896392] PUF Read:0xaaaaaa2a at 0xa00081d4
[48945.896392] PUF Read:0xaaaaaaaa at 0xa00081d8
[48945.896392] PUF Read:0xaaaaaaaa at 0xa00081dc
[48945.896392] PUF Read:0xaaaaaaa2 at 0xa00081e0
[48945.896545] PUF Read:0xaaaaaaea at 0xa00081e4
[48945.896575] PUF Read:0xaaaaaaaa at 0xa00081e8
[48945.896575] PUF Read:0xaa2aaaaa at 0xa00081ec
[48945.896575] PUF Read:0xaaaaaaab at 0xa00081f0
[48945.896636] PUF Read:0xaaaaaeaa at 0xa00081f4
[48945.896636] PUF Read:0xaaaaaaa2 at 0xa00081f8
[48945.896697] PUF Read:0xaaaaaaaa at 0xa00081fc
[48945.896728] PUF Read:0xaaaaaaaa at 0xa0008200
[48945.896728] PUF Read:0xaaaaaaaa at 0xa0008204
[48945.896728] PUF Read:0xaaaaaaba at 0xa0008208
[48945.896789] PUF Read:0xa8aaaaaa at 0xa000820c
[48945.896789] PUF Read:0xaaaaa2a8 at 0xa0008210
[48945.896850] PUF Read:0xaaaaaaaa at 0xa0008214
[48945.896881] PUF Read:0xaaaaaeaa at 0xa0008218
[48945.896881] PUF Read:0xaaaaaaaa at 0xa000821c
[48945.896881] PUF Read:0xaaaaaaaa at 0xa0008220
[48945.896881] PUF Read:0xaabaaaaa at 0xa0008224
[48945.896881] PUF Read:0xaaaaaaaa at 0xa0008228
[48945.896881] PUF Read:0xaaaaaaaa at 0xa000822c
[48945.897033] PUF Read:0xaaaaaeaa at 0xa0008230
[48945.897033] PUF Read:0x286aaaaa at 0xa0008234
[48945.897033] PUF Read:0xaaaaaaaa at 0xa0008238
[48945.897033] PUF Read:0xaaaaaaaa at 0xa000823c
[48945.897033] PUF Read:0xaaaaaaaa at 0xa0008240
[48945.897033] PUF Read:0xaaaaaaaa at 0xa0008244
[48945.897033] PUF Read:0xaaaaaaaa at 0xa0008248
[48945.897216] PUF Read:0xaaaaaaaa at 0xa000824c
[48945.897216] PUF Read:0xaaaaaaaa at 0xa0008250
[48945.897216] PUF Read:0xaabaaaaa at 0xa0008254
[48945.897216] PUF Read:0xaaaaaaaa at 0xa0008258
[48945.897308] PUF Read:0xaaaeaaaa at 0xa000825c
[48945.897308] PUF Read:0xaaaaaaaa at 0xa0008260
[48945.897369] PUF Read:0xaaaaaaaa at 0xa0008264
[48945.897399] PUF Read:0xaaaa8caa at 0xa0008268
[48945.897399] PUF Read:0xaaaabaaa at 0xa000826c
[48945.897399] PUF Read:0xaaaaaaaa at 0xa0008270
[48945.897460] PUF Read:0xaaaaaaa2 at 0xa0008274
[48945.897460] PUF Read:0xaaaaaaea at 0xa0008278
[48945.897521] PUF Read:0xaaaaaaaa at 0xa000827c
[48945.897552] PUF Read:0xeaaaaaaa at 0xa0008280
[48945.897552] PUF Read:0xa2aaaaaa at 0xa0008284
[48945.897552] PUF Read:0xaaeaaaaa at 0xa0008288
[48945.897613] PUF Read:0xaaaaaaaa at 0xa000828c
[48945.897613] PUF Read:0xaaaaaaa8 at 0xa0008290
[48945.897674] PUF Read:0xa8aaaaaa at 0xa0008294
[48945.897705] PUF Read:0xaaaaaaaa at 0xa0008298
[48945.897705] PUF Read:0xaaaaaaaa at 0xa000829c
[48945.897705] PUF Read:0xaaaaaaaa at 0xa00082a0
[48945.897705] PUF Read:0xaaaabaaa at 0xa00082a4
[48945.897705] PUF Read:0xaaaaaaaa at 0xa00082a8
[48945.897705] PUF Read:0xaaaaaaaa at 0xa00082ac
[48945.897857] PUF Read:0xaaaaaaaa at 0xa00082b0
[48945.897857] PUF Read:0xaaaaaaaa at 0xa00082b4
[48945.897857] PUF Read:0xaaaaaaea at 0xa00082b8
[48945.897857] PUF Read:0xaaaaaaaa at 0xa00082bc
[48945.897949] PUF Read:0xaaaaaaaa at 0xa00082c0
[48945.897949] PUF Read:0xaaaaaaaa at 0xa00082c4
[48945.898010] PUF Read:0xbaaaaaaa at 0xa00082c8
[48945.898040] PUF Read:0xaaaaaaaa at 0xa00082cc
[48945.898040] PUF Read:0xaabaaaaa at 0xa00082d0
[48945.898040] PUF Read:0xaaaaaaaa at 0xa00082d4
