[ 2587.432159] [i] Total hammer attempts per row: 1637223
[ 2587.432159] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 2587.432159] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 2587.432281] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 2587.432281] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 2587.432312] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 2587.432312] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 2587.432342] Temp polling alert enabled
[ 2587.432342] Refresh enabled at EMIF2
[ 2587.432342] [i] Starting PUF read-out
[ 2587.432373] [i] Single-Sided Rowhammer (SSRH)
[ 2587.432373] PUF Read:0xaaaa2aaa at 0xa0008000
[ 2587.432373] PUF Read:0xaaaaaaaa at 0xa0008004
[ 2587.432373] PUF Read:0xaaaaaaaa at 0xa0008008
[ 2587.432464] PUF Read:0xa2aaaa2a at 0xa000800c
[ 2587.432495] PUF Read:0xaaaaaaaa at 0xa0008010
[ 2587.432495] PUF Read:0x8aaaabaa at 0xa0008014
[ 2587.432556] PUF Read:0xaaaa2aaa at 0xa0008018
[ 2587.432556] PUF Read:0xaaa0aaaa at 0xa000801c
[ 2587.432556] PUF Read:0xaaaaaaaa at 0xa0008020
[ 2587.432556] PUF Read:0xeaaaeaaa at 0xa0008024
[ 2587.432647] PUF Read:0xaaaaaaaa at 0xa0008028
[ 2587.432647] PUF Read:0xaaaaaaba at 0xa000802c
[ 2587.432647] PUF Read:0xaaaaaaa8 at 0xa0008030
[ 2587.432647] PUF Read:0xaeaaaaaa at 0xa0008034
[ 2587.432647] PUF Read:0xaaaaeaaa at 0xa0008038
[ 2587.432647] PUF Read:0xaaaaaaaa at 0xa000803c
[ 2587.432800] PUF Read:0xaaaaaaab at 0xa0008040
[ 2587.432800] PUF Read:0xaaaaeaaa at 0xa0008044
[ 2587.432800] PUF Read:0xaaaaaaaa at 0xa0008048
[ 2587.432800] PUF Read:0xaaaaaaa8 at 0xa000804c
[ 2587.432800] PUF Read:0xa2aaaaaa at 0xa0008050
[ 2587.432800] PUF Read:0xaaaaa8aa at 0xa0008054
[ 2587.432952] PUF Read:0xaaaaaa8a at 0xa0008058
[ 2587.432952] PUF Read:0xaaaaaaaa at 0xa000805c
[ 2587.432952] PUF Read:0xaaaaaaaa at 0xa0008060
[ 2587.432952] PUF Read:0xaaaa2aaa at 0xa0008064
[ 2587.432952] PUF Read:0xaaaaaaaa at 0xa0008068
[ 2587.432952] PUF Read:0xaaaaaaaa at 0xa000806c
[ 2587.433105] PUF Read:0xaaaaaaaa at 0xa0008070
[ 2587.433105] PUF Read:0xaaaaaaaa at 0xa0008074
[ 2587.433105] PUF Read:0xaaaaaaaa at 0xa0008078
[ 2587.433105] PUF Read:0xaaabaaaa at 0xa000807c
[ 2587.433105] PUF Read:0xaaabaaaa at 0xa0008080
[ 2587.433105] PUF Read:0xaaaaaaaa at 0xa0008084
[ 2587.433105] PUF Read:0xaaaaaaaa at 0xa0008088
[ 2587.433288] PUF Read:0xaaaaaaaa at 0xa000808c
[ 2587.433288] PUF Read:0xaaaa8aaa at 0xa0008090
[ 2587.433288] PUF Read:0xaaaaaaaa at 0xa0008094
[ 2587.433288] PUF Read:0x2aabaaab at 0xa0008098
[ 2587.433380] PUF Read:0xaaaaaaaa at 0xa000809c
[ 2587.433380] PUF Read:0x8aaaaa2a at 0xa00080a0
