[ 4390.778289] PUF Read:0xaaaaaaaa at 0xa000814c
[ 4390.778289] PUF Read:0xaaaaaaaa at 0xa0008150
[ 4390.778350] PUF Read:0xaaaaaaaa at 0xa0008154
[ 4390.778350] PUF Read:0xaaaaaaaa at 0xa0008158
[ 4390.778411] PUF Read:0xaabaaaea at 0xa000815c
[ 4390.778442] PUF Read:0xaaaaaaaa at 0xa0008160
[ 4390.778442] PUF Read:0xaaaaaaaa at 0xa0008164
[ 4390.778442] PUF Read:0xaeaaaaaa at 0xa0008168
[ 4390.778503] PUF Read:0xaaeaaaaa at 0xa000816c
[ 4390.778503] PUF Read:0x2aaaaaaa at 0xa0008170
[ 4390.778564] PUF Read:0xaabaaaaa at 0xa0008174
[ 4390.778594] PUF Read:0xaaaaaaaa at 0xa0008178
[ 4390.778594] PUF Read:0xaaaaaaaa at 0xa000817c
[ 4390.778594] PUF Read:0xaaaa2a2a at 0xa0008180
[ 4390.778656] PUF Read:0xaaaaaaaa at 0xa0008184
[ 4390.778656] PUF Read:0xaa2eaaaa at 0xa0008188
[ 4390.778717] PUF Read:0xaaaaaaea at 0xa000818c
[ 4390.778747] PUF Read:0x2aaaaaaa at 0xa0008190
[ 4390.778747] PUF Read:0xeaaaaaaa at 0xa0008194
[ 4390.778747] PUF Read:0xaaaaaaaa at 0xa0008198
[ 4390.778808] PUF Read:0xaaaaaaaa at 0xa000819c
[ 4390.778808] PUF Read:0xaaaaaaaa at 0xa00081a0
[ 4390.778869] PUF Read:0xaaaaaaaa at 0xa00081a4
[ 4390.778900] PUF Read:0xa2a2aaaa at 0xa00081a8
[ 4390.778900] PUF Read:0xaaaaaaea at 0xa00081ac
[ 4390.778900] PUF Read:0xaaebaaaa at 0xa00081b0
[ 4390.778961] PUF Read:0xaabaaaaa at 0xa00081b4
[ 4390.778961] PUF Read:0xaaaaeaaa at 0xa00081b8
[ 4390.779022] PUF Read:0xa2baaaaa at 0xa00081bc
[ 4390.779052] PUF Read:0xaaa88aaa at 0xa00081c0
[ 4390.779052] PUF Read:0xaaaaaaae at 0xa00081c4
[ 4390.779052] PUF Read:0xaaaaaaaa at 0xa00081c8
[ 4390.779113] PUF Read:0xaa2baaaa at 0xa00081cc
[ 4390.779113] PUF Read:0xbaaaaaaa at 0xa00081d0
[ 4390.779174] PUF Read:0xaaaaaa2a at 0xa00081d4
[ 4390.779205] PUF Read:0xaaaaaaaa at 0xa00081d8
[ 4390.779205] PUF Read:0xaaaaaaaa at 0xa00081dc
[ 4390.779205] PUF Read:0xaaaaaaa2 at 0xa00081e0
[ 4390.779205] PUF Read:0xaaaaaaea at 0xa00081e4
[ 4390.779205] PUF Read:0xaaaaaaaa at 0xa00081e8
[ 4390.779205] PUF Read:0xaa2aaaaa at 0xa00081ec
[ 4390.779357] PUF Read:0xaa8aaaab at 0xa00081f0
[ 4390.779357] PUF Read:0xaaaaaeaa at 0xa00081f4
[ 4390.779357] PUF Read:0xaaaaaaa2 at 0xa00081f8
[ 4390.779357] PUF Read:0xaaaaaaea at 0xa00081fc
[ 4390.779357] PUF Read:0xaaaaaaaa at 0xa0008200
[ 4390.779357] PUF Read:0xaaaaaaaa at 0xa0008204
[ 4390.779510] PUF Read:0xaaaaa2ba at 0xa0008208
[ 4390.779510] PUF Read:0xa8aaaaaa at 0xa000820c
[ 4390.779510] PUF Read:0xaaaaa2a8 at 0xa0008210
[ 4390.779510] PUF Read:0xaaaaaaaa at 0xa0008214
[ 4390.779510] PUF Read:0xaaaaaeaa at 0xa0008218
[ 4390.779510] PUF Read:0xaaaaaaaa at 0xa000821c
[ 4390.779663] PUF Read:0xaaaaaaaa at 0xa0008220
[ 4390.779663] PUF Read:0xaabaaaaa at 0xa0008224
[ 4390.779663] PUF Read:0xaaaaaaaa at 0xa0008228
[ 4390.779663] PUF Read:0xaaaaaaaa at 0xa000822c
[ 4390.779663] PUF Read:0xaaaaafaa at 0xa0008230
[ 4390.779663] PUF Read:0x286aaaaa at 0xa0008234
[ 4390.779815] PUF Read:0xaaaaaaaa at 0xa0008238
[ 4390.779815] PUF Read:0x8aaaaaaa at 0xa000823c
[ 4390.779815] PUF Read:0xaaaaaaaa at 0xa0008240
[ 4390.779815] PUF Read:0xaaaaaaaa at 0xa0008244
[ 4390.779815] PUF Read:0xaaaeaaaa at 0xa0008248
[ 4390.779815] PUF Read:0xaaaaaaaa at 0xa000824c
[ 4390.779968] PUF Read:0xaaaaaaaa at 0xa0008250
[ 4390.779968] PUF Read:0xaabaaaaa at 0xa0008254
[ 4390.779968] PUF Read:0xaaaaaaaa at 0xa0008258
[ 4390.779968] PUF Read:0xaeaeaaaa at 0xa000825c
[ 4390.779968] PUF Read:0xaaaaaaaa at 0xa0008260
[ 4390.780090] PUF Read:0xaaaaaaaa at 0xa0008264
[ 4390.780120] PUF Read:0xaaaa8caa at 0xa0008268
[ 4390.780120] PUF Read:0xaaaabaaa at 0xa000826c
[ 4390.780120] PUF Read:0xaaaaaaaa at 0xa0008270
[ 4390.780120] PUF Read:0xaaaaaaa2 at 0xa0008274
[ 4390.780120] PUF Read:0xaaaaaaea at 0xa0008278
[ 4390.780120] PUF Read:0xaabaaaaa at 0xa000827c
[ 4390.780273] PUF Read:0xeaaaaaaa at 0xa0008280
[ 4390.780273] PUF Read:0xa2aaaaaa at 0xa0008284
[ 4390.780273] PUF Read:0xaaeaaaaa at 0xa0008288
[ 4390.780273] PUF Read:0xaaaaaaaa at 0xa000828c
[ 4390.780273] PUF Read:0xaaaaaaa8 at 0xa0008290
[ 4390.780395] PUF Read:0x28aaaaaa at 0xa0008294
[ 4390.780426] PUF Read:0xaaaaaaaa at 0xa0008298
[ 4390.780426] PUF Read:0xaaaaaaaa at 0xa000829c
[ 4390.780487] PUF Read:0xaaaaaaaa at 0xa00082a0
[ 4390.780487] PUF Read:0xaaaabaaa at 0xa00082a4
[ 4390.780487] PUF Read:0xaaaaaaaa at 0xa00082a8
[ 4390.780548] PUF Read:0xaaaaaaaa at 0xa00082ac
[ 4390.780578] PUF Read:0xaaaaaaaa at 0xa00082b0
[ 4390.780578] PUF Read:0xaaaaaaaa at 0xa00082b4
[ 4390.780639] PUF Read:0xaaa8aaea at 0xa00082b8
[ 4390.780639] PUF Read:0xaaaaaaaa at 0xa00082bc
[ 4390.780639] PUF Read:0xaaaaaaaa at 0xa00082c0
[ 4390.780639] PUF Read:0xaaaaaaaa at 0xa00082c4
[ 4390.780731] PUF Read:0xbaaaaaaa at 0xa00082c8
[ 4390.780761] PUF Read:0xaaaaaaaa at 0xa00082cc
[ 4390.780761] PUF Read:0xaabaaaaa at 0xa00082d0
[ 4390.780761] PUF Read:0xaaaa8aaa at 0xa00082d4
[ 4390.780822] PUF Read:0xaaaaaaaa at 0xa00082d8
[ 4390.780822] PUF Read:0xaaaaeaaa at 0xa00082dc
[ 4390.780883] PUF Read:0xaaaaaaaa at 0xa00082e0
[ 4390.780914] PUF Read:0xa2aaaeaa at 0xa00082e4
[ 4390.780914] PUF Read:0xaaaaabaa at 0xa00082e8
[ 4390.780914] PUF Read:0xaaaaaaab at 0xa00082ec
[ 4390.780975] PUF Read:0xaaaaaaaa at 0xa00082f0
[ 4390.780975] PUF Read:0xaaa8aaaa at 0xa00082f4
[ 4390.781036] PUF Read:0xaaaaaaaa at 0xa00082f8
[ 4390.781066] PUF Read:0xaaaaaaaa at 0xa00082fc
[ 4390.781066] PUF Read:0xaaaaaaaa at 0xa0008300
[ 4390.781066] PUF Read:0xaaaaaaaa at 0xa0008304
[ 4390.781127] PUF Read:0xaaaa8aaa at 0xa0008308
