[ 1686.144653] [i] Total hammer attempts per row: 506490
[ 1686.144653] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 1686.144653] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 1686.144714] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 1686.144714] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 1686.144744] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 1686.144744] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 1686.144775] Temp polling alert enabled
[ 1686.144775] Refresh enabled at EMIF2
[ 1686.144775] [i] Starting PUF read-out
[ 1686.144805] [i] Single-Sided Rowhammer (SSRH)
[ 1686.144805] PUF Read:0x00000000 at 0xa0008000
[ 1686.144805] PUF Read:0x00000000 at 0xa0008004
[ 1686.144805] PUF Read:0x00000000 at 0xa0008008
[ 1686.144897] PUF Read:0x00000000 at 0xa000800c
[ 1686.144927] PUF Read:0x00000000 at 0xa0008010
[ 1686.144927] PUF Read:0x00000100 at 0xa0008014
[ 1686.144927] PUF Read:0x00000000 at 0xa0008018
[ 1686.144989] PUF Read:0x00000000 at 0xa000801c
[ 1686.144989] PUF Read:0x00000000 at 0xa0008020
[ 1686.145050] PUF Read:0x40004000 at 0xa0008024
[ 1686.145080] PUF Read:0x00000000 at 0xa0008028
[ 1686.145080] PUF Read:0x00000000 at 0xa000802c
[ 1686.145080] PUF Read:0x00000000 at 0xa0008030
[ 1686.145141] PUF Read:0x00000000 at 0xa0008034
[ 1686.145141] PUF Read:0x00004000 at 0xa0008038
[ 1686.145202] PUF Read:0x00000000 at 0xa000803c
[ 1686.145233] PUF Read:0x00000001 at 0xa0008040
[ 1686.145233] PUF Read:0x00004000 at 0xa0008044
[ 1686.145233] PUF Read:0x00000000 at 0xa0008048
[ 1686.145294] PUF Read:0x00000000 at 0xa000804c
[ 1686.145294] PUF Read:0x00000000 at 0xa0008050
[ 1686.145355] PUF Read:0x00000000 at 0xa0008054
[ 1686.145385] PUF Read:0x00000000 at 0xa0008058
[ 1686.145385] PUF Read:0x00000000 at 0xa000805c
[ 1686.145385] PUF Read:0x00000000 at 0xa0008060
[ 1686.145446] PUF Read:0x00000000 at 0xa0008064
[ 1686.145446] PUF Read:0x00000000 at 0xa0008068
[ 1686.145507] PUF Read:0x00000000 at 0xa000806c
[ 1686.145538] PUF Read:0x00000000 at 0xa0008070
[ 1686.145538] PUF Read:0x00000000 at 0xa0008074
[ 1686.145538] PUF Read:0x00000000 at 0xa0008078
[ 1686.145599] PUF Read:0x00010000 at 0xa000807c
[ 1686.145599] PUF Read:0x00010000 at 0xa0008080
[ 1686.145660] PUF Read:0x00000000 at 0xa0008084
[ 1686.145690] PUF Read:0x00000000 at 0xa0008088
[ 1686.145690] PUF Read:0x00000000 at 0xa000808c
[ 1686.145690] PUF Read:0x00000000 at 0xa0008090
[ 1686.145690] PUF Read:0x00000000 at 0xa0008094
[ 1686.145690] PUF Read:0x00010001 at 0xa0008098
[ 1686.145812] PUF Read:0x00000000 at 0xa000809c
[ 1686.145812] PUF Read:0x00000000 at 0xa00080a0
[ 1686.145812] PUF Read:0x00010000 at 0xa00080a4
[ 1686.145812] PUF Read:0x00000000 at 0xa00080a8
[ 1686.145812] PUF Read:0x00000040 at 0xa00080ac
[ 1686.145935] PUF Read:0x00000000 at 0xa00080b0
[ 1686.145965] PUF Read:0x00000000 at 0xa00080b4
[ 1686.145965] PUF Read:0x00004000 at 0xa00080b8
[ 1686.146026] PUF Read:0x00000000 at 0xa00080bc
[ 1686.146026] PUF Read:0x00000000 at 0xa00080c0
[ 1686.146026] PUF Read:0x00000000 at 0xa00080c4
[ 1686.146087] PUF Read:0x00000000 at 0xa00080c8
[ 1686.146118] PUF Read:0x01000000 at 0xa00080cc
[ 1686.146118] PUF Read:0x40044000 at 0xa00080d0
[ 1686.146118] PUF Read:0x00000000 at 0xa00080d4
[ 1686.146179] PUF Read:0x00001000 at 0xa00080d8
[ 1686.146179] PUF Read:0x00000000 at 0xa00080dc
[ 1686.146240] PUF Read:0x01000000 at 0xa00080e0
[ 1686.146270] PUF Read:0x00000000 at 0xa00080e4
[ 1686.146270] PUF Read:0x00000000 at 0xa00080e8
[ 1686.146270] PUF Read:0x00000001 at 0xa00080ec
[ 1686.146331] PUF Read:0x00000000 at 0xa00080f0
[ 1686.146331] PUF Read:0x00000000 at 0xa00080f4
[ 1686.146392] PUF Read:0x00000100 at 0xa00080f8
[ 1686.146423] PUF Read:0x00000000 at 0xa00080fc
[ 1686.146423] PUF Read:0x00000000 at 0xa0008100
[ 1686.146423] PUF Read:0x00000000 at 0xa0008104
[ 1686.146423] PUF Read:0x00000000 at 0xa0008108
[ 1686.146423] PUF Read:0x00100000 at 0xa000810c
[ 1686.146545] PUF Read:0x00000000 at 0xa0008110
[ 1686.146545] PUF Read:0x00400000 at 0xa0008114
[ 1686.146545] PUF Read:0x00000000 at 0xa0008118
[ 1686.146545] PUF Read:0x00000000 at 0xa000811c
[ 1686.146545] PUF Read:0x00000000 at 0xa0008120
[ 1686.146667] PUF Read:0x00000400 at 0xa0008124
[ 1686.146697] PUF Read:0x00000040 at 0xa0008128
[ 1686.146697] PUF Read:0x00000000 at 0xa000812c
[ 1686.146697] PUF Read:0x00000000 at 0xa0008130
[ 1686.146759] PUF Read:0x00000000 at 0xa0008134
[ 1686.146759] PUF Read:0x00010000 at 0xa0008138
[ 1686.146820] PUF Read:0x00000000 at 0xa000813c
[ 1686.146850] PUF Read:0x00000400 at 0xa0008140
[ 1686.146850] PUF Read:0x00000000 at 0xa0008144
[ 1686.146850] PUF Read:0x00100400 at 0xa0008148
[ 1686.146911] PUF Read:0x00000000 at 0xa000814c
[ 1686.146911] PUF Read:0x00000000 at 0xa0008150
[ 1686.146972] PUF Read:0x00000000 at 0xa0008154
[ 1686.147003] PUF Read:0x00000000 at 0xa0008158
[ 1686.147003] PUF Read:0x00000040 at 0xa000815c
[ 1686.147003] PUF Read:0x00000000 at 0xa0008160
[ 1686.147064] PUF Read:0x00000000 at 0xa0008164
