[ 3188.542083] [i] Total hammer attempts per row: 253156
[ 3188.542114] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 3188.542114] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 3188.542144] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 3188.542144] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 3188.542175] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 3188.542175] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 3188.542175] Temp polling alert enabled
[ 3188.542205] Refresh enabled at EMIF2
[ 3188.542205] [i] Starting PUF read-out
[ 3188.542205] [i] Single-Sided Rowhammer (SSRH)
[ 3188.542236] PUF Read:0xaaaaaaaa at 0xa0008000
[ 3188.542266] PUF Read:0xaaaaaaaa at 0xa0008004
[ 3188.542266] PUF Read:0xaaaaaaaa at 0xa0008008
[ 3188.542266] PUF Read:0xaaaaaaaa at 0xa000800c
[ 3188.542266] PUF Read:0xaaaaaaaa at 0xa0008010
[ 3188.542358] PUF Read:0xaaaaabaa at 0xa0008014
[ 3188.542358] PUF Read:0xaaaaaaaa at 0xa0008018
[ 3188.542419] PUF Read:0xaaaaaaaa at 0xa000801c
[ 3188.542449] PUF Read:0xaaaaaaaa at 0xa0008020
[ 3188.542449] PUF Read:0xaaaaaaaa at 0xa0008024
[ 3188.542449] PUF Read:0xaaaaaaaa at 0xa0008028
[ 3188.542449] PUF Read:0xaaaaaaaa at 0xa000802c
[ 3188.542449] PUF Read:0xaaaaaaaa at 0xa0008030
[ 3188.542449] PUF Read:0xaaaaaaaa at 0xa0008034
[ 3188.542602] PUF Read:0xaaaaaaaa at 0xa0008038
[ 3188.542633] PUF Read:0xaaaaaaaa at 0xa000803c
[ 3188.542633] PUF Read:0xaaaaaaab at 0xa0008040
[ 3188.542633] PUF Read:0xaaaaeaaa at 0xa0008044
[ 3188.542694] PUF Read:0xaaaaaaaa at 0xa0008048
[ 3188.542694] PUF Read:0xaaaaaaaa at 0xa000804c
[ 3188.542694] PUF Read:0xaaaaaaaa at 0xa0008050
[ 3188.542785] PUF Read:0xaaaaaaaa at 0xa0008054
[ 3188.542785] PUF Read:0xaaaaaaaa at 0xa0008058
[ 3188.542785] PUF Read:0xaaaaaaaa at 0xa000805c
[ 3188.542785] PUF Read:0xaaaaaaaa at 0xa0008060
[ 3188.542877] PUF Read:0xaaaa2aaa at 0xa0008064
[ 3188.542877] PUF Read:0xaaaaaaaa at 0xa0008068
[ 3188.542938] PUF Read:0xaaaaaaaa at 0xa000806c
[ 3188.542968] PUF Read:0xaaaaaaaa at 0xa0008070
[ 3188.542968] PUF Read:0xaaaaaaaa at 0xa0008074
[ 3188.542968] PUF Read:0xaaaaaaaa at 0xa0008078
[ 3188.543029] PUF Read:0xaaaaaaaa at 0xa000807c
[ 3188.543029] PUF Read:0xaaaaaaaa at 0xa0008080
[ 3188.543090] PUF Read:0xaaaaaaaa at 0xa0008084
[ 3188.543121] PUF Read:0xaaaaaaaa at 0xa0008088
[ 3188.543121] PUF Read:0xaaaaaaaa at 0xa000808c
[ 3188.543121] PUF Read:0xaaaa8aaa at 0xa0008090
[ 3188.543182] PUF Read:0xaaaaaaaa at 0xa0008094
[ 3188.543182] PUF Read:0x2aabaaaa at 0xa0008098
[ 3188.543243] PUF Read:0xaaaaaaaa at 0xa000809c
[ 3188.543273] PUF Read:0xaaaaaaaa at 0xa00080a0
[ 3188.543273] PUF Read:0xaaaaaaaa at 0xa00080a4
[ 3188.543273] PUF Read:0xaaaaaaaa at 0xa00080a8
[ 3188.543334] PUF Read:0xaaaaaaaa at 0xa00080ac
[ 3188.543334] PUF Read:0xaaaaaaaa at 0xa00080b0
[ 3188.543395] PUF Read:0xaa2aaaaa at 0xa00080b4
[ 3188.543426] PUF Read:0xaaaaeaaa at 0xa00080b8
[ 3188.543426] PUF Read:0x8aaaaaaa at 0xa00080bc
[ 3188.543426] PUF Read:0xaaaaaaaa at 0xa00080c0
[ 3188.543487] PUF Read:0xaaaaaaaa at 0xa00080c4
[ 3188.543487] PUF Read:0xaaa2aaaa at 0xa00080c8
[ 3188.543548] PUF Read:0xaaaaaaaa at 0xa00080cc
[ 3188.543579] PUF Read:0xaaaaaaaa at 0xa00080d0
[ 3188.543579] PUF Read:0xaaaaaaaa at 0xa00080d4
[ 3188.543579] PUF Read:0xaaaaaaaa at 0xa00080d8
[ 3188.543640] PUF Read:0xaaaaaaaa at 0xa00080dc
[ 3188.543640] PUF Read:0xabaaaaaa at 0xa00080e0
[ 3188.543701] PUF Read:0xaaaaaaaa at 0xa00080e4
[ 3188.543701] PUF Read:0xaaaaaaaa at 0xa00080e8
[ 3188.543701] PUF Read:0xaaaaaaab at 0xa00080ec
[ 3188.543701] PUF Read:0x8aaaaaaa at 0xa00080f0
[ 3188.543792] PUF Read:0xaaaaaaaa at 0xa00080f4
[ 3188.543792] PUF Read:0xaaaaabaa at 0xa00080f8
[ 3188.543853] PUF Read:0xaaaaaaaa at 0xa00080fc
[ 3188.543884] PUF Read:0xaaaaaaaa at 0xa0008100
[ 3188.543884] PUF Read:0xaaaaaaaa at 0xa0008104
[ 3188.543884] PUF Read:0xaaaaaaaa at 0xa0008108
[ 3188.543945] PUF Read:0xaaaaaaaa at 0xa000810c
[ 3188.543945] PUF Read:0xaaaaaaaa at 0xa0008110
[ 3188.544006] PUF Read:0xaaaaaaaa at 0xa0008114
[ 3188.544036] PUF Read:0xaaaaaaaa at 0xa0008118
[ 3188.544036] PUF Read:0xaaaaaaaa at 0xa000811c
[ 3188.544036] PUF Read:0xaaaaaaaa at 0xa0008120
[ 3188.544097] PUF Read:0xaaaaaaaa at 0xa0008124
[ 3188.544097] PUF Read:0xaaaaaaea at 0xa0008128
[ 3188.544158] PUF Read:0xaaaaaaaa at 0xa000812c
[ 3188.544189] PUF Read:0xaaaaaaaa at 0xa0008130
[ 3188.544189] PUF Read:0xaaaaaaaa at 0xa0008134
[ 3188.544189] PUF Read:0xaa8aaaaa at 0xa0008138
[ 3188.544250] PUF Read:0xaaaaaaaa at 0xa000813c
[ 3188.544250] PUF Read:0xaaaaaaaa at 0xa0008140
[ 3188.544250] PUF Read:0xaaaaaaaa at 0xa0008144
[ 3188.544342] PUF Read:0xaabaaeaa at 0xa0008148
[ 3188.544372] PUF Read:0xaaaaaaaa at 0xa000814c
[ 3188.544372] PUF Read:0xaaaaaaaa at 0xa0008150
[ 3188.544372] PUF Read:0xaaaaaaaa at 0xa0008154
[ 3188.544372] PUF Read:0xaaaaaaaa at 0xa0008158
[ 3188.544372] PUF Read:0xaaaaaaea at 0xa000815c
[ 3188.544494] PUF Read:0xaaaaaaaa at 0xa0008160
[ 3188.544525] PUF Read:0xaaaaaaaa at 0xa0008164
[ 3188.544525] PUF Read:0xaaaaaaaa at 0xa0008168
[ 3188.544586] PUF Read:0xaaaaaaaa at 0xa000816c
[ 3188.544586] PUF Read:0xaaaaaaaa at 0xa0008170
[ 3188.544586] PUF Read:0xaaaaaaaa at 0xa0008174
[ 3188.544647] PUF Read:0xaaaaaaaa at 0xa0008178
[ 3188.544677] PUF Read:0xaaaaaaaa at 0xa000817c
[ 3188.544677] PUF Read:0xaaaaaa2a at 0xa0008180
[ 3188.544738] PUF Read:0xaaaaaaaa at 0xa0008184
[ 3188.544738] PUF Read:0xaaaaaaaa at 0xa0008188
[ 3188.544738] PUF Read:0xaaaaaaaa at 0xa000818c
[ 3188.544799] PUF Read:0xaaaaaaaa at 0xa0008190
[ 3188.544830] PUF Read:0xaaaaaaaa at 0xa0008194
[ 3188.544830] PUF Read:0xaaaaaaaa at 0xa0008198
[ 3188.544830] PUF Read:0xaaaaaaaa at 0xa000819c
[ 3188.544891] PUF Read:0xaaaaaaaa at 0xa00081a0
[ 3188.544891] PUF Read:0xaaaaaaaa at 0xa00081a4
[ 3188.544952] PUF Read:0xaaaaaaaa at 0xa00081a8
[ 3188.544982] PUF Read:0xaaaaaaaa at 0xa00081ac
[ 3188.544982] PUF Read:0xaaeaaaaa at 0xa00081b0
[ 3188.544982] PUF Read:0xaaaaaaaa at 0xa00081b4
[ 3188.545043] PUF Read:0xaaaaaaaa at 0xa00081b8
[ 3188.545043] PUF Read:0xaaaaaaaa at 0xa00081bc
[ 3188.545104] PUF Read:0xaaaaaaaa at 0xa00081c0
[ 3188.545135] PUF Read:0xaaaaaaae at 0xa00081c4
[ 3188.545135] PUF Read:0xaaaaaaaa at 0xa00081c8
[ 3188.545135] PUF Read:0xaaaaaaaa at 0xa00081cc
[ 3188.545196] PUF Read:0xbaaaaaaa at 0xa00081d0
[ 3188.545196] PUF Read:0xaaaaaaaa at 0xa00081d4
[ 3188.545257] PUF Read:0xaaaaaaaa at 0xa00081d8
[ 3188.545288] PUF Read:0xaaaaaaaa at 0xa00081dc
[ 3188.545288] PUF Read:0xaaaaaaaa at 0xa00081e0
[ 3188.545288] PUF Read:0xaaaaaaea at 0xa00081e4
[ 3188.545349] PUF Read:0xaaaaaaaa at 0xa00081e8
[ 3188.545349] PUF Read:0xaa2aaaaa at 0xa00081ec
[ 3188.545410] PUF Read:0xaaaaaaaa at 0xa00081f0
[ 3188.545440] PUF Read:0xaaaaaeaa at 0xa00081f4
[ 3188.545440] PUF Read:0xaaaaaaa2 at 0xa00081f8
[ 3188.545440] PUF Read:0xaaaaaaaa at 0xa00081fc
[ 3188.545501] PUF Read:0xaaaaaaaa at 0xa0008200
[ 3188.545501] PUF Read:0xaaaaaaaa at 0xa0008204
[ 3188.545562] PUF Read:0xaaaaaaaa at 0xa0008208
[ 3188.545593] PUF Read:0xa8aaaaaa at 0xa000820c
[ 3188.545593] PUF Read:0xaaaaaaaa at 0xa0008210
[ 3188.545593] PUF Read:0xaaaaaaaa at 0xa0008214
[ 3188.545654] PUF Read:0xaaaaaaaa at 0xa0008218
[ 3188.545654] PUF Read:0xaaaaaaaa at 0xa000821c
[ 3188.545715] PUF Read:0xaaaaaaaa at 0xa0008220
[ 3188.545745] PUF Read:0xaaaaaaaa at 0xa0008224
[ 3188.545745] PUF Read:0xaaaaaaaa at 0xa0008228
[ 3188.545745] PUF Read:0xaaaaaaaa at 0xa000822c
[ 3188.545806] PUF Read:0xaaaaaaaa at 0xa0008230
[ 3188.545837] PUF Read:0xa8aaaaaa at 0xa0008234
[ 3188.545837] PUF Read:0xaaaaaaaa at 0xa0008238
[ 3188.545898] PUF Read:0xaaaaaaaa at 0xa000823c
[ 3188.545928] PUF Read:0xaaaaaaaa at 0xa0008240
[ 3188.545928] PUF Read:0xaaaaaaaa at 0xa0008244
[ 3188.545928] PUF Read:0xaaaaaaaa at 0xa0008248
[ 3188.545989] PUF Read:0xaaaaaaaa at 0xa000824c
[ 3188.545989] PUF Read:0xaaaaaaaa at 0xa0008250
[ 3188.546051] PUF Read:0xaaaaaaaa at 0xa0008254
[ 3188.546081] PUF Read:0xaaaaaaaa at 0xa0008258
[ 3188.546081] PUF Read:0xaaaaaaaa at 0xa000825c
[ 3188.546081] PUF Read:0xaaaaaaaa at 0xa0008260
[ 3188.546142] PUF Read:0xaaaaaaaa at 0xa0008264
[ 3188.546142] PUF Read:0xaaaaaaaa at 0xa0008268
[ 3188.546203] PUF Read:0xaaaaaaaa at 0xa000826c
[ 3188.546234] PUF Read:0xaaaaaaaa at 0xa0008270
[ 3188.546234] PUF Read:0xaaaaaaaa at 0xa0008274
[ 3188.546234] PUF Read:0xaaaaaaaa at 0xa0008278
[ 3188.546295] PUF Read:0xaaaaaaaa at 0xa000827c
[ 3188.546295] PUF Read:0xaaaaaaaa at 0xa0008280
[ 3188.546356] PUF Read:0xaaaaaaaa at 0xa0008284
[ 3188.546386] PUF Read:0xaaaaaaaa at 0xa0008288
[ 3188.546386] PUF Read:0xaaaaaaaa at 0xa000828c
[ 3188.546386] PUF Read:0xaaaaaaa8 at 0xa0008290
[ 3188.546447] PUF Read:0xaaaaaaaa at 0xa0008294
[ 3188.546447] PUF Read:0xaaaaaaaa at 0xa0008298
[ 3188.546508] PUF Read:0xaaaaaaaa at 0xa000829c
[ 3188.546539] PUF Read:0xaaaaaaaa at 0xa00082a0
[ 3188.546539] PUF Read:0xaaaaaaaa at 0xa00082a4
[ 3188.546539] PUF Read:0xaaaaaaaa at 0xa00082a8
[ 3188.546600] PUF Read:0xaaaaaaaa at 0xa00082ac
[ 3188.546600] PUF Read:0xaaaaaaaa at 0xa00082b0
[ 3188.546661] PUF Read:0xaaaaaaaa at 0xa00082b4
[ 3188.546661] PUF Read:0xaaaaaaea at 0xa00082b8
[ 3188.546661] PUF Read:0xaaaaaaaa at 0xa00082bc
[ 3188.546661] PUF Read:0xaaaaaaaa at 0xa00082c0
[ 3188.546752] PUF Read:0xaaaaaaaa at 0xa00082c4
[ 3188.546752] PUF Read:0xbaaaaaaa at 0xa00082c8
[ 3188.546813] PUF Read:0xaaaaaaaa at 0xa00082cc
[ 3188.546844] PUF Read:0xaaaaaaaa at 0xa00082d0
[ 3188.546844] PUF Read:0xaaaaaaaa at 0xa00082d4
[ 3188.546844] PUF Read:0xaaaaaaaa at 0xa00082d8
[ 3188.546844] PUF Read:0xaaaaaaaa at 0xa00082dc
[ 3188.546844] PUF Read:0xaaaaaaaa at 0xa00082e0
[ 3188.546966] PUF Read:0xaaaaaeaa at 0xa00082e4
[ 3188.546997] PUF Read:0xaaaaaaaa at 0xa00082e8
[ 3188.546997] PUF Read:0xaaaaaaaa at 0xa00082ec
[ 3188.546997] PUF Read:0xaaaaaaaa at 0xa00082f0
[ 3188.547058] PUF Read:0xaaaaaaaa at 0xa00082f4
[ 3188.547058] PUF Read:0xaaaaaaaa at 0xa00082f8
[ 3188.547119] PUF Read:0xaaaaaaaa at 0xa00082fc
[ 3188.547149] PUF Read:0xaaaaaaaa at 0xa0008300
[ 3188.547149] PUF Read:0xaaaaaaaa at 0xa0008304
[ 3188.547149] PUF Read:0xaaaaaaaa at 0xa0008308
[ 3188.547210] PUF Read:0xaaaaaaaa at 0xa000830c
[ 3188.547210] PUF Read:0xaaaaaaaa at 0xa0008310
[ 3188.547271] PUF Read:0xaaaaaaaa at 0xa0008314
[ 3188.547302] PUF Read:0xaaaaaaaa at 0xa0008318
[ 3188.547302] PUF Read:0xbaaaaaaa at 0xa000831c
[ 3188.547363] PUF Read:0xaaaaaaaa at 0xa0008320
[ 3188.547363] PUF Read:0xaaaaaaaa at 0xa0008324
[ 3188.547363] PUF Read:0xaaaaaaaa at 0xa0008328
[ 3188.547363] PUF Read:0xaaaaaaaa at 0xa000832c
[ 3188.547454] PUF Read:0xaaaaaaae at 0xa0008330
[ 3188.547454] PUF Read:0xaaaaaaaa at 0xa0008334
[ 3188.547454] PUF Read:0xaaaaaaaa at 0xa0008338
[ 3188.547454] PUF Read:0xaaaaaaaa at 0xa000833c
[ 3188.547454] PUF Read:0xaaaaaaaa at 0xa0008340
[ 3188.547454] PUF Read:0xaaaaaaaa at 0xa0008344
[ 3188.547607] PUF Read:0xaaaaaaaa at 0xa0008348
[ 3188.547607] PUF Read:0xaaaaaaaa at 0xa000834c
[ 3188.547607] PUF Read:0xaaaaaa8a at 0xa0008350
[ 3188.547607] PUF Read:0xaaaaaaaa at 0xa0008354
[ 3188.547607] PUF Read:0xaaaaaaaa at 0xa0008358
[ 3188.547607] PUF Read:0xaaaaaaaa at 0xa000835c
[ 3188.547760] PUF Read:0xaaabaaaa at 0xa0008360
[ 3188.547760] PUF Read:0xaaaaaaaa at 0xa0008364
[ 3188.547760] PUF Read:0xaaaaaaaa at 0xa0008368
[ 3188.547760] PUF Read:0xaaaaaaaa at 0xa000836c
[ 3188.547760] PUF Read:0xaaaaaaaa at 0xa0008370
[ 3188.547760] PUF Read:0xaaaaaaaa at 0xa0008374
[ 3188.547912] PUF Read:0xaaaaaaaa at 0xa0008378
[ 3188.547943] PUF Read:0xaaaaaaaa at 0xa000837c
[ 3188.547943] PUF Read:0xaaaaaaaa at 0xa0008380
[ 3188.547943] PUF Read:0xaaaaaaaa at 0xa0008384
[ 3188.548004] PUF Read:0xaaaaaaaa at 0xa0008388
[ 3188.548004] PUF Read:0xaaaaaaaa at 0xa000838c
[ 3188.548065] PUF Read:0xaaaaaaaa at 0xa0008390
[ 3188.548095] PUF Read:0xaaaaaaaa at 0xa0008394
[ 3188.548095] PUF Read:0xaaaaaaaa at 0xa0008398
[ 3188.548095] PUF Read:0xaaa2aaaa at 0xa000839c
[ 3188.548156] PUF Read:0xaaaaaaaa at 0xa00083a0
[ 3188.548156] PUF Read:0xaaaaaaaa at 0xa00083a4
[ 3188.548217] PUF Read:0xaaaaaaaa at 0xa00083a8
[ 3188.548248] PUF Read:0xaaaaaaaa at 0xa00083ac
[ 3188.548248] PUF Read:0xaaaaaaa2 at 0xa00083b0
[ 3188.548248] PUF Read:0xaaaaaaaa at 0xa00083b4
[ 3188.548309] PUF Read:0xaaaaaaaa at 0xa00083b8
[ 3188.548309] PUF Read:0xaaaaaaaa at 0xa00083bc
[ 3188.548370] PUF Read:0xaaaaaaaa at 0xa00083c0
[ 3188.548400] PUF Read:0xaaaaaaaa at 0xa00083c4
[ 3188.548400] PUF Read:0xaaaaaaaa at 0xa00083c8
[ 3188.548400] PUF Read:0xaaaaaaaa at 0xa00083cc
[ 3188.548461] PUF Read:0xaaaaaaaa at 0xa00083d0
[ 3188.548461] PUF Read:0xaaabaaaa at 0xa00083d4
[ 3188.548522] PUF Read:0xaaaaaaaa at 0xa00083d8
[ 3188.548553] PUF Read:0xaaaaaaaa at 0xa00083dc
[ 3188.548553] PUF Read:0xaaaaaaaa at 0xa00083e0
[ 3188.548553] PUF Read:0xaaaaaaaa at 0xa00083e4
[ 3188.548614] PUF Read:0xaaaaaaaa at 0xa00083e8
[ 3188.548614] PUF Read:0xaaaaaaaa at 0xa00083ec
[ 3188.548675] PUF Read:0xaaaaaaaa at 0xa00083f0
[ 3188.548706] PUF Read:0xaaaaaaaa at 0xa00083f4
[ 3188.548706] PUF Read:0xaaaaaaae at 0xa00083f8
[ 3188.548706] PUF Read:0xaaaeaaaa at 0xa00083fc
[ 3188.548767] PUF Read:0xaaaaaeaa at 0xa0010000
[ 3188.548767] PUF Read:0xaaaaaaaa at 0xa0010004
[ 3188.548828] PUF Read:0xaaaaaaaa at 0xa0010008
[ 3188.548858] PUF Read:0xaaaaaaaa at 0xa001000c
[ 3188.548858] PUF Read:0xaaaaaaaa at 0xa0010010
[ 3188.548858] PUF Read:0xaaaaaaaa at 0xa0010014
[ 3188.548858] PUF Read:0xabaaaaaa at 0xa0010018
[ 3188.548950] PUF Read:0xaeaaaaaa at 0xa001001c
[ 3188.548950] PUF Read:0xaaaaaaaa at 0xa0010020
[ 3188.549011] PUF Read:0xaaaaaaaa at 0xa0010024
[ 3188.549041] PUF Read:0xaaaaaaaa at 0xa0010028
[ 3188.549041] PUF Read:0xaaaaaaaa at 0xa001002c
[ 3188.549041] PUF Read:0xaaaaaaaa at 0xa0010030
[ 3188.549102] PUF Read:0xaaaaaaaa at 0xa0010034
[ 3188.549102] PUF Read:0xaaaaaaaa at 0xa0010038
[ 3188.549163] PUF Read:0xaaaaaaaa at 0xa001003c
[ 3188.549194] PUF Read:0xaaaaaaaa at 0xa0010040
[ 3188.549194] PUF Read:0xaeaaaaaa at 0xa0010044
[ 3188.549194] PUF Read:0xaaaaaaaa at 0xa0010048
[ 3188.549255] PUF Read:0xabaaaaaa at 0xa001004c
[ 3188.549255] PUF Read:0x8aaaaaaa at 0xa0010050
[ 3188.549316] PUF Read:0xaaa2aaaa at 0xa0010054
[ 3188.549377] PUF Read:0xaaaaaaaa at 0xa0010058
[ 3188.549377] PUF Read:0xaabaaeaa at 0xa001005c
[ 3188.549377] PUF Read:0xaaaaaaaa at 0xa0010060
[ 3188.549468] PUF Read:0xaaaaaaaa at 0xa0010064
[ 3188.549468] PUF Read:0xaaaaaaaa at 0xa0010068
[ 3188.549468] PUF Read:0x2aaaaaaa at 0xa001006c
[ 3188.549468] PUF Read:0xaaaaaaaa at 0xa0010070
[ 3188.549560] PUF Read:0xa8aaaaaa at 0xa0010074
[ 3188.549560] PUF Read:0xaaaaaaaa at 0xa0010078
[ 3188.549560] PUF Read:0xaaaaaaaa at 0xa001007c
[ 3188.549560] PUF Read:0xaaaaaaaa at 0xa0010080
[ 3188.549652] PUF Read:0xaaaaaaaa at 0xa0010084
[ 3188.549652] PUF Read:0xaaaaaaaa at 0xa0010088
[ 3188.549713] PUF Read:0xaaaaaa2a at 0xa001008c
[ 3188.549743] PUF Read:0xaaaaaaaa at 0xa0010090
[ 3188.549743] PUF Read:0xaaaaaaaa at 0xa0010094
[ 3188.549743] PUF Read:0xaaaaaaaa at 0xa0010098
[ 3188.549804] PUF Read:0xaaaaaaaa at 0xa001009c
[ 3188.549804] PUF Read:0xaaaaaaaa at 0xa00100a0
[ 3188.549865] PUF Read:0xaaaaaaaa at 0xa00100a4
[ 3188.549896] PUF Read:0xa8aaaaaa at 0xa00100a8
[ 3188.549896] PUF Read:0xaaaaaaaa at 0xa00100ac
[ 3188.549896] PUF Read:0xaeaaaaaa at 0xa00100b0
[ 3188.549957] PUF Read:0xaaaaaaaa at 0xa00100b4
[ 3188.549957] PUF Read:0xaaaaaaaa at 0xa00100b8
[ 3188.550018] PUF Read:0xaaaaaaaa at 0xa00100bc
[ 3188.550048] PUF Read:0xaaaaaaaa at 0xa00100c0
[ 3188.550048] PUF Read:0xaaaaaaaa at 0xa00100c4
[ 3188.550048] PUF Read:0xaaaaaaaa at 0xa00100c8
[ 3188.550048] PUF Read:0xaaaaaaaa at 0xa00100cc
[ 3188.550048] PUF Read:0xaaaaaaaa at 0xa00100d0
[ 3188.550170] PUF Read:0xaaaaaaaa at 0xa00100d4
[ 3188.550170] PUF Read:0xaaaaaaaa at 0xa00100d8
[ 3188.550170] PUF Read:0xaaaaaaaa at 0xa00100dc
[ 3188.550170] PUF Read:0xaaaaaaaa at 0xa00100e0
[ 3188.550262] PUF Read:0xaaaaaaaa at 0xa00100e4
[ 3188.550262] PUF Read:0xaaaaaaaa at 0xa00100e8
[ 3188.550323] PUF Read:0xaaaaaaaa at 0xa00100ec
[ 3188.550354] PUF Read:0xaaaaaaaa at 0xa00100f0
[ 3188.550354] PUF Read:0xaaaaaaaa at 0xa00100f4
[ 3188.550354] PUF Read:0xaaaaaaaa at 0xa00100f8
[ 3188.550415] PUF Read:0xaaaaaaaa at 0xa00100fc
[ 3188.550415] PUF Read:0xaa2aaaaa at 0xa0010100
[ 3188.550415] PUF Read:0xaaaaaaaa at 0xa0010104
[ 3188.550506] PUF Read:0xaaaaaaaa at 0xa0010108
[ 3188.550537] PUF Read:0xaaabaaaa at 0xa001010c
[ 3188.550537] PUF Read:0xaaaaaaaa at 0xa0010110
[ 3188.550537] PUF Read:0xaaaaaaaa at 0xa0010114
[ 3188.550598] PUF Read:0xaaaaaaaa at 0xa0010118
[ 3188.550598] PUF Read:0xaaaaaaaa at 0xa001011c
[ 3188.550659] PUF Read:0xaaaaaaaa at 0xa0010120
[ 3188.550689] PUF Read:0xaaaeaaaa at 0xa0010124
[ 3188.550689] PUF Read:0xaaaaaaaa at 0xa0010128
[ 3188.550689] PUF Read:0xaaaaaaaa at 0xa001012c
[ 3188.550750] PUF Read:0xaaaaaaaa at 0xa0010130
[ 3188.550750] PUF Read:0xaaaaaaaa at 0xa0010134
