[ 1145.214019] [i] Total hammer attempts per row: 506440
[ 1145.214050] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 1145.214050] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 1145.214080] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 1145.214080] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 1145.214111] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 1145.214111] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 1145.214111] Temp polling alert enabled
[ 1145.214141] Refresh enabled at EMIF2
[ 1145.214141] [i] Starting PUF read-out
[ 1145.214141] [i] Single-Sided Rowhammer (SSRH)
[ 1145.214172] PUF Read:0x00000000 at 0xa0008000
[ 1145.214202] PUF Read:0x00000000 at 0xa0008004
[ 1145.214233] PUF Read:0x00000000 at 0xa0008008
[ 1145.214233] PUF Read:0x00000000 at 0xa000800c
[ 1145.214233] PUF Read:0x00000000 at 0xa0008010
[ 1145.214233] PUF Read:0x00000100 at 0xa0008014
[ 1145.214324] PUF Read:0x00000000 at 0xa0008018
[ 1145.214324] PUF Read:0x00000000 at 0xa000801c
[ 1145.214385] PUF Read:0x00000000 at 0xa0008020
[ 1145.214416] PUF Read:0x40004000 at 0xa0008024
[ 1145.214416] PUF Read:0x00000000 at 0xa0008028
[ 1145.214477] PUF Read:0x00000000 at 0xa000802c
[ 1145.214477] PUF Read:0x00000000 at 0xa0008030
[ 1145.214477] PUF Read:0x04000000 at 0xa0008034
[ 1145.214477] PUF Read:0x00004000 at 0xa0008038
[ 1145.214569] PUF Read:0x00000000 at 0xa000803c
[ 1145.214569] PUF Read:0x00000001 at 0xa0008040
[ 1145.214569] PUF Read:0x00004000 at 0xa0008044
[ 1145.214569] PUF Read:0x00000000 at 0xa0008048
[ 1145.214569] PUF Read:0x00000000 at 0xa000804c
[ 1145.214569] PUF Read:0x00000000 at 0xa0008050
[ 1145.214721] PUF Read:0x00000000 at 0xa0008054
[ 1145.214721] PUF Read:0x00000000 at 0xa0008058
[ 1145.214721] PUF Read:0x00000000 at 0xa000805c
[ 1145.214721] PUF Read:0x00000000 at 0xa0008060
[ 1145.214721] PUF Read:0x00000000 at 0xa0008064
[ 1145.214843] PUF Read:0x00000000 at 0xa0008068
[ 1145.214874] PUF Read:0x00000000 at 0xa000806c
[ 1145.214874] PUF Read:0x00000000 at 0xa0008070
[ 1145.214935] PUF Read:0x00000000 at 0xa0008074
[ 1145.214935] PUF Read:0x00000000 at 0xa0008078
[ 1145.214935] PUF Read:0x00010000 at 0xa000807c
[ 1145.214996] PUF Read:0x00010000 at 0xa0008080
[ 1145.215026] PUF Read:0x00000000 at 0xa0008084
[ 1145.215026] PUF Read:0x00000000 at 0xa0008088
[ 1145.215026] PUF Read:0x00000000 at 0xa000808c
[ 1145.215087] PUF Read:0x00000000 at 0xa0008090
[ 1145.215087] PUF Read:0x00000000 at 0xa0008094
[ 1145.215148] PUF Read:0x00010001 at 0xa0008098
[ 1145.215179] PUF Read:0x00000000 at 0xa000809c
[ 1145.215179] PUF Read:0x00000000 at 0xa00080a0
[ 1145.215179] PUF Read:0x00010000 at 0xa00080a4
[ 1145.215240] PUF Read:0x00000000 at 0xa00080a8
[ 1145.215240] PUF Read:0x00000040 at 0xa00080ac
[ 1145.215301] PUF Read:0x00000000 at 0xa00080b0
[ 1145.215332] PUF Read:0x00000000 at 0xa00080b4
[ 1145.215332] PUF Read:0x00004000 at 0xa00080b8
[ 1145.215332] PUF Read:0x00000000 at 0xa00080bc
[ 1145.215332] PUF Read:0x00000000 at 0xa00080c0
[ 1145.215332] PUF Read:0x00000000 at 0xa00080c4
[ 1145.215454] PUF Read:0x00000000 at 0xa00080c8
[ 1145.215454] PUF Read:0x00000000 at 0xa00080cc
[ 1145.215454] PUF Read:0x40044000 at 0xa00080d0
[ 1145.215454] PUF Read:0x00000000 at 0xa00080d4
[ 1145.215454] PUF Read:0x00001000 at 0xa00080d8
[ 1145.215454] PUF Read:0x00000000 at 0xa00080dc
[ 1145.215606] PUF Read:0x01000000 at 0xa00080e0
[ 1145.215606] PUF Read:0x00000000 at 0xa00080e4
[ 1145.215667] PUF Read:0x00000000 at 0xa00080e8
[ 1145.215667] PUF Read:0x00000001 at 0xa00080ec
[ 1145.215667] PUF Read:0x00000000 at 0xa00080f0
[ 1145.215728] PUF Read:0x00000000 at 0xa00080f4
[ 1145.215759] PUF Read:0x00000100 at 0xa00080f8
[ 1145.215759] PUF Read:0x00000000 at 0xa00080fc
[ 1145.215759] PUF Read:0x00000000 at 0xa0008100
[ 1145.215820] PUF Read:0x00000000 at 0xa0008104
[ 1145.215820] PUF Read:0x00000000 at 0xa0008108
[ 1145.215820] PUF Read:0x00100000 at 0xa000810c
[ 1145.215911] PUF Read:0x00000000 at 0xa0008110
[ 1145.215911] PUF Read:0x00400000 at 0xa0008114
[ 1145.215911] PUF Read:0x00000000 at 0xa0008118
[ 1145.215911] PUF Read:0x00000000 at 0xa000811c
[ 1145.215911] PUF Read:0x00000000 at 0xa0008120
[ 1145.216033] PUF Read:0x00000400 at 0xa0008124
[ 1145.216064] PUF Read:0x00000040 at 0xa0008128
[ 1145.216064] PUF Read:0x00000000 at 0xa000812c
[ 1145.216125] PUF Read:0x00000000 at 0xa0008130
[ 1145.216125] PUF Read:0x00000000 at 0xa0008134
[ 1145.216125] PUF Read:0x00010000 at 0xa0008138
[ 1145.216186] PUF Read:0x00000000 at 0xa000813c
[ 1145.216217] PUF Read:0x00000400 at 0xa0008140
[ 1145.216217] PUF Read:0x00000000 at 0xa0008144
[ 1145.216217] PUF Read:0x00100400 at 0xa0008148
[ 1145.216278] PUF Read:0x00000000 at 0xa000814c
[ 1145.216278] PUF Read:0x00000000 at 0xa0008150
[ 1145.216339] PUF Read:0x00000000 at 0xa0008154
[ 1145.216369] PUF Read:0x00000000 at 0xa0008158
[ 1145.216369] PUF Read:0x00000040 at 0xa000815c
[ 1145.216369] PUF Read:0x00000000 at 0xa0008160
[ 1145.216430] PUF Read:0x00000000 at 0xa0008164
[ 1145.216430] PUF Read:0x04000000 at 0xa0008168
[ 1145.216491] PUF Read:0x00400000 at 0xa000816c
[ 1145.216522] PUF Read:0x00000000 at 0xa0008170
[ 1145.216522] PUF Read:0x00100000 at 0xa0008174
[ 1145.216522] PUF Read:0x00000000 at 0xa0008178
[ 1145.216583] PUF Read:0x00000000 at 0xa000817c
[ 1145.216583] PUF Read:0x00000000 at 0xa0008180
[ 1145.216644] PUF Read:0x00000000 at 0xa0008184
[ 1145.216644] PUF Read:0x00000000 at 0xa0008188
[ 1145.216644] PUF Read:0x00000040 at 0xa000818c
[ 1145.216644] PUF Read:0x00000000 at 0xa0008190
[ 1145.216644] PUF Read:0x40000000 at 0xa0008194
[ 1145.216644] PUF Read:0x00000000 at 0xa0008198
[ 1145.216796] PUF Read:0x00000000 at 0xa000819c
[ 1145.216796] PUF Read:0x00000000 at 0xa00081a0
[ 1145.216796] PUF Read:0x00000000 at 0xa00081a4
[ 1145.216857] PUF Read:0x00000000 at 0xa00081a8
