[ 6013.502746] [i] Total hammer attempts per row: 506414
[ 6013.502777] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 6013.502777] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 6013.502807] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 6013.502807] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 6013.502838] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 6013.502838] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 6013.502868] Temp polling alert enabled
[ 6013.502868] Refresh enabled at EMIF2
[ 6013.502868] [i] Starting PUF read-out
[ 6013.502899] [i] Single-Sided Rowhammer (SSRH)
[ 6013.502899] PUF Read:0xffff7fff at 0xa0008000
[ 6013.502899] PUF Read:0xffffffff at 0xa0008004
[ 6013.502960] PUF Read:0xffffffff at 0xa0008008
[ 6013.502990] PUF Read:0xf7ffff7f at 0xa000800c
[ 6013.502990] PUF Read:0xffffffff at 0xa0008010
[ 6013.502990] PUF Read:0xdfffffff at 0xa0008014
[ 6013.502990] PUF Read:0xffff7fff at 0xa0008018
[ 6013.502990] PUF Read:0xfff5ffff at 0xa000801c
[ 6013.502990] PUF Read:0xffffffff at 0xa0008020
[ 6013.503143] PUF Read:0xffffffff at 0xa0008024
[ 6013.503143] PUF Read:0xffffffff at 0xa0008028
[ 6013.503143] PUF Read:0xffffffff at 0xa000802c
[ 6013.503143] PUF Read:0xfffffffd at 0xa0008030
[ 6013.503234] PUF Read:0xffffffff at 0xa0008034
[ 6013.503234] PUF Read:0xffffffff at 0xa0008038
[ 6013.503295] PUF Read:0xffffffff at 0xa000803c
[ 6013.503326] PUF Read:0xffffffff at 0xa0008040
[ 6013.503326] PUF Read:0xffffffff at 0xa0008044
[ 6013.503326] PUF Read:0xffffffff at 0xa0008048
[ 6013.503387] PUF Read:0xfffffffd at 0xa000804c
[ 6013.503387] PUF Read:0xf7ffffff at 0xa0008050
[ 6013.503448] PUF Read:0xfffffdff at 0xa0008054
[ 6013.503479] PUF Read:0xffffffdf at 0xa0008058
[ 6013.503479] PUF Read:0xffffffff at 0xa000805c
[ 6013.503479] PUF Read:0xffffffff at 0xa0008060
[ 6013.503540] PUF Read:0xffff7fff at 0xa0008064
[ 6013.503540] PUF Read:0xffffffff at 0xa0008068
[ 6013.503601] PUF Read:0xffffffff at 0xa000806c
[ 6013.503631] PUF Read:0xffffffff at 0xa0008070
[ 6013.503631] PUF Read:0xffffffff at 0xa0008074
[ 6013.503631] PUF Read:0xffffffff at 0xa0008078
[ 6013.503692] PUF Read:0xffffffff at 0xa000807c
[ 6013.503692] PUF Read:0xffffffff at 0xa0008080
[ 6013.503753] PUF Read:0xffffffff at 0xa0008084
[ 6013.503784] PUF Read:0xffffffff at 0xa0008088
[ 6013.503784] PUF Read:0xffffffff at 0xa000808c
[ 6013.503784] PUF Read:0xffffdfff at 0xa0008090
[ 6013.503845] PUF Read:0xffffffff at 0xa0008094
[ 6013.503845] PUF Read:0x7fffffff at 0xa0008098
[ 6013.503906] PUF Read:0xffffffff at 0xa000809c
[ 6013.503936] PUF Read:0xdfffff7f at 0xa00080a0
[ 6013.503936] PUF Read:0xffffffff at 0xa00080a4
[ 6013.503936] PUF Read:0xffdfffff at 0xa00080a8
[ 6013.503997] PUF Read:0xdfffdfff at 0xa00080ac
[ 6013.503997] PUF Read:0xffffffff at 0xa00080b0
[ 6013.504058] PUF Read:0x7f7fffff at 0xa00080b4
[ 6013.504089] PUF Read:0xffffffff at 0xa00080b8
[ 6013.504089] PUF Read:0xdfffffff at 0xa00080bc
[ 6013.504089] PUF Read:0xffffffff at 0xa00080c0
[ 6013.504150] PUF Read:0xffffffff at 0xa00080c4
[ 6013.504150] PUF Read:0xfff7ffff at 0xa00080c8
[ 6013.504211] PUF Read:0xffffffff at 0xa00080cc
[ 6013.504241] PUF Read:0xffffffff at 0xa00080d0
[ 6013.504241] PUF Read:0xffff7ffd at 0xa00080d4
[ 6013.504241] PUF Read:0xffff7fff at 0xa00080d8
[ 6013.504302] PUF Read:0xffffffff at 0xa00080dc
[ 6013.504333] PUF Read:0xffffffff at 0xa00080e0
[ 6013.504333] PUF Read:0xffffffff at 0xa00080e4
[ 6013.504394] PUF Read:0xffffffff at 0xa00080e8
[ 6013.504425] PUF Read:0xffffffff at 0xa00080ec
[ 6013.504425] PUF Read:0xdfffffff at 0xa00080f0
[ 6013.504425] PUF Read:0xffffffff at 0xa00080f4
[ 6013.504486] PUF Read:0xffffffff at 0xa00080f8
[ 6013.504486] PUF Read:0xffdfffff at 0xa00080fc
[ 6013.504547] PUF Read:0xfffffdff at 0xa0008100
[ 6013.504577] PUF Read:0xffffffff at 0xa0008104
[ 6013.504577] PUF Read:0xfff7ffff at 0xa0008108
[ 6013.504577] PUF Read:0xffffffff at 0xa000810c
[ 6013.504638] PUF Read:0xffffffff at 0xa0008110
[ 6013.504638] PUF Read:0xfdff7fff at 0xa0008114
[ 6013.504699] PUF Read:0xffffffff at 0xa0008118
[ 6013.504730] PUF Read:0xfdffffff at 0xa000811c
[ 6013.504730] PUF Read:0xfff7ffff at 0xa0008120
[ 6013.504791] PUF Read:0xffffffff at 0xa0008124
[ 6013.504791] PUF Read:0xffffffff at 0xa0008128
[ 6013.504791] PUF Read:0xffffffff at 0xa000812c
[ 6013.504791] PUF Read:0xffffffff at 0xa0008130
[ 6013.504882] PUF Read:0xffffff7f at 0xa0008134
[ 6013.504882] PUF Read:0xffdfffff at 0xa0008138
[ 6013.504882] PUF Read:0xffffffff at 0xa000813c
[ 6013.504882] PUF Read:0xffffffff at 0xa0008140
[ 6013.504882] PUF Read:0xffffffff at 0xa0008144
[ 6013.504882] PUF Read:0xffffffff at 0xa0008148
[ 6013.505035] PUF Read:0xffffffff at 0xa000814c
[ 6013.505035] PUF Read:0xffffffff at 0xa0008150
[ 6013.505035] PUF Read:0xffffffff at 0xa0008154
[ 6013.505035] PUF Read:0xffffffff at 0xa0008158
[ 6013.505035] PUF Read:0xffffffff at 0xa000815c
[ 6013.505157] PUF Read:0xffffffff at 0xa0008160
[ 6013.505187] PUF Read:0xffffffff at 0xa0008164
[ 6013.505187] PUF Read:0xffffffff at 0xa0008168
[ 6013.505249] PUF Read:0xffffffff at 0xa000816c
[ 6013.505249] PUF Read:0x7fffffff at 0xa0008170
[ 6013.505249] PUF Read:0xffffffff at 0xa0008174
[ 6013.505249] PUF Read:0xffffffff at 0xa0008178
[ 6013.505340] PUF Read:0xffffffff at 0xa000817c
[ 6013.505340] PUF Read:0xffff7f7f at 0xa0008180
[ 6013.505340] PUF Read:0xffffffff at 0xa0008184
[ 6013.505340] PUF Read:0xff7fffff at 0xa0008188
[ 6013.505340] PUF Read:0xffffffff at 0xa000818c
[ 6013.505462] PUF Read:0x7fffffff at 0xa0008190
[ 6013.505493] PUF Read:0xffffffff at 0xa0008194
[ 6013.505493] PUF Read:0xffffffff at 0xa0008198
[ 6013.505554] PUF Read:0xffffffff at 0xa000819c
[ 6013.505554] PUF Read:0xffffffff at 0xa00081a0
[ 6013.505554] PUF Read:0xffffffff at 0xa00081a4
