[ 6554.416992] [i] Total hammer attempts per row: 506267
[ 6554.417236] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 6554.417236] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 6554.417266] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 6554.417266] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 6554.417297] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 6554.417297] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 6554.417327] Temp polling alert enabled
[ 6554.417327] Refresh enabled at EMIF2
[ 6554.417327] [i] Starting PUF read-out
[ 6554.417358] [i] Single-Sided Rowhammer (SSRH)
[ 6554.417358] PUF Read:0xffff7fff at 0xa0008000
[ 6554.417358] PUF Read:0xffffffff at 0xa0008004
[ 6554.417358] PUF Read:0xffffffff at 0xa0008008
[ 6554.417449] PUF Read:0xf7ffff7f at 0xa000800c
[ 6554.417480] PUF Read:0xffffffff at 0xa0008010
[ 6554.417480] PUF Read:0xdfffffff at 0xa0008014
[ 6554.417480] PUF Read:0xffff7fff at 0xa0008018
[ 6554.417541] PUF Read:0xfff7ffff at 0xa000801c
[ 6554.417541] PUF Read:0xffffffff at 0xa0008020
[ 6554.417602] PUF Read:0xffffffff at 0xa0008024
[ 6554.417633] PUF Read:0xffffffff at 0xa0008028
[ 6554.417633] PUF Read:0xffffffff at 0xa000802c
[ 6554.417633] PUF Read:0xfffffffd at 0xa0008030
[ 6554.417724] PUF Read:0xffffffff at 0xa0008034
[ 6554.417724] PUF Read:0xffffffff at 0xa0008038
[ 6554.417724] PUF Read:0xffffffff at 0xa000803c
[ 6554.417724] PUF Read:0xffffffff at 0xa0008040
[ 6554.417816] PUF Read:0xffffffff at 0xa0008044
[ 6554.417816] PUF Read:0xffffffff at 0xa0008048
[ 6554.417816] PUF Read:0xfffffffd at 0xa000804c
[ 6554.417816] PUF Read:0xf7ffffff at 0xa0008050
[ 6554.417907] PUF Read:0xfffffdff at 0xa0008054
[ 6554.417907] PUF Read:0xffffffdf at 0xa0008058
[ 6554.417968] PUF Read:0xffffffff at 0xa000805c
[ 6554.417999] PUF Read:0xffffffff at 0xa0008060
[ 6554.417999] PUF Read:0xffff7fff at 0xa0008064
[ 6554.417999] PUF Read:0xffffffff at 0xa0008068
[ 6554.418060] PUF Read:0xffffffff at 0xa000806c
[ 6554.418060] PUF Read:0xffffffff at 0xa0008070
[ 6554.418121] PUF Read:0xffffffff at 0xa0008074
[ 6554.418151] PUF Read:0xffffffff at 0xa0008078
[ 6554.418151] PUF Read:0xffffffff at 0xa000807c
[ 6554.418151] PUF Read:0xffffffff at 0xa0008080
[ 6554.418212] PUF Read:0xffffffff at 0xa0008084
[ 6554.418212] PUF Read:0xffffffff at 0xa0008088
[ 6554.418273] PUF Read:0xffffffff at 0xa000808c
[ 6554.418304] PUF Read:0xffffdfff at 0xa0008090
[ 6554.418304] PUF Read:0xffffffff at 0xa0008094
[ 6554.418304] PUF Read:0x7fffffff at 0xa0008098
[ 6554.418365] PUF Read:0xffffffff at 0xa000809c
[ 6554.418365] PUF Read:0xdfffff7f at 0xa00080a0
[ 6554.418426] PUF Read:0xffffffff at 0xa00080a4
[ 6554.418457] PUF Read:0xffdfffff at 0xa00080a8
[ 6554.418457] PUF Read:0xdfffdfff at 0xa00080ac
[ 6554.418457] PUF Read:0xffffffff at 0xa00080b0
[ 6554.418518] PUF Read:0x7f7fffff at 0xa00080b4
[ 6554.418518] PUF Read:0xffffffff at 0xa00080b8
[ 6554.418579] PUF Read:0xdfffffff at 0xa00080bc
[ 6554.418609] PUF Read:0xffffffff at 0xa00080c0
[ 6554.418609] PUF Read:0xffffffff at 0xa00080c4
[ 6554.418609] PUF Read:0xfff7ffff at 0xa00080c8
[ 6554.418670] PUF Read:0xffffffff at 0xa00080cc
[ 6554.418670] PUF Read:0xffffffff at 0xa00080d0
[ 6554.418731] PUF Read:0xffff7ffd at 0xa00080d4
[ 6554.418762] PUF Read:0xffff7fff at 0xa00080d8
[ 6554.418762] PUF Read:0xffffffff at 0xa00080dc
[ 6554.418762] PUF Read:0xffffffff at 0xa00080e0
[ 6554.418823] PUF Read:0xffffffff at 0xa00080e4
[ 6554.418823] PUF Read:0xffffffff at 0xa00080e8
[ 6554.418884] PUF Read:0xffffffff at 0xa00080ec
[ 6554.418914] PUF Read:0xdfffffff at 0xa00080f0
[ 6554.418914] PUF Read:0xffffffff at 0xa00080f4
[ 6554.418914] PUF Read:0xffffffff at 0xa00080f8
[ 6554.418975] PUF Read:0xffdfffff at 0xa00080fc
[ 6554.418975] PUF Read:0xfffffdff at 0xa0008100
[ 6554.419036] PUF Read:0xffffffff at 0xa0008104
[ 6554.419067] PUF Read:0xfff7ffff at 0xa0008108
[ 6554.419067] PUF Read:0xffffffff at 0xa000810c
[ 6554.419067] PUF Read:0xffffffff at 0xa0008110
[ 6554.419128] PUF Read:0xfdff7fff at 0xa0008114
[ 6554.419128] PUF Read:0xffffffff at 0xa0008118
[ 6554.419189] PUF Read:0xffffffff at 0xa000811c
[ 6554.419219] PUF Read:0xfff7ffff at 0xa0008120
[ 6554.419219] PUF Read:0xffffffff at 0xa0008124
[ 6554.419219] PUF Read:0xffffffff at 0xa0008128
[ 6554.419219] PUF Read:0xffffffff at 0xa000812c
[ 6554.419311] PUF Read:0xffffffff at 0xa0008130
[ 6554.419311] PUF Read:0xffffff7f at 0xa0008134
[ 6554.419311] PUF Read:0xffdfffff at 0xa0008138
[ 6554.419403] PUF Read:0xffffffff at 0xa000813c
[ 6554.419403] PUF Read:0xffffffff at 0xa0008140
[ 6554.419403] PUF Read:0xffffffff at 0xa0008144
[ 6554.419403] PUF Read:0xffffffff at 0xa0008148
[ 6554.419403] PUF Read:0xffffffff at 0xa000814c
[ 6554.419403] PUF Read:0xffffffff at 0xa0008150
[ 6554.419555] PUF Read:0xffffffff at 0xa0008154
[ 6554.419555] PUF Read:0xffffffff at 0xa0008158
[ 6554.419555] PUF Read:0xffffffff at 0xa000815c
[ 6554.419555] PUF Read:0xffffffff at 0xa0008160
[ 6554.419555] PUF Read:0xffffffff at 0xa0008164
[ 6554.419555] PUF Read:0xffffffff at 0xa0008168
[ 6554.419708] PUF Read:0xffffffff at 0xa000816c
[ 6554.419708] PUF Read:0x7fffffff at 0xa0008170
[ 6554.419708] PUF Read:0xffffffff at 0xa0008174
[ 6554.419708] PUF Read:0xffffffff at 0xa0008178
[ 6554.419708] PUF Read:0xffffffff at 0xa000817c
[ 6554.419708] PUF Read:0xffff7f7f at 0xa0008180
[ 6554.419860] PUF Read:0xffffffff at 0xa0008184
[ 6554.419860] PUF Read:0xff7fffff at 0xa0008188
[ 6554.419860] PUF Read:0xffffffff at 0xa000818c
[ 6554.419860] PUF Read:0x7fffffff at 0xa0008190
[ 6554.419860] PUF Read:0xffffffff at 0xa0008194
[ 6554.419860] PUF Read:0xffffffff at 0xa0008198
[ 6554.420013] PUF Read:0xffffffff at 0xa000819c
[ 6554.420043] PUF Read:0xffffffff at 0xa00081a0
[ 6554.420043] PUF Read:0xffffffff at 0xa00081a4
[ 6554.420043] PUF Read:0xf7f7ffff at 0xa00081a8
[ 6554.420104] PUF Read:0xffffffff at 0xa00081ac
[ 6554.420104] PUF Read:0xffffffff at 0xa00081b0
[ 6554.420166] PUF Read:0xffffffff at 0xa00081b4
[ 6554.420196] PUF Read:0xffffffff at 0xa00081b8
[ 6554.420196] PUF Read:0xf7ffffff at 0xa00081bc
[ 6554.420196] PUF Read:0xfffddfff at 0xa00081c0
[ 6554.420196] PUF Read:0xffffffff at 0xa00081c4
[ 6554.420196] PUF Read:0xffffffff at 0xa00081c8
[ 6554.420318] PUF Read:0xff7fffff at 0xa00081cc
[ 6554.420349] PUF Read:0xffffffff at 0xa00081d0
[ 6554.420349] PUF Read:0xffffff7f at 0xa00081d4
[ 6554.420349] PUF Read:0xffffffff at 0xa00081d8
[ 6554.420410] PUF Read:0xffffffff at 0xa00081dc
[ 6554.420410] PUF Read:0xffffffff at 0xa00081e0
[ 6554.420471] PUF Read:0xffffffff at 0xa00081e4
[ 6554.420471] PUF Read:0xffffffff at 0xa00081e8
[ 6554.420471] PUF Read:0xff7fffff at 0xa00081ec
[ 6554.420471] PUF Read:0xffffffff at 0xa00081f0
[ 6554.420471] PUF Read:0xffffffff at 0xa00081f4
[ 6554.420471] PUF Read:0xfffffff7 at 0xa00081f8
[ 6554.420623] PUF Read:0xffffffff at 0xa00081fc
[ 6554.420623] PUF Read:0xffffffff at 0xa0008200
[ 6554.420623] PUF Read:0xffffffff at 0xa0008204
[ 6554.420623] PUF Read:0xffffffff at 0xa0008208
[ 6554.420623] PUF Read:0xfdffffff at 0xa000820c
[ 6554.420623] PUF Read:0xfffff7fd at 0xa0008210
[ 6554.420623] PUF Read:0xffffffff at 0xa0008214
[ 6554.420806] PUF Read:0xffffffff at 0xa0008218
[ 6554.420806] PUF Read:0xffffffff at 0xa000821c
[ 6554.420806] PUF Read:0xffffffff at 0xa0008220
[ 6554.420806] PUF Read:0xffffffff at 0xa0008224
[ 6554.420806] PUF Read:0xffffffff at 0xa0008228
[ 6554.420806] PUF Read:0xffffffff at 0xa000822c
[ 6554.420959] PUF Read:0xffffffff at 0xa0008230
[ 6554.420959] PUF Read:0x7d7fffff at 0xa0008234
[ 6554.420959] PUF Read:0xffffffff at 0xa0008238
[ 6554.420959] PUF Read:0xffffffff at 0xa000823c
[ 6554.420959] PUF Read:0xffffffff at 0xa0008240
[ 6554.420959] PUF Read:0xffffffff at 0xa0008244
[ 6554.421112] PUF Read:0xffffffff at 0xa0008248
[ 6554.421112] PUF Read:0xffffffff at 0xa000824c
[ 6554.421112] PUF Read:0xffffffff at 0xa0008250
[ 6554.421112] PUF Read:0xffffffff at 0xa0008254
[ 6554.421112] PUF Read:0xffffffff at 0xa0008258
[ 6554.421112] PUF Read:0xffffffff at 0xa000825c
[ 6554.421264] PUF Read:0xffffffff at 0xa0008260
[ 6554.421264] PUF Read:0xffffffff at 0xa0008264
[ 6554.421264] PUF Read:0xffffddff at 0xa0008268
[ 6554.421264] PUF Read:0xffffffff at 0xa000826c
[ 6554.421264] PUF Read:0xffffffff at 0xa0008270
[ 6554.421264] PUF Read:0xfffffff7 at 0xa0008274
[ 6554.421417] PUF Read:0xffffffff at 0xa0008278
[ 6554.421417] PUF Read:0xffffffff at 0xa000827c
[ 6554.421417] PUF Read:0xffffffff at 0xa0008280
[ 6554.421417] PUF Read:0xf7ffffff at 0xa0008284
[ 6554.421417] PUF Read:0xffffffff at 0xa0008288
[ 6554.421417] PUF Read:0xffffffff at 0xa000828c
[ 6554.421569] PUF Read:0xfffffffd at 0xa0008290
[ 6554.421569] PUF Read:0xfdffffff at 0xa0008294
[ 6554.421569] PUF Read:0xffffffff at 0xa0008298
[ 6554.421569] PUF Read:0xffffffff at 0xa000829c
[ 6554.421569] PUF Read:0xffffffff at 0xa00082a0
[ 6554.421569] PUF Read:0xffffffff at 0xa00082a4
[ 6554.421722] PUF Read:0xffffffff at 0xa00082a8
[ 6554.421752] PUF Read:0xffffffff at 0xa00082ac
[ 6554.421752] PUF Read:0xffffffff at 0xa00082b0
[ 6554.421752] PUF Read:0xffffffff at 0xa00082b4
[ 6554.421813] PUF Read:0xffffffff at 0xa00082b8
[ 6554.421813] PUF Read:0xffffffff at 0xa00082bc
[ 6554.421874] PUF Read:0xffffffff at 0xa00082c0
[ 6554.421905] PUF Read:0xffffffff at 0xa00082c4
[ 6554.421905] PUF Read:0xffffffff at 0xa00082c8
[ 6554.421905] PUF Read:0xffffffff at 0xa00082cc
[ 6554.421966] PUF Read:0xffffffff at 0xa00082d0
[ 6554.421966] PUF Read:0xffffffff at 0xa00082d4
[ 6554.422027] PUF Read:0xffffffff at 0xa00082d8
[ 6554.422058] PUF Read:0xffffffff at 0xa00082dc
[ 6554.422058] PUF Read:0xffffffff at 0xa00082e0
[ 6554.422058] PUF Read:0xf7ffffff at 0xa00082e4
[ 6554.422119] PUF Read:0xffffffff at 0xa00082e8
[ 6554.422119] PUF Read:0xffffffff at 0xa00082ec
[ 6554.422180] PUF Read:0xffffffff at 0xa00082f0
[ 6554.422210] PUF Read:0xfffdffff at 0xa00082f4
[ 6554.422210] PUF Read:0xffffffff at 0xa00082f8
[ 6554.422210] PUF Read:0xffffffff at 0xa00082fc
[ 6554.422271] PUF Read:0xffffffff at 0xa0008300
[ 6554.422271] PUF Read:0xffffffff at 0xa0008304
[ 6554.422271] PUF Read:0xffffdfff at 0xa0008308
[ 6554.422363] PUF Read:0xffffffff at 0xa000830c
[ 6554.422393] PUF Read:0xffffffdf at 0xa0008310
[ 6554.422393] PUF Read:0xffffffff at 0xa0008314
[ 6554.422393] PUF Read:0x7fffffff at 0xa0008318
[ 6554.422454] PUF Read:0xffffffff at 0xa000831c
[ 6554.422454] PUF Read:0xffffdfff at 0xa0008320
[ 6554.422515] PUF Read:0xffffffff at 0xa0008324
[ 6554.422546] PUF Read:0xffffffff at 0xa0008328
[ 6554.422546] PUF Read:0xffffffff at 0xa000832c
[ 6554.422546] PUF Read:0xffffffff at 0xa0008330
[ 6554.422607] PUF Read:0xffffffff at 0xa0008334
[ 6554.422607] PUF Read:0xffffffff at 0xa0008338
[ 6554.422668] PUF Read:0xffffffff at 0xa000833c
[ 6554.422698] PUF Read:0xffffffff at 0xa0008340
[ 6554.422698] PUF Read:0xffffffff at 0xa0008344
[ 6554.422698] PUF Read:0xffffffff at 0xa0008348
[ 6554.422760] PUF Read:0xffffffff at 0xa000834c
[ 6554.422760] PUF Read:0xffffdfdf at 0xa0008350
[ 6554.422821] PUF Read:0xdfffffff at 0xa0008354
[ 6554.422851] PUF Read:0xffffffff at 0xa0008358
[ 6554.422851] PUF Read:0xffffffff at 0xa000835c
[ 6554.422851] PUF Read:0xffffffff at 0xa0008360
[ 6554.422912] PUF Read:0xffffff7f at 0xa0008364
[ 6554.422912] PUF Read:0xffffffff at 0xa0008368
[ 6554.422973] PUF Read:0xffffffff at 0xa000836c
[ 6554.423004] PUF Read:0xffffffff at 0xa0008370
[ 6554.423004] PUF Read:0xffffffff at 0xa0008374
[ 6554.423004] PUF Read:0xffffdfff at 0xa0008378
[ 6554.423065] PUF Read:0xffffffff at 0xa000837c
[ 6554.423065] PUF Read:0xffffffff at 0xa0008380
[ 6554.423126] PUF Read:0xffffffff at 0xa0008384
[ 6554.423156] PUF Read:0xffffffff at 0xa0008388
[ 6554.423156] PUF Read:0xffffffff at 0xa000838c
[ 6554.423156] PUF Read:0xffffffff at 0xa0008390
[ 6554.423217] PUF Read:0xffffffff at 0xa0008394
[ 6554.423217] PUF Read:0xffffffff at 0xa0008398
[ 6554.423278] PUF Read:0xfff7ffff at 0xa000839c
[ 6554.423309] PUF Read:0xffffffff at 0xa00083a0
[ 6554.423309] PUF Read:0xffffffff at 0xa00083a4
[ 6554.423309] PUF Read:0xffffffff at 0xa00083a8
[ 6554.423370] PUF Read:0xffffffff at 0xa00083ac
[ 6554.423370] PUF Read:0xfffffff7 at 0xa00083b0
[ 6554.423431] PUF Read:0xffffffff at 0xa00083b4
[ 6554.423461] PUF Read:0xffffffff at 0xa00083b8
[ 6554.423461] PUF Read:0xffffffff at 0xa00083bc
[ 6554.423522] PUF Read:0xffffffff at 0xa00083c0
[ 6554.423522] PUF Read:0xffffffff at 0xa00083c4
[ 6554.423522] PUF Read:0xffffffff at 0xa00083c8
[ 6554.423583] PUF Read:0xfff7ffff at 0xa00083cc
[ 6554.423614] PUF Read:0xffffffff at 0xa00083d0
[ 6554.423614] PUF Read:0xffffffff at 0xa00083d4
[ 6554.423614] PUF Read:0xffffffff at 0xa00083d8
[ 6554.423675] PUF Read:0xfffff7ff at 0xa00083dc
[ 6554.423675] PUF Read:0xffffffff at 0xa00083e0
[ 6554.423736] PUF Read:0xfffffdff at 0xa00083e4
[ 6554.423767] PUF Read:0xffffff7f at 0xa00083e8
[ 6554.423767] PUF Read:0xffffffff at 0xa00083ec
[ 6554.423767] PUF Read:0xfffdffff at 0xa00083f0
[ 6554.423828] PUF Read:0xffffffff at 0xa00083f4
[ 6554.423858] PUF Read:0xffffffff at 0xa00083f8
[ 6554.423858] PUF Read:0xdfffffff at 0xa00083fc
[ 6554.423919] PUF Read:0xfff7ffff at 0xa0010000
[ 6554.423950] PUF Read:0xffffffff at 0xa0010004
[ 6554.423950] PUF Read:0xffffffff at 0xa0010008
[ 6554.423950] PUF Read:0xffdfffff at 0xa001000c
[ 6554.424011] PUF Read:0xffffffff at 0xa0010010
[ 6554.424011] PUF Read:0xffffffff at 0xa0010014
[ 6554.424072] PUF Read:0xffffffff at 0xa0010018
[ 6554.424102] PUF Read:0xffffffff at 0xa001001c
[ 6554.424102] PUF Read:0xfffffdff at 0xa0010020
[ 6554.424102] PUF Read:0xffffffff at 0xa0010024
[ 6554.424163] PUF Read:0xffff7fff at 0xa0010028
[ 6554.424163] PUF Read:0xffffffff at 0xa001002c
[ 6554.424224] PUF Read:0xffffffdf at 0xa0010030
[ 6554.424255] PUF Read:0xffffffff at 0xa0010034
[ 6554.424255] PUF Read:0xffffffff at 0xa0010038
[ 6554.424316] PUF Read:0xffffffff at 0xa001003c
[ 6554.424346] PUF Read:0xffffffff at 0xa0010040
[ 6554.424346] PUF Read:0xfffffffd at 0xa0010044
[ 6554.424346] PUF Read:0xffffffff at 0xa0010048
[ 6554.424346] PUF Read:0xffffffff at 0xa001004c
[ 6554.424346] PUF Read:0xdfffffdf at 0xa0010050
[ 6554.425964] PUF Read:0xfff7ffff at 0xa0010054
[ 6554.425964] PUF Read:0xffffffff at 0xa0010058
[ 6554.426025] PUF Read:0xffffffff at 0xa001005c
[ 6554.426055] PUF Read:0xffffffff at 0xa0010060
