[ 4931.675689] [i] Total hammer attempts per row: 506334
[ 4931.675720] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 4931.675750] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 4931.675750] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 4931.675781] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 4931.675781] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 4931.675781] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 4931.675811] Temp polling alert enabled
[ 4931.675811] Refresh enabled at EMIF2
[ 4931.675811] [i] Starting PUF read-out
[ 4931.675842] [i] Single-Sided Rowhammer (SSRH)
[ 4931.675842] PUF Read:0xffff7fff at 0xa0008000
[ 4931.675842] PUF Read:0xffffffff at 0xa0008004
[ 4931.675842] PUF Read:0xffffffff at 0xa0008008
[ 4931.675842] PUF Read:0xf7ffff7f at 0xa000800c
[ 4931.675964] PUF Read:0xffffffff at 0xa0008010
[ 4931.675964] PUF Read:0xdfffffff at 0xa0008014
[ 4931.675964] PUF Read:0xffff7fff at 0xa0008018
[ 4931.675964] PUF Read:0xfff5ffff at 0xa000801c
[ 4931.676055] PUF Read:0xfdffffff at 0xa0008020
[ 4931.676055] PUF Read:0xffffffff at 0xa0008024
[ 4931.676116] PUF Read:0xffffffff at 0xa0008028
[ 4931.676147] PUF Read:0xffffffff at 0xa000802c
[ 4931.676147] PUF Read:0xfffffffd at 0xa0008030
[ 4931.676147] PUF Read:0xffffffff at 0xa0008034
[ 4931.676208] PUF Read:0xffffffff at 0xa0008038
[ 4931.676208] PUF Read:0xffffffff at 0xa000803c
[ 4931.676269] PUF Read:0xffffdfff at 0xa0008040
[ 4931.676300] PUF Read:0xffffffff at 0xa0008044
[ 4931.676300] PUF Read:0xffffffff at 0xa0008048
[ 4931.676300] PUF Read:0xfffffffd at 0xa000804c
[ 4931.676361] PUF Read:0xf7ffffff at 0xa0008050
[ 4931.676361] PUF Read:0xfffffdff at 0xa0008054
[ 4931.676422] PUF Read:0xffffffdf at 0xa0008058
[ 4931.676452] PUF Read:0xffffffff at 0xa000805c
[ 4931.676452] PUF Read:0xffffffff at 0xa0008060
[ 4931.676452] PUF Read:0xffff7fff at 0xa0008064
[ 4931.676452] PUF Read:0xffffffff at 0xa0008068
[ 4931.676452] PUF Read:0xffffffff at 0xa000806c
[ 4931.676452] PUF Read:0xffffffff at 0xa0008070
[ 4931.676605] PUF Read:0xffffffff at 0xa0008074
[ 4931.676635] PUF Read:0xffffffff at 0xa0008078
[ 4931.676635] PUF Read:0xffffffff at 0xa000807c
[ 4931.676635] PUF Read:0xffffffff at 0xa0008080
[ 4931.676696] PUF Read:0xffffffff at 0xa0008084
[ 4931.676696] PUF Read:0xffffffff at 0xa0008088
[ 4931.676757] PUF Read:0xffffffff at 0xa000808c
[ 4931.676788] PUF Read:0xffffdfff at 0xa0008090
[ 4931.676788] PUF Read:0xffffffff at 0xa0008094
[ 4931.676788] PUF Read:0x7fffffff at 0xa0008098
[ 4931.676849] PUF Read:0xffffffff at 0xa000809c
[ 4931.676849] PUF Read:0xdfffff7f at 0xa00080a0
[ 4931.676910] PUF Read:0xffffffff at 0xa00080a4
[ 4931.676940] PUF Read:0xffdfffff at 0xa00080a8
[ 4931.676940] PUF Read:0xdfffdfff at 0xa00080ac
[ 4931.676940] PUF Read:0xffffffff at 0xa00080b0
[ 4931.677001] PUF Read:0x7f7fffff at 0xa00080b4
[ 4931.677001] PUF Read:0xffffffff at 0xa00080b8
[ 4931.677062] PUF Read:0xdfffffff at 0xa00080bc
[ 4931.677093] PUF Read:0xffffffff at 0xa00080c0
[ 4931.677093] PUF Read:0xffffffff at 0xa00080c4
[ 4931.677093] PUF Read:0xfff7ffff at 0xa00080c8
[ 4931.677154] PUF Read:0xffffffff at 0xa00080cc
[ 4931.677154] PUF Read:0xffffffff at 0xa00080d0
[ 4931.677215] PUF Read:0xffff7ffd at 0xa00080d4
[ 4931.677246] PUF Read:0xffff7fff at 0xa00080d8
[ 4931.677246] PUF Read:0xffffffff at 0xa00080dc
[ 4931.677246] PUF Read:0xffffffff at 0xa00080e0
[ 4931.677307] PUF Read:0xffffffff at 0xa00080e4
[ 4931.677307] PUF Read:0xffffffff at 0xa00080e8
[ 4931.677368] PUF Read:0xffffffff at 0xa00080ec
[ 4931.677398] PUF Read:0xdfffffff at 0xa00080f0
[ 4931.677398] PUF Read:0xffffffff at 0xa00080f4
[ 4931.677398] PUF Read:0xffffffff at 0xa00080f8
[ 4931.677459] PUF Read:0xffdfffff at 0xa00080fc
[ 4931.677459] PUF Read:0xfffffdff at 0xa0008100
[ 4931.677459] PUF Read:0xffffffff at 0xa0008104
[ 4931.677551] PUF Read:0xfff7ffff at 0xa0008108
[ 4931.677551] PUF Read:0xffffffff at 0xa000810c
[ 4931.677551] PUF Read:0xffffffff at 0xa0008110
[ 4931.677551] PUF Read:0xfdff7fff at 0xa0008114
[ 4931.677551] PUF Read:0xffffffff at 0xa0008118
[ 4931.677551] PUF Read:0xfdff7fff at 0xa000811c
[ 4931.677703] PUF Read:0xfff7ffff at 0xa0008120
[ 4931.677703] PUF Read:0xffffffff at 0xa0008124
[ 4931.677703] PUF Read:0xffffffff at 0xa0008128
[ 4931.677703] PUF Read:0xffffffff at 0xa000812c
[ 4931.677703] PUF Read:0xffffffff at 0xa0008130
[ 4931.677703] PUF Read:0xffffff7f at 0xa0008134
[ 4931.677856] PUF Read:0xffdfffff at 0xa0008138
[ 4931.677886] PUF Read:0xffffffff at 0xa000813c
[ 4931.677886] PUF Read:0xffffffff at 0xa0008140
[ 4931.677886] PUF Read:0xffffffff at 0xa0008144
[ 4931.677886] PUF Read:0xffffffff at 0xa0008148
[ 4931.677886] PUF Read:0xffffffff at 0xa000814c
[ 4931.678009] PUF Read:0xffffffff at 0xa0008150
[ 4931.678039] PUF Read:0xffffffff at 0xa0008154
[ 4931.678039] PUF Read:0xffffffff at 0xa0008158
[ 4931.678039] PUF Read:0xffffffff at 0xa000815c
[ 4931.678100] PUF Read:0xffffffff at 0xa0008160
[ 4931.678100] PUF Read:0xffffffff at 0xa0008164
[ 4931.678161] PUF Read:0xffffffff at 0xa0008168
[ 4931.678192] PUF Read:0xffffffff at 0xa000816c
[ 4931.678192] PUF Read:0x7fffffff at 0xa0008170
[ 4931.678192] PUF Read:0xffffffff at 0xa0008174
[ 4931.678253] PUF Read:0xffffffff at 0xa0008178
[ 4931.678253] PUF Read:0xffffffff at 0xa000817c
[ 4931.678314] PUF Read:0xffff7f7f at 0xa0008180
[ 4931.678344] PUF Read:0xffffffff at 0xa0008184
[ 4931.678344] PUF Read:0xff7fffff at 0xa0008188
[ 4931.678344] PUF Read:0xffffffff at 0xa000818c
[ 4931.678405] PUF Read:0x7fffffff at 0xa0008190
[ 4931.678405] PUF Read:0xffffffff at 0xa0008194
[ 4931.678466] PUF Read:0xffffffff at 0xa0008198
[ 4931.678497] PUF Read:0xffffffff at 0xa000819c
[ 4931.678497] PUF Read:0xffffffff at 0xa00081a0
[ 4931.678497] PUF Read:0xffffffff at 0xa00081a4
[ 4931.678558] PUF Read:0xf7f7ffff at 0xa00081a8
[ 4931.678558] PUF Read:0xffffffff at 0xa00081ac
[ 4931.678619] PUF Read:0xffffffff at 0xa00081b0
[ 4931.678649] PUF Read:0xffffffff at 0xa00081b4
[ 4931.678649] PUF Read:0xffffffff at 0xa00081b8
[ 4931.678649] PUF Read:0xf7ffffff at 0xa00081bc
[ 4931.678710] PUF Read:0xfffddfff at 0xa00081c0
[ 4931.678710] PUF Read:0xffffffff at 0xa00081c4
[ 4931.678771] PUF Read:0xffffffff at 0xa00081c8
[ 4931.678802] PUF Read:0xff7fffff at 0xa00081cc
[ 4931.678802] PUF Read:0xffffffff at 0xa00081d0
[ 4931.678802] PUF Read:0xffffff7f at 0xa00081d4
[ 4931.678863] PUF Read:0xffffffff at 0xa00081d8
[ 4931.678863] PUF Read:0xffffffff at 0xa00081dc
[ 4931.678924] PUF Read:0xfffffff7 at 0xa00081e0
[ 4931.678955] PUF Read:0xffffffff at 0xa00081e4
[ 4931.678955] PUF Read:0xfdffffff at 0xa00081e8
[ 4931.679016] PUF Read:0xff7fffff at 0xa00081ec
[ 4931.679016] PUF Read:0xffdfffff at 0xa00081f0
[ 4931.679016] PUF Read:0xffffffff at 0xa00081f4
[ 4931.679016] PUF Read:0xfffffff7 at 0xa00081f8
[ 4931.679107] PUF Read:0xffffffff at 0xa00081fc
[ 4931.679107] PUF Read:0xffffffff at 0xa0008200
[ 4931.679107] PUF Read:0xffffffff at 0xa0008204
[ 4931.679107] PUF Read:0xffffffff at 0xa0008208
[ 4931.679199] PUF Read:0xfdffffff at 0xa000820c
[ 4931.679199] PUF Read:0xfffff7fd at 0xa0008210
[ 4931.679260] PUF Read:0xffffffff at 0xa0008214
[ 4931.679290] PUF Read:0xffffffff at 0xa0008218
[ 4931.679290] PUF Read:0xffffffff at 0xa000821c
[ 4931.679290] PUF Read:0xffffffff at 0xa0008220
[ 4931.679351] PUF Read:0xffffffff at 0xa0008224
[ 4931.679351] PUF Read:0xffffffff at 0xa0008228
[ 4931.679412] PUF Read:0xffffffff at 0xa000822c
[ 4931.679443] PUF Read:0xffffffff at 0xa0008230
[ 4931.679443] PUF Read:0x7d7fffff at 0xa0008234
[ 4931.679443] PUF Read:0xffffffff at 0xa0008238
[ 4931.679504] PUF Read:0xdfffffff at 0xa000823c
[ 4931.679504] PUF Read:0xffffffff at 0xa0008240
[ 4931.679565] PUF Read:0xffffffff at 0xa0008244
[ 4931.679595] PUF Read:0xffffffff at 0xa0008248
[ 4931.679595] PUF Read:0xffffffff at 0xa000824c
[ 4931.679595] PUF Read:0xffffffff at 0xa0008250
[ 4931.679656] PUF Read:0xffffffff at 0xa0008254
[ 4931.679656] PUF Read:0xffffffff at 0xa0008258
