[ 6253.753601] [i] Total hammer attempts per row: 817809
[ 6253.753601] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 6253.753601] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 6253.753662] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 6253.753662] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 6253.753692] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 6253.753692] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 6253.753692] Temp polling alert enabled
[ 6253.753692] Refresh enabled at EMIF2
[ 6253.753723] [i] Starting PUF read-out
[ 6253.753723] [i] Single-Sided Rowhammer (SSRH)
[ 6253.753753] PUF Read:0xffffffff at 0xa0008000
[ 6253.753753] PUF Read:0xffffffff at 0xa0008004
[ 6253.753753] PUF Read:0xffffffff at 0xa0008008
[ 6253.753753] PUF Read:0xffffffff at 0xa000800c
[ 6253.753753] PUF Read:0xffffffff at 0xa0008010
[ 6253.753753] PUF Read:0xffffffff at 0xa0008014
[ 6253.753753] PUF Read:0xffffffff at 0xa0008018
[ 6253.753936] PUF Read:0xffffffff at 0xa000801c
[ 6253.753967] PUF Read:0xffffffff at 0xa0008020
[ 6253.753967] PUF Read:0xffffffff at 0xa0008024
[ 6253.753967] PUF Read:0xffffffff at 0xa0008028
[ 6253.754028] PUF Read:0xffffffff at 0xa000802c
[ 6253.754028] PUF Read:0xffffffff at 0xa0008030
[ 6253.754089] PUF Read:0xffffffff at 0xa0008034
[ 6253.754119] PUF Read:0xffffffff at 0xa0008038
[ 6253.754119] PUF Read:0xffffffff at 0xa000803c
[ 6253.754180] PUF Read:0xffffffff at 0xa0008040
[ 6253.754180] PUF Read:0xffffffff at 0xa0008044
[ 6253.754180] PUF Read:0xffffffff at 0xa0008048
[ 6253.754180] PUF Read:0xffffffff at 0xa000804c
[ 6253.754272] PUF Read:0xffffffff at 0xa0008050
[ 6253.754272] PUF Read:0xffffffff at 0xa0008054
[ 6253.754272] PUF Read:0xffffffdf at 0xa0008058
[ 6253.754272] PUF Read:0xffffffff at 0xa000805c
[ 6253.754272] PUF Read:0xffffffff at 0xa0008060
[ 6253.754272] PUF Read:0xffffffff at 0xa0008064
[ 6253.754425] PUF Read:0xffffffff at 0xa0008068
[ 6253.754425] PUF Read:0xffffffff at 0xa000806c
[ 6253.754425] PUF Read:0xffffffff at 0xa0008070
[ 6253.754425] PUF Read:0xffffffff at 0xa0008074
[ 6253.754425] PUF Read:0xffffffff at 0xa0008078
[ 6253.754425] PUF Read:0xffffffff at 0xa000807c
[ 6253.754577] PUF Read:0xffffffff at 0xa0008080
[ 6253.754608] PUF Read:0xffffffff at 0xa0008084
