[ 2227.080749] [i] Total hammer attempts per row: 506431
[ 2227.080780] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 2227.080780] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 2227.080810] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 2227.080810] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 2227.080841] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 2227.080841] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 2227.080841] Temp polling alert enabled
[ 2227.080871] Refresh enabled at EMIF2
[ 2227.080871] [i] Starting PUF read-out
[ 2227.080871] [i] Single-Sided Rowhammer (SSRH)
[ 2227.080902] PUF Read:0x00000000 at 0xa0008000
[ 2227.080932] PUF Read:0x00000000 at 0xa0008004
[ 2227.080932] PUF Read:0x00000000 at 0xa0008008
[ 2227.080932] PUF Read:0x00000000 at 0xa000800c
[ 2227.080932] PUF Read:0x00000000 at 0xa0008010
[ 2227.081024] PUF Read:0x00000100 at 0xa0008014
[ 2227.081024] PUF Read:0x00000000 at 0xa0008018
[ 2227.081085] PUF Read:0x00000000 at 0xa000801c
[ 2227.081115] PUF Read:0x00000000 at 0xa0008020
[ 2227.081115] PUF Read:0x40004000 at 0xa0008024
[ 2227.081176] PUF Read:0x00000000 at 0xa0008028
[ 2227.081176] PUF Read:0x00000010 at 0xa000802c
[ 2227.081176] PUF Read:0x00000000 at 0xa0008030
[ 2227.081176] PUF Read:0x04000000 at 0xa0008034
[ 2227.081268] PUF Read:0x00004000 at 0xa0008038
[ 2227.081268] PUF Read:0x00000000 at 0xa000803c
[ 2227.081268] PUF Read:0x00000001 at 0xa0008040
[ 2227.081268] PUF Read:0x00004000 at 0xa0008044
[ 2227.081268] PUF Read:0x00000000 at 0xa0008048
[ 2227.081268] PUF Read:0x00000000 at 0xa000804c
[ 2227.081420] PUF Read:0x00000000 at 0xa0008050
[ 2227.081420] PUF Read:0x00000000 at 0xa0008054
[ 2227.081481] PUF Read:0x00000000 at 0xa0008058
[ 2227.081481] PUF Read:0x00000000 at 0xa000805c
[ 2227.081481] PUF Read:0x00000000 at 0xa0008060
[ 2227.081542] PUF Read:0x00000000 at 0xa0008064
[ 2227.081573] PUF Read:0x00000000 at 0xa0008068
