[ 1170.349060] PUF Read:0x00000000 at 0xa0008178
[ 1170.349090] PUF Read:0x00000000 at 0xa000817c
[ 1170.349090] PUF Read:0x00000000 at 0xa0008180
[ 1170.349090] PUF Read:0x00000000 at 0xa0008184
[ 1170.349090] PUF Read:0x00040000 at 0xa0008188
[ 1170.349090] PUF Read:0x00000040 at 0xa000818c
[ 1170.349212] PUF Read:0x00000000 at 0xa0008190
[ 1170.349243] PUF Read:0x40000000 at 0xa0008194
[ 1170.349243] PUF Read:0x00000000 at 0xa0008198
[ 1170.349243] PUF Read:0x00000000 at 0xa000819c
[ 1170.349243] PUF Read:0x00000000 at 0xa00081a0
[ 1170.349243] PUF Read:0x00000000 at 0xa00081a4
[ 1170.349365] PUF Read:0x00000000 at 0xa00081a8
[ 1170.349395] PUF Read:0x00000040 at 0xa00081ac
[ 1170.349395] PUF Read:0x00410000 at 0xa00081b0
[ 1170.349395] PUF Read:0x00100000 at 0xa00081b4
[ 1170.349456] PUF Read:0x00004000 at 0xa00081b8
[ 1170.349456] PUF Read:0x00100000 at 0xa00081bc
[ 1170.349517] PUF Read:0x00000000 at 0xa00081c0
[ 1170.349548] PUF Read:0x00000004 at 0xa00081c4
[ 1170.349548] PUF Read:0x00000000 at 0xa00081c8
[ 1170.349548] PUF Read:0x00010000 at 0xa00081cc
[ 1170.349548] PUF Read:0x10000000 at 0xa00081d0
[ 1170.349639] PUF Read:0x00000000 at 0xa00081d4
[ 1170.349639] PUF Read:0x10000000 at 0xa00081d8
[ 1170.349700] PUF Read:0x00000000 at 0xa00081dc
[ 1170.349731] PUF Read:0x00000000 at 0xa00081e0
[ 1170.349731] PUF Read:0x00000040 at 0xa00081e4
[ 1170.349731] PUF Read:0x00000000 at 0xa00081e8
[ 1170.349792] PUF Read:0x00000010 at 0xa00081ec
[ 1170.349792] PUF Read:0x00000001 at 0xa00081f0
[ 1170.349853] PUF Read:0x00010400 at 0xa00081f4
[ 1170.349884] PUF Read:0x00000000 at 0xa00081f8
[ 1170.349884] PUF Read:0x00000040 at 0xa00081fc
[ 1170.349884] PUF Read:0x00000000 at 0xa0008200
[ 1170.349884] PUF Read:0x00000000 at 0xa0008204
[ 1170.349884] PUF Read:0x00000010 at 0xa0008208
[ 1170.350006] PUF Read:0x00000000 at 0xa000820c
[ 1170.350006] PUF Read:0x00000000 at 0xa0008210
[ 1170.350006] PUF Read:0x00000000 at 0xa0008214
[ 1170.350006] PUF Read:0x00000400 at 0xa0008218
[ 1170.350006] PUF Read:0x00000000 at 0xa000821c
[ 1170.350006] PUF Read:0x00000000 at 0xa0008220
[ 1170.350158] PUF Read:0x00100000 at 0xa0008224
[ 1170.350158] PUF Read:0x00000000 at 0xa0008228
[ 1170.350158] PUF Read:0x00000000 at 0xa000822c
[ 1170.350158] PUF Read:0x00000500 at 0xa0008230
[ 1170.350158] PUF Read:0x00400000 at 0xa0008234
[ 1170.350158] PUF Read:0x00000000 at 0xa0008238
[ 1170.350311] PUF Read:0x00000400 at 0xa000823c
[ 1170.350311] PUF Read:0x00000000 at 0xa0008240
[ 1170.350311] PUF Read:0x00000000 at 0xa0008244
[ 1170.350311] PUF Read:0x00040000 at 0xa0008248
[ 1170.350311] PUF Read:0x00000000 at 0xa000824c
[ 1170.350311] PUF Read:0x00000000 at 0xa0008250
[ 1170.350463] PUF Read:0x00100000 at 0xa0008254
[ 1170.350463] PUF Read:0x00000000 at 0xa0008258
[ 1170.350524] PUF Read:0x04040000 at 0xa000825c
[ 1170.350524] PUF Read:0x00000000 at 0xa0008260
[ 1170.350524] PUF Read:0x00000000 at 0xa0008264
[ 1170.350585] PUF Read:0x00000400 at 0xa0008268
[ 1170.350616] PUF Read:0x00001000 at 0xa000826c
[ 1170.350616] PUF Read:0x00000000 at 0xa0008270
[ 1170.350677] PUF Read:0x00000000 at 0xa0008274
[ 1170.350677] PUF Read:0x00000040 at 0xa0008278
[ 1170.350677] PUF Read:0x00100000 at 0xa000827c
[ 1170.350738] PUF Read:0x40000000 at 0xa0008280
[ 1170.350769] PUF Read:0x00000000 at 0xa0008284
[ 1170.350769] PUF Read:0x00400000 at 0xa0008288
[ 1170.350769] PUF Read:0x00000000 at 0xa000828c
[ 1170.350830] PUF Read:0x00000000 at 0xa0008290
[ 1170.350830] PUF Read:0x00000000 at 0xa0008294
[ 1170.350891] PUF Read:0x00000000 at 0xa0008298
[ 1170.350921] PUF Read:0x00000000 at 0xa000829c
[ 1170.350921] PUF Read:0x00000000 at 0xa00082a0
[ 1170.350921] PUF Read:0x00001000 at 0xa00082a4
[ 1170.350982] PUF Read:0x00000000 at 0xa00082a8
[ 1170.350982] PUF Read:0x00000000 at 0xa00082ac
[ 1170.351043] PUF Read:0x00000000 at 0xa00082b0
[ 1170.351074] PUF Read:0x00000000 at 0xa00082b4
[ 1170.351074] PUF Read:0x00000040 at 0xa00082b8
[ 1170.351074] PUF Read:0x00000000 at 0xa00082bc
[ 1170.351074] PUF Read:0x00000000 at 0xa00082c0
[ 1170.351074] PUF Read:0x00000000 at 0xa00082c4
[ 1170.351074] PUF Read:0x10000000 at 0xa00082c8
