[ 3849.857818] PUF Read:0xaaaaaaaa at 0xa000814c
[ 3849.857879] PUF Read:0xaaaaaaaa at 0xa0008150
[ 3849.857879] PUF Read:0xaaaaaaaa at 0xa0008154
[ 3849.857940] PUF Read:0xaaaaaaaa at 0xa0008158
[ 3849.857971] PUF Read:0xaaaaaaea at 0xa000815c
[ 3849.857971] PUF Read:0xaaaaaaaa at 0xa0008160
[ 3849.858032] PUF Read:0xaaaaaaaa at 0xa0008164
[ 3849.858032] PUF Read:0xaeaaaaaa at 0xa0008168
[ 3849.858032] PUF Read:0xaaeaaaaa at 0xa000816c
[ 3849.858093] PUF Read:0x2aaaaaaa at 0xa0008170
[ 3849.858123] PUF Read:0xaabaaaaa at 0xa0008174
[ 3849.858123] PUF Read:0xaaaaaaaa at 0xa0008178
[ 3849.858184] PUF Read:0xaaaaaaaa at 0xa000817c
[ 3849.858184] PUF Read:0xaaaa2a2a at 0xa0008180
[ 3849.858184] PUF Read:0xaaaaaaaa at 0xa0008184
[ 3849.858245] PUF Read:0xaa2aaaaa at 0xa0008188
[ 3849.858276] PUF Read:0xaaaaaaea at 0xa000818c
[ 3849.858276] PUF Read:0x2aaaaaaa at 0xa0008190
[ 3849.858276] PUF Read:0xeaaaaaaa at 0xa0008194
[ 3849.858337] PUF Read:0xaaaaaaaa at 0xa0008198
[ 3849.858337] PUF Read:0xaaaaaaaa at 0xa000819c
[ 3849.858398] PUF Read:0xaaaaaaaa at 0xa00081a0
[ 3849.858428] PUF Read:0xaaaaaaaa at 0xa00081a4
[ 3849.858428] PUF Read:0xa2a2aaaa at 0xa00081a8
[ 3849.858428] PUF Read:0xaaaaaaaa at 0xa00081ac
[ 3849.858489] PUF Read:0xaaebaaaa at 0xa00081b0
[ 3849.858489] PUF Read:0xaaaaaaaa at 0xa00081b4
[ 3849.858551] PUF Read:0xaaaaeaaa at 0xa00081b8
[ 3849.858581] PUF Read:0xa2aaaaaa at 0xa00081bc
[ 3849.858581] PUF Read:0xaaa88aaa at 0xa00081c0
[ 3849.858581] PUF Read:0xaaaaaaae at 0xa00081c4
[ 3849.858642] PUF Read:0xaaaaaaaa at 0xa00081c8
[ 3849.858642] PUF Read:0xaa2baaaa at 0xa00081cc
[ 3849.858703] PUF Read:0xbaaaaaaa at 0xa00081d0
[ 3849.858734] PUF Read:0xaaaaaa2a at 0xa00081d4
[ 3849.858734] PUF Read:0xaaaaaaaa at 0xa00081d8
[ 3849.858734] PUF Read:0xaaaaaaaa at 0xa00081dc
[ 3849.858795] PUF Read:0xaaaaaaaa at 0xa00081e0
[ 3849.858795] PUF Read:0xaaaaaaea at 0xa00081e4
[ 3849.858856] PUF Read:0xaaaaaaaa at 0xa00081e8
[ 3849.858886] PUF Read:0xaa2aaaaa at 0xa00081ec
[ 3849.858886] PUF Read:0xaaaaaaab at 0xa00081f0
