[ 4631.010650] [i] Total hammer attempts per row: 818113
[ 4631.010650] EMIF 2 REG Write 0x00000618 at 0x4d000010
[ 4631.010681] EMIF 2 REG Read 0x00000618 at 0x4d000010
[ 4631.010681] EMIF 2 REG Write 0x00000618 at 0x4d000014
[ 4631.010711] EMIF 2 REG Read 0x00000618 at 0x4d000014
[ 4631.010711] EMIF 2 REG Write 0x58016893 at 0x4d0000cc
[ 4631.010742] EMIF 2 REG Read 0x58016893 at 0x4d0000cc
[ 4631.010742] Temp polling alert enabled
[ 4631.010742] Refresh enabled at EMIF2
[ 4631.010772] [i] Starting PUF read-out
[ 4631.010772] [i] Single-Sided Rowhammer (SSRH)
[ 4631.010803] PUF Read:0xffffffff at 0xa0008000
[ 4631.010803] PUF Read:0xffffffff at 0xa0008004
[ 4631.010803] PUF Read:0xffffffff at 0xa0008008
[ 4631.010864] PUF Read:0xf7ffffff at 0xa000800c
[ 4631.010864] PUF Read:0xffffffff at 0xa0008010
[ 4631.010925] PUF Read:0xffffffff at 0xa0008014
[ 4631.010955] PUF Read:0xffffffff at 0xa0008018
[ 4631.010955] PUF Read:0xffffffff at 0xa000801c
[ 4631.010955] PUF Read:0xffffffff at 0xa0008020
[ 4631.011047] PUF Read:0xffffffff at 0xa0008024
[ 4631.011047] PUF Read:0xffffffff at 0xa0008028
[ 4631.011047] PUF Read:0xffffffff at 0xa000802c
[ 4631.011047] PUF Read:0xffffffff at 0xa0008030
[ 4631.011138] PUF Read:0xffffffff at 0xa0008034
[ 4631.011138] PUF Read:0xffffffff at 0xa0008038
[ 4631.011138] PUF Read:0xffffffff at 0xa000803c
[ 4631.011138] PUF Read:0xffffffff at 0xa0008040
[ 4631.011138] PUF Read:0xffffffff at 0xa0008044
[ 4631.011138] PUF Read:0xffffffff at 0xa0008048
[ 4631.011291] PUF Read:0xffffffff at 0xa000804c
[ 4631.011291] PUF Read:0xffffffff at 0xa0008050
[ 4631.011291] PUF Read:0xffffffff at 0xa0008054
[ 4631.011291] PUF Read:0xffffffff at 0xa0008058
[ 4631.011291] PUF Read:0xffffffff at 0xa000805c
[ 4631.011291] PUF Read:0xffffffff at 0xa0008060
[ 4631.011444] PUF Read:0xffff7fff at 0xa0008064
[ 4631.011444] PUF Read:0xffffffff at 0xa0008068
[ 4631.011444] PUF Read:0xffffffff at 0xa000806c
[ 4631.011444] PUF Read:0xffffffff at 0xa0008070
[ 4631.011444] PUF Read:0xffffffff at 0xa0008074
[ 4631.011444] PUF Read:0xffffffff at 0xa0008078
[ 4631.011596] PUF Read:0xffffffff at 0xa000807c
